business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tiwari KIRYANA Store,Shops,Home goods store,Home goods store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,5.0,,"5FX8+9FV, Rajpur, Bihar 802209",802209,25.1984845,84.4661859,ChIJeQVf6zhtjTkRInAeHaYYaeA,https://www.google.com/maps/place/?q=place_id:ChIJeQVf6zhtjTkRInAeHaYYaeA,part_377,2026-09-20 20:28:01
Roshan Gupta,Shops,Store,Store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,,,"6C5J+PGF, Bandhwa, Bihar 802209",802209,25.2092903,84.43095699999999,ChIJZRplIQBzjTkRGtCKJQUuq9k,https://www.google.com/maps/place/?q=place_id:ChIJZRplIQBzjTkRGtCKJQUuq9k,part_377,2026-09-20 20:28:01
Shi General Store,Shops,General store,General store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",+91 87007 73746,N/A,,,"Tarari - Barkagaon Main Rd, Kurmuri, bhojpur, Bihar 802209",802209,25.2136358,84.4216033,ChIJOTcfqT9zjTkRFB0z5misDbo,https://www.google.com/maps/place/?q=place_id:ChIJOTcfqT9zjTkRFB0z5misDbo,part_377,2026-09-20 20:28:01
Gidha koielwor bhojpur 802314,Shops,General store,General store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,,,"6C9H+JHG, Badka Gaon, Bihar 802209",802209,25.2190729,84.4289478,ChIJAfgAUdhzjTkR14dQ2sGcOxQ,https://www.google.com/maps/place/?q=place_id:ChIJAfgAUdhzjTkR14dQ2sGcOxQ,part_377,2026-09-20 20:28:01
Raghubar singh general store,Shops,General store,General store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,,,"6CCH+H2V KUSHWAHA TOLA, Badka Gaon, Bihar 802209",802209,25.221484399999998,84.4275399,ChIJdRIGdABzjTkR8V-h3DjBCxk,https://www.google.com/maps/place/?q=place_id:ChIJdRIGdABzjTkR8V-h3DjBCxk,part_377,2026-09-20 20:28:01
Umesh ji General store,Shops,General store,General store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,,,"Bazaari Patti Rd, Badka Gaon, Bihar 802209",802209,25.2195663,84.42930779999999,ChIJcbohVBtzjTkRcOliqAwLolQ,https://www.google.com/maps/place/?q=place_id:ChIJcbohVBtzjTkRcOliqAwLolQ,part_377,2026-09-20 20:28:01
Kriti Tailors,Shops,Clothing store,Clothing store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",+91 86518 06236,N/A,5.0,4.0,"Andhari, Bhopatpur, Bihar 802222",802209,25.2172071,84.5125396,ChIJAQAAEJBsjTkRfheVKad-B5M,https://www.google.com/maps/place/?q=place_id:ChIJAQAAEJBsjTkRfheVKad-B5M,part_377,2026-09-20 20:28:01
"Pond,Bhadsera",Shops,Pond supply store,Pond supply store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,4.3,7.0,"6CP8+372, ram,, Bhadsera, Bihar 802209",802209,25.235130599999998,84.4156512,ChIJN2f5C11yjTkRScXe_ZbZFUo,https://www.google.com/maps/place/?q=place_id:ChIJN2f5C11yjTkRScXe_ZbZFUo,part_377,2026-09-20 20:28:01
Masjid Md Dawood,Shops,Home goods store,Home goods store,802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",N/A,N/A,3.7,3.0,"5CVG+6WH, vill saidan pur ps+po tarari, jila, ara, Bihar 802209",802209,25.1930509,84.42734469999999,ChIJg4fb9RJzjTkRfVPakaAD3Gs,https://www.google.com/maps/place/?q=place_id:ChIJg4fb9RJzjTkRfVPakaAD3Gs,part_377,2026-09-20 20:28:02
Eastman Dealer,Shops,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier",802209,Bihar circle,Patna HQ Region,Bhojpur Division,"Bhadsera BO, Bihta English BO, Deo BO",+91 674 403 4238,https://eastman-dealers.eaplworld.com/near-me/jehanabad/Kaler/eastman-dealer-lucky-enterprises-in-Kaler-jehanabad--4yIaeB/home,,,"Lucky Enterprises, Lal Bilal Market, opposite SDS College, Kaler, Jehanabad, Bihar 824127",802209,25.123156899999998,84.50087789999999,ChIJR9ZFqw0TjTkRDl7YpL6KMbA,https://www.google.com/maps/place/?q=place_id:ChIJR9ZFqw0TjTkRDl7YpL6KMbA,part_377,2026-09-20 20:28:02
