business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Babita Ladies Tailor,Beauty Parlour& Cake Shop",Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 83401 81736,N/A,5.0,11.0,"3265+H3J, Babhani, Bihar 802215",802215,25.0614375,84.0076875,ChIJTw5cawC5jTkRY3m-pFEZK8U,https://www.google.com/maps/place/?q=place_id:ChIJTw5cawC5jTkRY3m-pFEZK8U,part_377,2026-09-20 20:31:00
The Cake Creation (RS Food Product),Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 88588 69054,N/A,4.3,36.0,"22HW+VQ6, Badari, Bihar 802215",802215,25.0301162,84.0465147,ChIJqTVLHdK7jTkR8ul_cXMIFMk,https://www.google.com/maps/place/?q=place_id:ChIJqTVLHdK7jTkR8ul_cXMIFMk,part_377,2026-09-20 20:31:00
CAKE CAFE,Patisserie,Cake decorating equipment shop,Cake decorating equipment shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 94733 22025,N/A,5.0,22.0,"Ghar, near shiv mandir, near police station, thana, Nokha, Garh Nokha, Bihar 802215",thana,25.103773099999998,84.1188281,ChIJU_hqdcejjTkRTISMY_nnloA,https://www.google.com/maps/place/?q=place_id:ChIJU_hqdcejjTkRTISMY_nnloA,part_377,2026-09-20 20:31:00
The ice cream and cake shop nokha,Patisserie,Ice cream shop,"Ice cream shop, Cake shop",802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 94314 47946,N/A,4.9,7.0,"Kesharawani Mohalla, Garh Nokha, Bihar 802215",Kesharawani Mohalla,25.1041106,84.1153058,ChIJPeZqdcKjjTkRYCMnqbvARNM,https://www.google.com/maps/place/?q=place_id:ChIJPeZqdcKjjTkRYCMnqbvARNM,part_377,2026-09-20 20:31:00
The Cake Shop1,Patisserie,Cake shop,Cake shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 70705 24941,N/A,4.2,43.0,"Hetimpur, Sasaram, Pratapganj, Bihar 821115",Hetimpur,24.9535716,84.0188409,ChIJ46QR_bSwjTkRsNMGGdr_sB4,https://www.google.com/maps/place/?q=place_id:ChIJ46QR_bSwjTkRsNMGGdr_sB4,part_377,2026-09-20 20:31:00
Cakevillassm by shailvi,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop",802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 90609 43843,N/A,5.0,5.0,"Pilot baba ke piche, maidini, Sasaram, Udhopur, Bihar 821115",maidini,24.952281199999998,84.0443418,ChIJmYe-_kuxjTkRMVXVAlaECFc,https://www.google.com/maps/place/?q=place_id:ChIJmYe-_kuxjTkRMVXVAlaECFc,part_377,2026-09-20 20:31:00
Satyam cake shop,Patisserie,Cake shop,"Cake shop, Bakery and Cake Shop",802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",N/A,N/A,,,"Sanjhauli, Bihar 802220",802215,25.1430895,84.183084,ChIJfxXlTwCjjTkRythYYJHrcZU,https://www.google.com/maps/place/?q=place_id:ChIJfxXlTwCjjTkRythYYJHrcZU,part_377,2026-09-20 20:31:00
Rajpur,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",N/A,N/A,5.0,1.0,"36F3+FFH, Rajpur - Nokha Rd, Rajpur, Bihar 802219",802215,25.073693,84.2037448,ChIJ3WtAZwCnjTkRPzY9FWmljSk,https://www.google.com/maps/place/?q=place_id:ChIJ3WtAZwCnjTkRPzY9FWmljSk,part_377,2026-09-20 20:31:00
Hindustan Bakery & Dry Fruits,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 77669 23309,https://www.facebook.com/share/1Cq6pnsmB1/,4.8,,"BMP Gate-2, WARD NO-39, Kamaran Ganj, Dehri, Bihar 821307","WARD NO-39, Kamaran Ganj",24.890703499999997,84.1622415,ChIJb-tBGISvjTkRGXM3X7siyfo,https://www.google.com/maps/place/?q=place_id:ChIJb-tBGISvjTkRGXM3X7siyfo,part_377,2026-09-20 20:31:00
The cake shop,Patisserie,Cake shop,Cake shop,802215,Bihar Circle,Patna HQ Region,Rohtas Division,"Garh Nokha SO, Babhni BO, Baraon BO",+91 93414 45003,https://thecakeshop-dehri.my.canva.site/,4.8,,"Canal Rd, vidhayak ji awas, Rajputana Mohalla, Dehri, Bihar 821307","vidhayak ji awas, Rajputana Mohalla",24.9075143,84.1773449,ChIJxZEbeQSvjTkRMbHGVDeYOE4,https://www.google.com/maps/place/?q=place_id:ChIJxZEbeQSvjTkRMbHGVDeYOE4,part_377,2026-09-20 20:31:00
