business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BOMBAY READYMADE & JEANS GARMENTS,Readymade Garments Shop,Clothing store,Clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",+91 70330 29871,N/A,3.9,,"Alamganj, Bihar Sharif, Bihar 803101",Alamganj,25.1966635,85.5225048,ChIJqZKNQhj18jkRX4Gb3rmnNW8,https://www.google.com/maps/place/?q=place_id:ChIJqZKNQhj18jkRX4Gb3rmnNW8,part_377,2026-09-20 20:41:56
M S SATYA DRESSES SIVENDRA KUMAR,Readymade Garments Shop,Clothing store,Clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",N/A,http://www.facebook.com/satyadresses,3.5,,"Alamganj Rd, Pulpar, Durgasthan, Bihar Sharif, Bihar 803101","Pulpar, Durgasthan",25.1965337,85.5232207,ChIJI7CKGaH08jkRBlrLfUR7o6E,https://www.google.com/maps/place/?q=place_id:ChIJI7CKGaH08jkRBlrLfUR7o6E,part_377,2026-09-20 20:41:56
Bhadani Readymade,Readymade Garments Shop,Clothing store,Clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",+91 73523 23209,N/A,4.8,,"Shop No, 0,Bharaopar, Near Dr Chandeshwar Haddi Hospital, Bihar Sharif, Bihar 803101","Bharao Par, Sherpur",25.194641999999998,85.51666209999999,ChIJNw-lSOrz8jkRS4CuIJ5Ugu0,https://www.google.com/maps/place/?q=place_id:ChIJNw-lSOrz8jkRS4CuIJ5Ugu0,part_377,2026-09-20 20:41:56
Shubhkamna Cloth Shop,Readymade Garments Shop,Clothing store,"Clothing store, Clothes and fabric wholesaler, Saree Shop",803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",N/A,N/A,4.4,,"Head Post Office Rd, Lal bazar, Durgasthan, Bihar Sharif, Bihar 803101","Lal bazar, Durgasthan",25.196436799999997,85.5213204,ChIJl3Ndk6D08jkR-_bwLMqOGBI,https://www.google.com/maps/place/?q=place_id:ChIJl3Ndk6D08jkR-_bwLMqOGBI,part_377,2026-09-20 20:41:56
sp wearables clothes ( sports) active wear,Readymade Garments Shop,Men's clothing store,Men's clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",+91 74808 52960,N/A,4.9,,"east of sdm RESIDENCE, Sp bhawan, gali no 1, Patel Nagar, Bihar 803101",Patel Nagar,25.2018471,85.5138382,ChIJGXZUA43z8jkRb7bNqSiOkqQ,https://www.google.com/maps/place/?q=place_id:ChIJGXZUA43z8jkRb7bNqSiOkqQ,part_377,2026-09-20 20:41:56
BACHELOR FASHION POINT,Readymade Garments Shop,Men's clothing store,Men's clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",+91 76773 45079,N/A,4.0,,"6G2F+3W6, Laheri Mohalla, Garhpar, Bihar Sharif, Nalanda, Bihar 803101","Laheri Mohalla, Garhpar",25.2001535,85.5247515,ChIJzwprmab08jkRKyag2sTZGrQ,https://www.google.com/maps/place/?q=place_id:ChIJzwprmab08jkRKyag2sTZGrQ,part_377,2026-09-20 20:41:56
jasmine garments,Readymade Garments Shop,Clothing store,"Clothing store, Women's clothing store",803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",N/A,N/A,4.7,,"Alamganj Rd, Pulpar, Pul Par, Bihar Sharif, Bihar 803101","Pulpar, Pul Par",25.196514999999998,85.5234566,ChIJczMTGqH08jkRb1h8_3vR9R8,https://www.google.com/maps/place/?q=place_id:ChIJczMTGqH08jkRb1h8_3vR9R8,part_377,2026-09-20 20:41:56
Moni Suit Centre And Readymade,Readymade Garments Shop,Clothing store,Clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",N/A,N/A,5.0,,"Nai Sarai, Bihar Sharif, Bihar 803101",Nai Sarai,25.206252199999998,85.5333509,ChIJC18i87D08jkR10MdbYnpcCQ,https://www.google.com/maps/place/?q=place_id:ChIJC18i87D08jkR10MdbYnpcCQ,part_377,2026-09-20 20:41:56
Chola Readymade,Readymade Garments Shop,Clothing store,Clothing store,803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",+91 93042 57199,N/A,4.5,,"Head Post Office Rd, near Naaz Cinema, Sherpur, Bihar Sharif, Bihar 803101",Sherpur,25.196006399999998,85.52084699999999,ChIJgSVUjqD08jkRRb9idYf31EE,https://www.google.com/maps/place/?q=place_id:ChIJgSVUjqD08jkRRb9idYf31EE,part_377,2026-09-20 20:41:56
The Raymond shop,Readymade Garments Shop,Clothing store,"Clothing store, Designer Clothing Store, Dress store, Fabric store, Clothing Accessories Store, Formal Clothing Store, Men's clothing store, Tuxedo shop, Youth clothing store",803101,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Biharsharif HO, Alinagar SO, Amber SO",+91 80 4493 8928,https://professor-colony.myraymond.com/,4.2,,"Maghra Comercial Complex, Phase -3, MG Road, near Tanishq jewellery, Bharao Par, Professor Colony, Bihar Sharif, Bihar 803101","Bharao Par, Professor Colony",25.1956395,85.5182742,ChIJQ_kRzqD08jkRHyYkwhZP1N4,https://www.google.com/maps/place/?q=place_id:ChIJQ_kRzqD08jkRHyYkwhZP1N4,part_377,2026-09-20 20:41:56
