business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DTDC courier service,Courier and Cargo Service,Courier service,"Courier service, Service establishment",803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",+91 93043 76493,N/A,,,"DTDC courier service, 803108, India",803108,,,ChIJU5NoIAZw528Rj-Ske3mvAE8,https://www.google.com/maps/place/?q=place_id:ChIJU5NoIAZw528Rj-Ske3mvAE8,part_377,2026-09-20 20:43:30
Aditya flex printing,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,5.0,3.0,"8CF4+3Q9 Aditya flex printing, near mani utshav, Srinagar, hallChandi, Bihar 803108",Srinagar,25.322652899999998,85.4069944,ChIJ16i-QACR8jkRubT1e0v1vOc,https://www.google.com/maps/place/?q=place_id:ChIJ16i-QACR8jkRubT1e0v1vOc,part_377,2026-09-20 20:43:30
Branch post office Gonkura Chandi Nalanda,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,,,"9CC9+7QF, Gonkura, Bihar 803108",803108,25.37073,85.4194614,ChIJK34rYQCR8jkRMJvTO8_EDXk,https://www.google.com/maps/place/?q=place_id:ChIJK34rYQCR8jkRMJvTO8_EDXk,part_377,2026-09-20 20:43:30
CHANDI SUB POST OFFICE,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,4.2,5.0,"8CG3+39G, SH 78, Chandi, Bihar 803108",803108,25.3251948,85.4034428,ChIJHcEB7XaR8jkRdAgs3IuF5V4,https://www.google.com/maps/place/?q=place_id:ChIJHcEB7XaR8jkRdAgs3IuF5V4,part_377,2026-09-20 20:43:30
India Post Koklakchak BO,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,https://www.indiapost.gov.in/post-office-details-name?officename=Koklakchak%20BO,4.8,12.0,"Nur Sarai, Koklakchak, Bihar 803113",803108,25.2927404,85.43123949999999,ChIJw96k3Q6S8jkRVPN7baQPZoQ,https://www.google.com/maps/place/?q=place_id:ChIJw96k3Q6S8jkRVPN7baQPZoQ,part_377,2026-09-20 20:43:30
Barhauna Postoffice,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,4.8,4.0,"8C3F+C3J, Barhauna, Bihar 803113",803108,25.303589,85.4226554,ChIJr7kmJxyS8jkRgj1pKitOEYs,https://www.google.com/maps/place/?q=place_id:ChIJr7kmJxyS8jkRgj1pKitOEYs,part_377,2026-09-20 20:43:30
Mishra ji Home,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,,,"8CQ5+5G7, Dayalpur, Chandi, Bihar 803108",803108,25.337909099999997,85.4088055,ChIJq6R8RQCR8jkRsqLSFMaxpJY,https://www.google.com/maps/place/?q=place_id:ChIJq6R8RQCR8jkRsqLSFMaxpJY,part_377,2026-09-20 20:43:30
indian Post,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,2.8,4.0,"89WQ+GCQ, Madhopur, Bihar 803108",803108,25.346346699999998,85.38861229999999,ChIJDWb4EzuR8jkRdJTvSaho3HA,https://www.google.com/maps/place/?q=place_id:ChIJDWb4EzuR8jkRdJTvSaho3HA,part_377,2026-09-20 20:43:30
Badarwali post office,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,4.1,7.0,"9C2R+QXW, Badarwali, Bihar 803110",803108,25.351987899999997,85.44246419999999,ChIJZ8ofhiuO8jkRINkfrsm2u3U,https://www.google.com/maps/place/?q=place_id:ChIJZ8ofhiuO8jkRINkfrsm2u3U,part_377,2026-09-20 20:43:30
SATNAG BRANCH POST OFFICE,Courier and Cargo Service,Post office,Post office,803108,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Chandi SO, Badhauna BO, Bhadru BO",N/A,N/A,2.5,2.0,"029, Satnag, Bihar 803108",803108,25.313499999999998,85.40573979999999,ChIJneVTByqR8jkRsjf_UyD6kY8,https://www.google.com/maps/place/?q=place_id:ChIJneVTByqR8jkRsjf_UyD6kY8,part_377,2026-09-20 20:43:30
