business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shahid Arman (Electrician),Electrician,Electrician,Electrician,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 79033 83050,N/A,5.0,14.0,"Panhessa, Nalanda, Bihar 803111",803111,25.1133375,85.4528594,ChIJcW5kCwDx8jkRZQFXknTYd70,https://www.google.com/maps/place/?q=place_id:ChIJcW5kCwDx8jkRZQFXknTYd70,part_377,2026-09-20 20:45:44
Sharma electricals,Electrician,Electrician,Electrician,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 70034 33913,N/A,5.0,5.0,"Kargil Chowk, Bihar Sharif - Rajgir Rd, Kisanbag, Rana Bigha, Bihar Sharif, Bihar 803101",Kisanbag,25.1766349,85.5115436,ChIJLZ-l60nz8jkRNabM6euiUHI,https://www.google.com/maps/place/?q=place_id:ChIJLZ-l60nz8jkRNabM6euiUHI,part_377,2026-09-20 20:45:44
Kisan Electric,Electrician,Electrical repair shop,"Electrical repair shop, Insulation contractor",803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 84098 39794,N/A,4.7,3.0,"5F3R+CGJ, Deep Nagar, Meghi Nongawan, Bihar 803111",803111,25.1535756,85.4912638,ChIJYxTL-7rz8jkRjz7X_Wb4NkI,https://www.google.com/maps/place/?q=place_id:ChIJYxTL-7rz8jkRjz7X_Wb4NkI,part_377,2026-09-20 20:45:44
Bhartendu electric work shop (जगलाल प्रसाद),Electrician,Electrical repair shop,Electrical repair shop,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",N/A,N/A,4.8,4.0,"Nalanda University Site Rd, Mohanpur, Nalanda, Bihar 803111",803111,25.123655,85.4553979,ChIJfdUNCADz8jkRR2wt-BnETfU,https://www.google.com/maps/place/?q=place_id:ChIJfdUNCADz8jkRR2wt-BnETfU,part_377,2026-09-20 20:45:44
Bharti Electricals,Electrician,Electrical products wholesaler,Electrical products wholesaler,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 96677 88536,http://bhartielectric.com/,5.0,10.0,"Kargil Chowk, chora bagicha more, Kisanbag, Bihar Sharif, Bihar 803216",Kisanbag,25.1766346,85.5115016,ChIJuzR6k0Hz8jkRm9mtOEzz_8k,https://www.google.com/maps/place/?q=place_id:ChIJuzR6k0Hz8jkRm9mtOEzz_8k,part_377,2026-09-20 20:45:44
Riddhi Electric Sales and Service,Electrician,Electrical appliance wholesaler,Electrical appliance wholesaler,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",N/A,N/A,3.0,1.0,"5F4V+73M, Meghi Nongawan, Bihar 803111",803111,25.1557115,85.4926813,ChIJ26xbcQDz8jkR0JmQDs_8GZ8,https://www.google.com/maps/place/?q=place_id:ChIJ26xbcQDz8jkR0JmQDs_8GZ8,part_377,2026-09-20 20:45:44
Aman Electric,Electrician,Electrical supply store,"Electrical supply store, Electronic parts supplier",803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",N/A,N/A,5.0,1.0,"NH 82, Silao, Bihar 803117",803111,25.083097,85.4305404,ChIJz6GdEwDv8jkRZg01o-26JhE,https://www.google.com/maps/place/?q=place_id:ChIJz6GdEwDv8jkRZg01o-26JhE,part_377,2026-09-20 20:45:44
Rustam Cctv installation,Electrician,Electrical repair shop,Electrical repair shop,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 79039 27803,N/A,4.1,14.0,"choti masjid ke samene, Badi Dargah Rd, Naya tola, Bihar Sharif, Kamarpur Paharpur, Bihar 803101",Naya tola,25.1777321,85.51979539999999,ChIJj2v4gX3z8jkRkrWpdeyYDuk,https://www.google.com/maps/place/?q=place_id:ChIJj2v4gX3z8jkRkrWpdeyYDuk,part_377,2026-09-20 20:45:44
SURYA ELECTRICS,Electrician,Electronics store,Electronics store,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 77799 92800,N/A,5.0,1.0,"Deep Nagar, Meghi Nongawan, Bihar 803111",803111,25.1552863,85.4922682,ChIJGd7t_pXz8jkRqxHvTgZQk9s,https://www.google.com/maps/place/?q=place_id:ChIJGd7t_pXz8jkRqxHvTgZQk9s,part_377,2026-09-20 20:45:44
SHIVANSHU ENTERPRISES,Electrician,Electrical engineer,Electrical engineer,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 70504 75302,N/A,,,"Navinagar, PO+PS, Deep Nagar, BIHARSHARIF, Bihar 803111","Navinagar, PO+PS",25.1571997,85.48877499999999,ChIJa5dCJY7z8jkRPi-7nmzr4LA,https://www.google.com/maps/place/?q=place_id:ChIJa5dCJY7z8jkRPi-7nmzr4LA,part_377,2026-09-20 20:45:44
KRISHNA ELECTRIC WORKS,Electrician,Hardware store,"Hardware store, Electronics store",803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 77648 17373,N/A,4.7,,"Na, near Bus Stand, Nalanda, Bihar 803114",803111,25.2090373,85.36574399999999,ChIJ6aHlhLLs8jkR9ahkxMUdJi8,https://www.google.com/maps/place/?q=place_id:ChIJ6aHlhLLs8jkR9ahkxMUdJi8,part_377,2026-09-20 20:45:44
Ayansh Electricals,Electrician,Electrical equipment supplier,Electrical equipment supplier,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 91352 16349,N/A,4.5,,"Murarpur Rd, near Laheri Thana, near BRAHMASTHAN, Sherpur, Bihar Sharif, Bihar 803216",Sherpur,25.1920804,85.5146159,ChIJtyxirVXz8jkRTid2nrO5BZ0,https://www.google.com/maps/place/?q=place_id:ChIJtyxirVXz8jkRTid2nrO5BZ0,part_377,2026-09-20 20:45:44
G-1 Engineering,Electrician,Education center,Education center,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 62099 77845,N/A,4.9,,"Ghoghardiha - Durgasthan Rd, Habibpura, Bihar Sharif, Bihar 803118",Habibpura,25.215305999999998,85.5164643,ChIJge_Z3F_z8jkR1uSeqbhDnsI,https://www.google.com/maps/place/?q=place_id:ChIJge_Z3F_z8jkR1uSeqbhDnsI,part_377,2026-09-20 20:45:44
BURLY SARVICE CENTRE,Electrician,Electrician,Electrician,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",+91 70504 75302,N/A,5.0,3.0,"Nalanda Mill ke pas, vill-Navinagar, Oknawan Rod, po+ps, Deep Nagar, Bihar 803111",803111,25.157199799999997,85.4887746,ChIJ8a1zqKLz8jkRC0L6W9tfHA4,https://www.google.com/maps/place/?q=place_id:ChIJ8a1zqKLz8jkRC0L6W9tfHA4,part_377,2026-09-20 20:45:45
Sonu tent house and light,Electrician,Electrician,Electrician,803111,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Nalanda SO, Bargaon BO, Deepnagar BO",N/A,N/A,5.0,1.0,"Haider Ganj Karah, Silao, Bihar 803117",803111,25.075534299999998,85.4313361,ChIJq7G6eRrv8jkRJBMPyqDEs9c,https://www.google.com/maps/place/?q=place_id:ChIJq7G6eRrv8jkRJBMPyqDEs9c,part_377,2026-09-20 20:45:45
