business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rajgir Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,Marketing agency,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"Ganjpar, Ashok Nagar, Rajgir, Bihar 803116","Ganjpar, Ashok Nagar",25.037075599999998,85.420791,ChIJiaEoEqfv8jkRkq_6vJMcAew,https://www.google.com/maps/place/?q=place_id:ChIJiaEoEqfv8jkRkq_6vJMcAew,part_378,2026-09-20 20:19:43,4891
Akram Digital Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Internet marketing service, Branding agency",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"vill shahpur, post, Oraina, Nawada, Bihar 805123",803116,24.941634,85.543195,ChIJiy87IHz58jkRSAi6l9_C-3Q,https://www.google.com/maps/place/?q=place_id:ChIJiy87IHz58jkRSAi6l9_C-3Q,part_378,2026-09-20 20:19:43,4892
Digital Marketing Agency,Digital Marketing Agencies,Study at home school,"Study at home school, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 79922 08767,N/A,,,"Digital Marketing Agency, 803116, India",803116,25.0831694,85.42960169999999,ChIJTQbYH2_x8jkRhBO11TWCtnw,https://www.google.com/maps/place/?q=place_id:ChIJTQbYH2_x8jkRhBO11TWCtnw,part_378,2026-09-20 20:19:43,4893
Techno Prabhat,Digital Marketing Agencies,Website designer,"Website designer, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 97982 23493,https://technoprabhat.in/,5.0,,"Techno Prabhat, 803116, India",803116,25.098954499999998,84.957211,ChIJe7viNHkiEakRdo9h8HrQaWM,https://www.google.com/maps/place/?q=place_id:ChIJe7viNHkiEakRdo9h8HrQaWM,part_378,2026-09-20 20:19:43,4894
Tech Media Campaign,Digital Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://techmediacampaign.com/,1.0,,"Tech Media Campaign, 803116, India",803116,21.0680074,82.7525294,ChIJdZP381LfQq0RAmDYC5Ue7PI,https://www.google.com/maps/place/?q=place_id:ChIJdZP381LfQq0RAmDYC5Ue7PI,part_378,2026-09-20 20:19:43,4895
Nazni advertising,Digital Marketing Agencies,Advertising agency,Advertising agency,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70700 63159,N/A,,,"Rajgir, Bihar 803116",Rajgir,25.0261735,85.41728169999999,ChIJgXbqQAbv8jkRry-IKANEem8,https://www.google.com/maps/place/?q=place_id:ChIJgXbqQAbv8jkRry-IKANEem8,part_378,2026-09-20 20:19:43,4896
Flex Printing Restart Arts Agenc,Digital Marketing Agencies,Advertising agency,"Advertising agency, Invitation printing service, Print shop, Screen printing shop",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 89358 04930,N/A,4.7,,"Flex Printing Restart Arts Agency, infront of hotel dimond inn, Bank of india, above Medisure hospital, Rajgir, Bihar 803116",Rajgir,25.0309615,85.4171743,ChIJ9wTzN5Pv8jkRx4fibQZiCJ0,https://www.google.com/maps/place/?q=place_id:ChIJ9wTzN5Pv8jkRx4fibQZiCJ0,part_378,2026-09-20 20:19:43,4897
KS DIGITAL WEBSITE SERVICE,Digital Marketing Agencies,Website designer,Website designer,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91100 43093,N/A,5.0,,"Lala gali, Silao, Bihar 803117",803116,25.083753299999998,85.42873349999999,ChIJp4h8er3v8jkRfroFJOUL5nU,https://www.google.com/maps/place/?q=place_id:ChIJp4h8er3v8jkRfroFJOUL5nU,part_378,2026-09-20 20:19:43,4898
iFFi Media Works – Digital Marketing Agency,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Educational consultant, Event planner",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 94733 70867,https://iffimediaworks.com/,4.9,,"S 19, Nagar Parishad Market, Siswan Dhala, M M Colony, Siswan Tola, Siwan, Bihar 841226","M M Colony, Siswan Tola",26.2108407,84.3643221,ChIJaRCwh2r9kjkRWjUPOGIo0_U,https://www.google.com/maps/place/?q=place_id:ChIJaRCwh2r9kjkRWjUPOGIo0_U,part_378,2026-09-20 20:19:43,4899
Online Payment,Digital Marketing Agencies,Advertising agency,Advertising agency,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"Nh82, Bihar 803116",Dangi Tola,25.026101399999998,85.41860899999999,ChIJu5rWNP7v8jkRSbkoQN87urM,https://www.google.com/maps/place/?q=place_id:ChIJu5rWNP7v8jkRSbkoQN87urM,part_378,2026-09-20 20:19:43,4900
Bazaar Digital,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising Photographer, Graphic designer, Internet marketing service, Market researcher, Advertising agency, Marketing consultant, Web hosting company, Website designer",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82105 46110,https://www.bazaardigital.in/,4.8,,"LG 9, Dumraon Palace, near Dak Bunglow, Chauraha, Fraser Road Area, Patna, Bihar 800001","Chauraha, Fraser Road Area",25.610885099999997,85.13767949999999,ChIJ7XX0SnZZ7TkR2hKaLJt787o,https://www.google.com/maps/place/?q=place_id:ChIJ7XX0SnZZ7TkR2hKaLJt787o,part_378,2026-09-20 20:19:43,4901
Bazaar Digital,Digital Marketing Agencies,Advertising agency,"Advertising agency, Graphic designer, Web hosting company, Website designer",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82105 46110,https://bazaardigital.in/,4.9,,"V.Mart Mall, near, Rajkumarganj, Kathalbari, Darbhanga, Bihar 846004","Rajkumarganj, Kathalbari",26.154076399999997,85.89920769999999,ChIJqVUviUW57TkRhO3WPqy9cVY,https://www.google.com/maps/place/?q=place_id:ChIJqVUviUW57TkRhO3WPqy9cVY,part_378,2026-09-20 20:19:43,4902
Clickkart Digital,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Design agency, E-commerce service, Graphic designer, Marketing agency, Marketing consultant, Software company, Web hosting company, Website designer",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 91555 83376,https://clickkartdigital.com/,4.9,,"2nd Floor, NK Studio Building, Kangkar Bagh Road, opposite Gravity Mall, Ghrounda, Patna, Bihar 800020",Ghrounda,25.6031472,85.1538964,ChIJI04kfGlZ7TkRjEtdGLYloLA,https://www.google.com/maps/place/?q=place_id:ChIJI04kfGlZ7TkRjEtdGLYloLA,part_378,2026-09-20 20:19:43,4903
Adver Digify - Digital Marketing Agency,Digital Marketing Agencies,Advertising agency,Advertising agency,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82927 69372,https://adverdigify.com/,4.9,,"3rd Floor, Narayan Exotica, Ashiana - Digha Rd, opposite Sunrise Hospital, Rajeev Nagar, Patna, Bihar 800024",Rajeev Nagar,25.6314836,85.08601519999999,ChIJP2CWYwBX7TkRZA7oCi6lPj4,https://www.google.com/maps/place/?q=place_id:ChIJP2CWYwBX7TkRZA7oCi6lPj4,part_378,2026-09-20 20:19:44,4904
