business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rajgir International Convention Centre,Exhibitions,Community center,Community center,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.8,16.0,"Tathagat Residential Hall, Nalanda University, Virayatan Rd, Bihar 803116",803116,25.012850699999998,85.4114401,ChIJear_CADl8jkRTNZAUAKYySA,https://www.google.com/maps/place/?q=place_id:ChIJear_CADl8jkRTNZAUAKYySA,part_378,2026-09-20 20:19:42,4827
"Veerayatan Jain Museum, Rajgir",Exhibitions,Tourist attraction,"Tourist attraction, Museum",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 22 6698 1853,N/A,4.5,2558.0,"राजगीर Nalanda Bihar 803116 Republic of, Bihar 803116",803116,25.0123094,85.40989379999999,ChIJl6RJfGXl8jkRHzQnewVIkIA,https://www.google.com/maps/place/?q=place_id:ChIJl6RJfGXl8jkRHzQnewVIkIA,part_378,2026-09-20 20:19:42,4828
Sushma Swaraj Auditorium,Exhibitions,Auditorium,Auditorium,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.5,16.0,"299H+FJ2, Pilkhi, Bihar 803116",803116,25.017711,85.3794222,ChIJtVoWpC_l8jkRhVUFIYaEv0M,https://www.google.com/maps/place/?q=place_id:ChIJtVoWpC_l8jkRhVUFIYaEv0M,part_378,2026-09-20 20:19:42,4829
Swarn Bhandar,Exhibitions,Tourist attraction,"Tourist attraction, Historical landmark, Buddhist temple",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 612 221 7045,N/A,4.3,3709.0,"2C38+HQ2, Rajgir, Bihar 803116",803116,25.0038758,85.41688429999999,ChIJjQ4udmrl8jkREVeHBIB_u9o,https://www.google.com/maps/place/?q=place_id:ChIJjQ4udmrl8jkREVeHBIB_u9o,part_378,2026-09-20 20:19:42,4830
RAJGIR WILDLIFE SAFARI,Exhibitions,Tourist attraction,"Tourist attraction, Park, Wildlife and safari park",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.3,10028.0,"Rajgir, Bihar 803116",803116,24.998719299999998,85.4243663,ChIJl9nz3JDl8jkRKIH72gEIEyk,https://www.google.com/maps/place/?q=place_id:ChIJl9nz3JDl8jkRKIH72gEIEyk,part_378,2026-09-20 20:19:42,4831
Nature Safari museum,Exhibitions,Museum,Museum,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.2,9.0,"XCXF+J6, Rajgir, Bihar 803116",803116,24.998108499999997,85.4234165,ChIJHWS7IwDl8jkRCHmuUo-WGpw,https://www.google.com/maps/place/?q=place_id:ChIJHWS7IwDl8jkRCHmuUo-WGpw,part_378,2026-09-20 20:19:42,4832
"Ravi Shankar Singh International Stadium Nalanda, Rajgir",Exhibitions,Stadium,Stadium,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,3.0,"29C7+FCM, Thera, Bihar 803116",803116,25.021223499999998,85.36356099999999,ChIJ54ckAADl8jkRb8sxSLq9V6I,https://www.google.com/maps/place/?q=place_id:ChIJ54ckAADl8jkRb8sxSLq9V6I,part_378,2026-09-20 20:19:42,4833
prem Punjabi Dhol Group bhangra Baja Rajgir Nalanda Bihar Patna India,Exhibitions,Event venue,Event venue,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://www.facebook.com/devendrakumar.devondrakumar.1?mibextid=ZbWKwL,4.8,8.0,"Bengali para, Rajgir, Bihar 803116",Bengali para,25.0261911,85.423536,ChIJr-1RJLnv8jkRdkwogwSVg6o,https://www.google.com/maps/place/?q=place_id:ChIJr-1RJLnv8jkRdkwogwSVg6o,part_378,2026-09-20 20:19:42,4834
कांफ्रेंस हॉल,Exhibitions,Community center,Community center,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.3,4.0,"Tathagat Residential Hall, Nalanda University, Virayatan Rd, Bihar 803116",803116,25.0132685,85.4114592,ChIJ2euVKADl8jkRWzkaMTSmw-4,https://www.google.com/maps/place/?q=place_id:ChIJ2euVKADl8jkRWzkaMTSmw-4,part_378,2026-09-20 20:19:42,4835
Bimbisar Jail,Exhibitions,Historical landmark,Historical landmark,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,3.9,621.0,"XCVH+XP2, NH 82, Rajgir, Bihar 803116",803116,24.994889699999998,85.4292555,ChIJa68ELjfl8jkRUc3aPBDrk8M,https://www.google.com/maps/place/?q=place_id:ChIJa68ELjfl8jkRUc3aPBDrk8M,part_378,2026-09-20 20:19:42,4836
