business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maa medical store,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"2CHH+74M, Dhoni Tola, Rajgir, Bihar 803116",Dhoni Tola,25.0282216,85.4278071,ChIJzW_ReADv8jkRd8cC4HW3Kt0,https://www.google.com/maps/place/?q=place_id:ChIJzW_ReADv8jkRd8cC4HW3Kt0,part_378,2026-09-20 20:19:16,1274
Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70914 30857,N/A,5.0,,"Karu bigha Po, Road, Karu Bigha, Bihar 803116",Karu Bigha,25.000500499999998,85.32875729999999,ChIJWf8ND67n8jkRpuBR1kn-yls,https://www.google.com/maps/place/?q=place_id:ChIJWf8ND67n8jkRpuBR1kn-yls,part_378,2026-09-20 20:19:16,1275
Pal Pharma Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Dangi Tola, Nalanda, SH-71, Nalanda, Nalanda, Bihar 803116",Bangali Para,25.025823,85.419511,ChIJ-YGJp_Xv8jkRe6_EHqShrUg,https://www.google.com/maps/place/?q=place_id:ChIJ-YGJp_Xv8jkRe6_EHqShrUg,part_378,2026-09-20 20:19:16,1276
Nalanda Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Main Bazar, Road, Rajgir, Bihar 803116",Dangi Tola,25.0268826,85.42264829999999,ChIJ_5UKh_bv8jkRc88fE9zn6us,https://www.google.com/maps/place/?q=place_id:ChIJ_5UKh_bv8jkRc88fE9zn6us,part_378,2026-09-20 20:19:16,1277
Suman Medical Agency,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 97980 39667,N/A,,,"Shop,01, Rajgir - Chhabilapur Rd, Katari, Bihar 803116",803116,25.0339627,85.34696249999999,ChIJ5xb7UZLp8jkRtharbc6um9c,https://www.google.com/maps/place/?q=place_id:ChIJ5xb7UZLp8jkRtharbc6um9c,part_378,2026-09-20 20:19:16,1278
Ganpati medical store,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Diamond Inn Station road, near by Hotel, Rajgir, Bihar 803116",803116,24.9860407,85.43817729999999,ChIJ4UIqd_zl8jkR0a6LM3am514,https://www.google.com/maps/place/?q=place_id:ChIJ4UIqd_zl8jkR0a6LM3am514,part_378,2026-09-20 20:19:16,1279
Shankar Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Karubigha, 803116, Pragati Nagar, Sipara, Patna, Bihar 803116","Pragati Nagar, Sipara",25.0014167,85.32865989999999,ChIJfeDjNjnm8jkRBHdzmRgZ9nY,https://www.google.com/maps/place/?q=place_id:ChIJfeDjNjnm8jkRBHdzmRgZ9nY,part_378,2026-09-20 20:19:16,1280
Raushan Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.5,,"SH71, Dangi Tola, Nalanda, Rajgir, Bihar 803116",Dangi Tola,25.0266293,85.4168897,ChIJ93BZ4Irv8jkREokzGJuwYx4,https://www.google.com/maps/place/?q=place_id:ChIJ93BZ4Irv8jkREokzGJuwYx4,part_378,2026-09-20 20:19:16,1281
Vidyarthi Medical Hall,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 74881 78950,N/A,3.9,,"Bus Stand, Dharamshala Rd, Dangi Tola, Rajgir, Bihar 803116",Dangi Tola,25.0260745,85.41974189999999,ChIJ2XILGPXv8jkRrWO4Vet5wl8,https://www.google.com/maps/place/?q=place_id:ChIJ2XILGPXv8jkRrWO4Vet5wl8,part_378,2026-09-20 20:19:16,1282
Khushbu Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.0,,"Dangi Tola, Nalanda, SH-71, Nalanda, Nalanda, Bihar 803116",Rajgir,25.026414,85.41556299999999,ChIJ_zdm4Irv8jkRVz-mobAxoYU,https://www.google.com/maps/place/?q=place_id:ChIJ_zdm4Irv8jkRVz-mobAxoYU,part_378,2026-09-20 20:19:16,1283
