business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SSD Web Solutions,SaaS Companies Selling to SMBs,Software company,"Software company, Internet marketing service, Business to business service, Telecommunications service provider",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://www.ssdweb.in/,4.9,,"inside Workster CoWorking, Swapnamandir Society, Vakil Nagar, Erandwane, Pune, Maharashtra 411004","Swapnamandir Society, Vakil Nagar, Erandwane",18.4993077,73.82795519999999,ChIJEyaSZ5xnzjsRG5Xb57Y5quk,https://www.google.com/maps/place/?q=place_id:ChIJEyaSZ5xnzjsRG5Xb57Y5quk,part_378,2026-09-20 20:19:44,4952
SaaSBoomi Foundation,SaaS Companies Selling to SMBs,Non-profit organization,Non-profit organization,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,http://www.saasboomi.org/,5.0,,"4th Floor, 152, 2nd Cross Rd, Stage 2, Domlur, Bengaluru, Karnataka 560071","Stage 2, Domlur",12.9640496,77.63879039999999,ChIJi8qgIgAVrjsRj3h_Ao8BIUM,https://www.google.com/maps/place/?q=place_id:ChIJi8qgIgAVrjsRj3h_Ao8BIUM,part_378,2026-09-20 20:19:44,4953
SMB Solutions pvt ltd,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 62816 28938,N/A,,,"SMB Solutions pvt ltd, 803116, India",803116,19.8316052,77.1207182,ChIJmSyq8eafTq0RhtPHesttxB4,https://www.google.com/maps/place/?q=place_id:ChIJmSyq8eafTq0RhtPHesttxB4,part_378,2026-09-20 20:19:44,4954
SureBytes,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 89797 62572,https://surebytes.in/,,,"SureBytes, 803116, India",803116,21.0680074,82.7525294,ChIJORoYDEddxE4RZyBGaFYZ9GE,https://www.google.com/maps/place/?q=place_id:ChIJORoYDEddxE4RZyBGaFYZ9GE,part_378,2026-09-20 20:19:44,4955
STREAMS SOLUTIONS,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://www.streamssolutions.com/?utm_source=org_search&utm_medium=gmb&utm_campaign=website_btn_clk&utm_id=gmbvirg&utm_content=google_page_view,5.0,,"STREAMS SOLUTIONS, 803116, India",803116,46.423669,-129.9427086,ChIJVVVVVdwYDTkRzqFFBPBjbno,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVdwYDTkRzqFFBPBjbno,part_378,2026-09-20 20:19:44,4956
SMB Dynamics,SaaS Companies Selling to SMBs,Software company,"Software company, Consultant, Marketing consultant, Website designer",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://smbdyn.com/,5.0,,"834 S Perry St Ste. F #214, Castle Rock, CO 80104, United States",803116,39.3625986,-104.8598505,ChIJ3QeGvxt_a4cR40KgpNlqFis,https://www.google.com/maps/place/?q=place_id:ChIJ3QeGvxt_a4cR40KgpNlqFis,part_378,2026-09-20 20:19:44,4957
SupplyFuture Technologies Private Limited OPC,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80750 51679,https://www.supplyfuture.com/,,,"SupplyFuture Technologies Private Limited OPC, 803116, India",803116,21.0680074,82.7525294,ChIJ4WPTW5EMCDsRCI1eUQNwBY4,https://www.google.com/maps/place/?q=place_id:ChIJ4WPTW5EMCDsRCI1eUQNwBY4,part_378,2026-09-20 20:19:44,4958
Ampliz,SaaS Companies Selling to SMBs,Software company,"Software company, Information services",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 96115 52525,http://bit.ly/2YOZStx,3.3,,"JS Towers, L 32, 2nd A Main Road, Outer Ring Rd, 6th Sector, HSR Layout, Bengaluru, Karnataka 560102","6th Sector, Sector 6, HSR Layout",12.9162465,77.6285783,ChIJKQAoNaoVrjsRRYjPIji1wa4,https://www.google.com/maps/place/?q=place_id:ChIJKQAoNaoVrjsRRYjPIji1wa4,part_378,2026-09-20 20:19:44,4959
Innoval Digital Solutions Pvt Ltd,SaaS Companies Selling to SMBs,Software company,Software company,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 471 407 4000,http://www.ivldsp.com/,4.4,,"Technopark, Thejaswini, Level 5, Technopark Rd, Technopark Campus, Kazhakkoottam, Keralam 695581",Technopark Campus,8.5565655,76.8819826,ChIJLf6XB9u_BTsRS8bshcl984M,https://www.google.com/maps/place/?q=place_id:ChIJLf6XB9u_BTsRS8bshcl984M,part_378,2026-09-20 20:19:44,4960
Secureix Network,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,http://secureix.in/,5.0,1.0,"Secureix Network, 803116, India",803116,40.266869,149.4904628,ChIJIT46MbRCeScRpcWmTQ0XBUk,https://www.google.com/maps/place/?q=place_id:ChIJIT46MbRCeScRpcWmTQ0XBUk,part_378,2026-09-20 20:19:45,4961
