business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
BUDDHA THAI SPA & SALON,Spa,Massage spa,Massage spa,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Bus Stand, Mall ke Uper, near Bank Of Baroda, Trends, Dangi Tola, Rajgir, Bihar 803116",Dangi Tola,25.026867799999998,85.41743989999999,ChIJp3Y_lUrv8jkR2cT1B8kARwM,https://www.google.com/maps/place/?q=place_id:ChIJp3Y_lUrv8jkR2cT1B8kARwM,part_378,2026-09-20 20:19:27,2822
A Bliss Spa,Spa,Spa,Spa,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,5.0,,"Gargee Gautam Vihar Resort Bunglow No. 1, Rajgir, Bihar 803116",803116,25.017257299999997,85.4161642,ChIJ5eP7kwXl8jkRnVI2INRb_wo,https://www.google.com/maps/place/?q=place_id:ChIJ5eP7kwXl8jkRnVI2INRb_wo,part_378,2026-09-20 20:19:27,2823
7 Hills Salon & Spa,Spa,Beauty Parlour,Beauty Parlour,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 92629 93779,N/A,4.6,,"2km ahead from, Nalanda Rajgir Road, Mod, Nalanda, Kul Phtehpur, Bihar 803111",803116,25.1076369,85.445448,ChIJF1Tvyi_x8jkRGWrxxuoZjxs,https://www.google.com/maps/place/?q=place_id:ChIJF1Tvyi_x8jkRGWrxxuoZjxs,part_378,2026-09-20 20:19:27,2824
Ansho Ferma .Rakesh kumar,Spa,Medical spa,Medical spa,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"Rajgir - Chhabilapur Rd, near BPA.Nalnda Bihar, BPA, Rajgir, Bihar 803116","BPA, Rajgir",25.025349499999997,85.4114302,ChIJx9zr9yzv8jkRz47TBnjmi3k,https://www.google.com/maps/place/?q=place_id:ChIJx9zr9yzv8jkRz47TBnjmi3k,part_378,2026-09-20 20:19:27,2825
Rajgir Hotspring (Saptdhara Kund),Spa,Thermal baths,"Thermal baths, Historical place, Tourist attraction",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.3,,"2C79+696, National Highway 82, Nimal, Rajgir, Bihar 803116",Nimal,25.013033699999998,85.4183901,ChIJlRosOV3l8jkRlnMhb8pGKC4,https://www.google.com/maps/place/?q=place_id:ChIJlRosOV3l8jkRlnMhb8pGKC4,part_378,2026-09-20 20:19:27,2826
International spa,Spa,Massage spa,Massage spa,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 70507 53940,https://internationalspa.in/,4.7,,"4th Floor Shop No. 401B, Shashi Complex, Near Raza Market Hotal Lilawati, Exhibition Rd, Patna, Bihar 800001",Fraser Road Area,25.6072706,85.1411706,ChIJn0kXfdxZ7TkRmw611v0X7NM,https://www.google.com/maps/place/?q=place_id:ChIJn0kXfdxZ7TkRmw611v0X7NM,part_378,2026-09-20 20:19:27,2827
राजीव कोयल,Spa,Spa,Spa,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"2G4G+3F2, Takhtaroja, Bihar 803109",803116,25.005130899999997,85.5261395,ChIJ0xdBKgD58jkR9oR1HRYzujQ,https://www.google.com/maps/place/?q=place_id:ChIJ0xdBKgD58jkR9oR1HRYzujQ,part_378,2026-09-20 20:19:27,2828
Dr Ajit Kumar Vijaynagar,Spa,Health spa,Health spa,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 80020 88059,N/A,,,"Shop No - 01, Vijaynagar, Silao, Barnousa, Bihar 803116",Vijaynagar,25.070497699999997,85.3529319,ChIJA7c0CQPv8jkRB5cv7-nTz80,https://www.google.com/maps/place/?q=place_id:ChIJA7c0CQPv8jkRB5cv7-nTz80,part_378,2026-09-20 20:19:27,2829
D2S Unisex salon and spa,Spa,Spa,"Spa, Foot massage parlor, Massage spa, Massage therapist",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 82357 59990,https://d2ssalon.com/,4.4,,"B140Housing South Of Panchshiv mandir, Kankarbagh, Mithapur, Patna, Bihar 800020","Kankarbagh, Mithapur",25.5951304,85.14820569999999,ChIJqSYacWZZ7TkRg-brnvM5T0c,https://www.google.com/maps/place/?q=place_id:ChIJqSYacWZZ7TkRg-brnvM5T0c,part_378,2026-09-20 20:19:27,2830
7 Hills Hotel & Resort,Spa,Hotel,Hotel,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 92629 93777,https://sevenhillsresort.com/,4.4,,"Bidupur, Kul Phtehpur, Bihar 803111",Bidupur,25.107526,85.44596949999999,ChIJ5zoTVwDx8jkRtv8eNcPnevg,https://www.google.com/maps/place/?q=place_id:ChIJ5zoTVwDx8jkRtv8eNcPnevg,part_378,2026-09-20 20:19:27,2831
Moon SPA & Salon,Spa,Spa,"Spa, Massage spa, Massage therapist, Thai massage therapist, Wellness center",803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 120 524 4777,https://www.moonspaandsalon.in/,4.4,,"Plot. No- G87, near Medanta Hospital, opp. Domino`s, Kankarbagh, Bankman Colony, Patna, Bihar 800020","Kankarbagh, Bankman Colony",25.6009228,85.1557327,ChIJR7fAXnpZ7TkRbO0SvMY2BDk,https://www.google.com/maps/place/?q=place_id:ChIJR7fAXnpZ7TkRbO0SvMY2BDk,part_378,2026-09-20 20:19:27,2832
"Arunya gautam vihar hotel & Resort, Rajgir",Spa,Resort hotel,Resort hotel,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",+91 92644 94053,https://www.aarunyahotel.com/,4.5,,"NH 82, near Indian Oil Petrol Pump, Tourism Complex, Rajgir, Bihar 803116","Tourism Complex, Rajgir",25.0290629,85.4166552,ChIJp_BCzbHv8jkR0GaAN8CSBTU,https://www.google.com/maps/place/?q=place_id:ChIJp_BCzbHv8jkR0GaAN8CSBTU,part_378,2026-09-20 20:19:27,2833
Therapian World spa,Spa,Spa,Spa,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,5.0,3.0,"Kargil Chowk, S p complax, near sahid, Bihar Sharif, Bihar 803216",Kisanbag,25.1764969,85.5112867,ChIJYfnpF63z8jkR78YP0CcfBp0,https://www.google.com/maps/place/?q=place_id:ChIJYfnpF63z8jkR78YP0CcfBp0,part_378,2026-09-20 20:20:06,6317
RR Salon & SPA,Spa,Barber shop,Barber shop,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,4.8,26.0,"Nalanda Colony, Ramchandrapur, Bihar Sharif, Bihar 803216","Nalanda Colony, Ramchandrapur",25.1985821,85.5126228,ChIJoyK_lgTz8jkRpGL3tgGifRk,https://www.google.com/maps/place/?q=place_id:ChIJoyK_lgTz8jkRpGL3tgGifRk,part_378,2026-09-20 20:20:06,6318
मंझौलहॉट,Spa,Sauna,Sauna,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,,,"4CM9+7RC, Nirpur, Bihar 803117",803117,25.133188099999998,85.41950109999999,ChIJs5W2PgDt8jkRIFpjb3WcCqw,https://www.google.com/maps/place/?q=place_id:ChIJs5W2PgDt8jkRIFpjb3WcCqw,part_378,2026-09-20 20:20:06,6319
Relax salon & spa,Spa,Store,Store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 79799 89317,N/A,4.2,5.0,"Biywani road, near Bari Pahari Bypass Road, near by green house restaurant bye pas, Bihar Sharif, Bihar 803118",803117,25.20325,85.5002653,ChIJz4XpINrz8jkRazveyACUuuM,https://www.google.com/maps/place/?q=place_id:ChIJz4XpINrz8jkRazveyACUuuM,part_378,2026-09-20 20:20:06,6320
VLCC PROFESSIONAL SALON,Spa,Spa,"Spa, Beautician",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 82521 75440,https://vlcc.com/,5.0,25.0,"Firstcry Store, 2nd Floor, Kagzi Mohalla At, Ranchi Rd, Atwari Bazar, Bihar Sharif, Bihar 803101",Atwari Bazar,25.2107039,85.51675279999999,ChIJm2U9RQDz8jkRV9S6zNVLk5Y,https://www.google.com/maps/place/?q=place_id:ChIJm2U9RQDz8jkRV9S6zNVLk5Y,part_378,2026-09-20 20:20:06,6321
Rihan spa Saloon,Spa,Hair salon,Hair salon,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,5.0,1.0,"5GH9+5P7, Masjid Road, Naya Tola, Bari Dargah, Chhapra Govind, Kamarpur Paharpur, Bihar 803101","Naya Tola, Bari Dargah",25.1779096,85.51928869999999,ChIJkTRbRADz8jkRf_tL4GQvLgM,https://www.google.com/maps/place/?q=place_id:ChIJkTRbRADz8jkRf_tL4GQvLgM,part_378,2026-09-20 20:20:06,6322
Royal Gents Hair Spa,Spa,Hair removal service,Hair removal service,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 86779 67271,N/A,4.9,39.0,"Kushwaha Market, Machhli Mandi, near Bata Showroom, Bihar Sharif, Bihar 803216",Ramchandrapur,25.1948604,85.51518639999999,ChIJsbvjxz3z8jkRhJq-BbdOdqo,https://www.google.com/maps/place/?q=place_id:ChIJsbvjxz3z8jkRhJq-BbdOdqo,part_378,2026-09-20 20:20:06,6323
MAMTA SINGHA,Spa,Health spa,Health spa,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 99312 51453,N/A,3.0,1.0,"Nawada Roh, Kisanbag, Nawada, Bihar Sharif, Bihar 803101","Nawada Roh, Kisanbag",25.1768321,85.513768,ChIJ-4wla2nz8jkRG7oJNgUk_lQ,https://www.google.com/maps/place/?q=place_id:ChIJ-4wla2nz8jkRG7oJNgUk_lQ,part_378,2026-09-20 20:20:06,6324
Raju Kumar,Spa,Health spa,Health spa,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 62032 13376,N/A,2.0,1.0,"Raju Kumar, 0110, Rajgir, Bihar Sharif, Bihar 803216",Rajgir,25.1708243,85.5063625,ChIJU5qwwLvz8jkRCvMrmia9oIs,https://www.google.com/maps/place/?q=place_id:ChIJU5qwwLvz8jkRCvMrmia9oIs,part_378,2026-09-20 20:20:06,6325
Saheli,Spa,Beauty Parlour,Beauty Parlour,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 87890 86262,N/A,5.0,,"saheli beauty parlour, Qamruddin Ganj, Bihar Sharif, Bihar 803101",Qamruddin Ganj,25.2043264,85.5170551,ChIJ0aSegMHz8jkRjOoTD3Avs0o,https://www.google.com/maps/place/?q=place_id:ChIJ0aSegMHz8jkRjOoTD3Avs0o,part_378,2026-09-20 20:20:07,6326
Aditya Gents Parlour & Spa,Spa,Spa,Spa,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,5.0,,"Digital duniya, Machli market, Nala Rd, Ramchandrapur, Bihar Sharif, Bihar 803216",Ramchandrapur,25.1970642,85.51502579999999,ChIJXfOradbz8jkRe6x7uA1Vgfk,https://www.google.com/maps/place/?q=place_id:ChIJXfOradbz8jkRe6x7uA1Vgfk,part_378,2026-09-20 20:20:07,6327
Heaven Spa,Spa,Spa,"Spa, Beauty Parlour",803118,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Sohsarai SO, Barara BO, Bhagan Bigha BO",+91 91137 46922,N/A,4.5,,"CHANDNI MOR, BADI MASJID, MOHALLA, Bhaisasur, Bihar Sharif, Bihar 803101","MOHALLA, Bhaisasur",25.201656,85.5202529,ChIJJ6vMhqf08jkR_zmk5SdFSSw,https://www.google.com/maps/place/?q=place_id:ChIJJ6vMhqf08jkR_zmk5SdFSSw,part_378,2026-09-20 20:20:46,8410
Haven spa,Spa,Spa,Spa,803118,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Sohsarai SO, Barara BO, Bhagan Bigha BO",N/A,N/A,3.0,,"5GWF+XHF, Pul Par, Bihar Sharif, Bihar 803101",Pul Par,25.1974396,85.52390779999999,ChIJv4s3RxL18jkRzw8Q0e7CsOg,https://www.google.com/maps/place/?q=place_id:ChIJv4s3RxL18jkRzw8Q0e7CsOg,part_378,2026-09-20 20:20:46,8411
Moonlight SPA/Salon,Spa,Hair salon,Hair salon,803118,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Sohsarai SO, Barara BO, Bhagan Bigha BO",N/A,N/A,,,"Amber Mor, Sogra Market, Durgasthan, Bihar Sharif, Bihar 803101","Sogra Market, Durgasthan",25.2063813,85.5253929,ChIJV25TdAD18jkRRKpuGT1l42M,https://www.google.com/maps/place/?q=place_id:ChIJV25TdAD18jkRRKpuGT1l42M,part_378,2026-09-20 20:20:46,8412
SK MAKEOVER,Spa,Beautician,"Beautician, Beauty Parlour, Facial spa",803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",+91 79033 76878,N/A,5.0,,"Nigam Road, Amber, Bihar Sharif, Bihar 803101",Amber,25.2052987,85.5250963,ChIJ8T8HP3318jkRnvYiCvHN48A,https://www.google.com/maps/place/?q=place_id:ChIJ8T8HP3318jkRnvYiCvHN48A,part_378,2026-09-20 20:21:25,9914
Shakuntala video mixing lab & shine spa beautiparlour,Spa,Video editing service,Video editing service,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",+91 84092 67330,N/A,5.0,,"NCC Office Rd, Baignabad, Bihar Sharif, Bihar 803101",Baignabad,25.2049853,85.5344211,ChIJa34sBAD18jkRvKydgAfZNIA,https://www.google.com/maps/place/?q=place_id:ChIJa34sBAD18jkRvKydgAfZNIA,part_378,2026-09-20 20:21:25,9915
शिशु केयर क्लिनिक,Spa,Medical spa,Medical spa,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,1.0,,"7G67+2FJ, Patasang, Bihar 803118",803119,25.2600816,85.5136437,ChIJ0Y3RMwCN8jkRJzUAi54hbMo,https://www.google.com/maps/place/?q=place_id:ChIJ0Y3RMwCN8jkRJzUAi54hbMo,part_378,2026-09-20 20:21:25,9916
Kamlesh Nikude,Spa,Sauna,Sauna,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,,,"7J94+7QV, Punha, Bihar 803119",803119,25.2682383,85.60692759999999,ChIJGzFP3uZh8jkRfnGH30vV7F0,https://www.google.com/maps/place/?q=place_id:ChIJGzFP3uZh8jkRfnGH30vV7F0,part_378,2026-09-20 20:21:25,9917
The Cutting King Unisex Salon & Spa in Patna,Spa,Beauty Parlour,"Beauty Parlour, Day spa, Eyelash salon, Facial spa, Fencing salon, Make-up artist, Nail salon, Hairdresser",803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",+91 77648 35047,https://www.thecuttingkingunisexsalonspa.com/,4.8,,"1st Floor, Kamla Market, RK Bhattacharya Rd, Salimpur Ahra, Golambar, Patna, Bihar 800001","Salimpur Ahra, Golambar",25.608681299999997,85.143461,ChIJxTh3PhtZ7TkR5a22qlBSskM,https://www.google.com/maps/place/?q=place_id:ChIJxTh3PhtZ7TkR5a22qlBSskM,part_378,2026-09-20 20:21:25,9918
Golden Door Spa & Saloon,Spa,Massage spa,Massage spa,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",+91 90444 42808,https://goldendoorspa.in/,4.9,,"First Floor, Block No 8, Baleshwar Ghat Rd, near Railway Station, Bahadurpur, Ballia, Uttar Pradesh 277001",Bahadurpur,25.7593367,84.1527661,ChIJc64pvdllkjkR14lO3JPQyo0,https://www.google.com/maps/place/?q=place_id:ChIJc64pvdllkjkR14lO3JPQyo0,part_378,2026-09-20 20:21:25,9919
Le Wellness SPA & SALON,Spa,Spa,Spa,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 82520 91450,N/A,4.9,,"1st Floor, Parvati Tower, Phulwari Rd, Jagdeo Path, Murlichak, Dhanaut, Patna, Bihar 800014","Jagdeo Path, Murlichak, Dhanaut",25.6023288,85.07423949999999,ChIJAfalQkZX7TkRG1bNxQCTMAI,https://www.google.com/maps/place/?q=place_id:ChIJAfalQkZX7TkRG1bNxQCTMAI,part_378,2026-09-20 20:22:03,11310
Gungun gents parlour and hair spa,Spa,Barber shop,Barber shop,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 83405 32381,N/A,4.8,,"8CG2+VQ2, Chandi, Bihar 803108",803120,25.3268068,85.4021114,ChIJXzxEFgCR8jkRD7-0MJzAmLY,https://www.google.com/maps/place/?q=place_id:ChIJXzxEFgCR8jkRD7-0MJzAmLY,part_378,2026-09-20 20:22:03,11311
Luxy spa & salon,Spa,Massage spa,Massage spa,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 92882 82188,N/A,4.4,,"Danapur - Khagaul Rd, near Hyundai showroom, Ram Krishna Puram, Balaji Nagar, Patna, Bihar 801503","Ram Krishna Puram, Balaji Nagar",25.614332899999997,85.0417564,ChIJ45-mN3dX7TkRyKl5Tp57KgQ,https://www.google.com/maps/place/?q=place_id:ChIJ45-mN3dX7TkRyKl5Tp57KgQ,part_378,2026-09-20 20:22:03,11312
Nice Beauty Parlour & Hair Spa,Spa,Beauty Parlour,Beauty Parlour,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 97986 32491,https://www.facebook.com/niceparlourchandi/,5.0,,"near Chandi bus stand, State Highway 78, Chandi, Bihar 803108",803120,25.3244872,85.4045203,ChIJN3nGqSWR8jkRB4UU0Phgrh4,https://www.google.com/maps/place/?q=place_id:ChIJN3nGqSWR8jkRB4UU0Phgrh4,part_378,2026-09-20 20:22:03,11313
Grand North East Thai SPA,Spa,Spa and health club,"Spa and health club, Health spa, Massage spa, Spa, Thai massage therapist",803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 80 6507 1231,https://www.gnetspa.in/,4.5,,"3rd floor, S.S Tower, near panch shiv mandir, opposite to idbi bank, Kankarbagh, Lohia Nagar, Patna, Bihar 800010","Kankarbagh, Lohia Nagar",25.5974988,85.1479351,ChIJkfK67H5Z7TkRgXms7OOWKBs,https://www.google.com/maps/place/?q=place_id:ChIJkfK67H5Z7TkRgXms7OOWKBs,part_378,2026-09-20 20:22:03,11314
Rup Nikhar Beauty Parlour & Hair Spa,Spa,Beauty Parlour,Beauty Parlour,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 95767 21216,N/A,3.5,,"Chandi, Bihar 803108",803120,25.3254375,85.4025625,ChIJ4bPlXJmR8jkR9m2iP3jvmmo,https://www.google.com/maps/place/?q=place_id:ChIJ4bPlXJmR8jkR9m2iP3jvmmo,part_378,2026-09-20 20:22:03,11315
Professional Spa Salon & Massage Centre,Spa,Spa,"Spa, Aadhaar center, Antenna service, Aromatherapy service, Foot massage parlor, Health spa, Massage supply store, Massage therapist, Sports massage therapist, Thai massage therapist",803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",N/A,N/A,4.7,,"Pillar No. 19, Godhavari Complex, 2nd Floor, 90 Feet Rd, Malahi Pakri, Kankarbagh, Patna, Bihar 800020","Malahi Pakri, Kankarbagh",25.5894372,85.1567269,ChIJUd3DvIRY7TkROm4WaXYls68,https://www.google.com/maps/place/?q=place_id:ChIJUd3DvIRY7TkROm4WaXYls68,part_378,2026-09-20 20:22:03,11316
A2N,Spa,Beauty Parlour,Beauty Parlour,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 96614 08208,N/A,4.6,,"1st Floor, Pulorvilla Heights, Ramnagri Rd, More, Ashiana Nagar Phase 1, Rukanpura, Patna, Bihar 800025","More, Ashiana Nagar Phase 1, Rukanpura",25.616233599999997,85.0797109,ChIJqcSRf6ZX7TkRTgPUZc2NKFE,https://www.google.com/maps/place/?q=place_id:ChIJqcSRf6ZX7TkRTgPUZc2NKFE,part_378,2026-09-20 20:22:03,11317
Relax massage service,Spa,Massage spa,Massage spa,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,+91 80028 15326,N/A,4.8,,"shop number 5, new Royal Surya Hotel, Siddharth market, near Civil Lines, Gaya, Bihar 823001",Durga Bari,24.7921177,85.0009062,ChIJhWDu1bwr8zkRA1PJQ9DN3tQ,https://www.google.com/maps/place/?q=place_id:ChIJhWDu1bwr8zkRA1PJQ9DN3tQ,part_378,2026-09-20 20:22:41,15744
Unisex Salon & spa,Spa,Beauty Parlour,Beauty Parlour,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,N/A,N/A,,,"no.6, Agam kuaa deepnag road, 6, road, Agam Kuan, deepnagar, Patna, Bihar 800008","Agam Kuan, deepnagar, Ranipur",25.5951035,85.204492,ChIJzxnrW2tf7TkRr4XWFeQoHOI,https://www.google.com/maps/place/?q=place_id:ChIJzxnrW2tf7TkRr4XWFeQoHOI,part_378,2026-09-20 20:22:41,15745
RUSY à Laurent,Spa,Massage spa,Massage spa,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,+91 88771 77776,http://www.rusyspa.com/,3.8,,"1st floor, Circular Rd, Lalpur, Ranchi, Jharkhand 834001",Lalpur,23.377386299999998,85.33162659999999,ChIJv4t5V1nh9DkRWbgJ_BGZurs,https://www.google.com/maps/place/?q=place_id:ChIJv4t5V1nh9DkRWbgJ_BGZurs,part_378,2026-09-20 20:22:41,15746
Spa sona,Spa,Spa,Spa,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,N/A,N/A,4.0,,"Shop No. 204, Pushpanjali & Mahesh Complex, Boring Rd, near NearJamuna Apartment, Anandpuri, Patna, Bihar 800013",Anandpuri,25.616194099999998,85.1146869,ChIJA1gwv9ZZ7TkRIUeqt-dGj6I,https://www.google.com/maps/place/?q=place_id:ChIJA1gwv9ZZ7TkRIUeqt-dGj6I,part_378,2026-09-20 20:22:41,15747
Beauty Place,Spa,Foot massage parlor,Foot massage parlor,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,N/A,N/A,5.0,,"5GW7+WWJ, Shree Ramchandra Singh Rd, Shivpuri Mohalla, Shivpuri Damuchak, Bihar Sharif, Bihar 803216","Shivpuri Mohalla, Shivpuri Damuchak",25.1973436,85.5147595,ChIJs4djHVzz8jkRzNI1Nn-yA2I,https://www.google.com/maps/place/?q=place_id:ChIJs4djHVzz8jkRzNI1Nn-yA2I,part_378,2026-09-20 20:22:41,15748
Krishna Beauty Parlour Spa,Spa,Beauty Parlour,Beauty Parlour,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,+91 93048 13673,N/A,5.0,,"New Jaganpura, Ramkrishan Nagar, Patna, Bihar 800027","New Jaganpura, Ramkrishan Nagar",25.5794431,85.15216939999999,ChIJrXxnkXen8jkRC6EgJ4lNd6k,https://www.google.com/maps/place/?q=place_id:ChIJrXxnkXen8jkRC6EgJ4lNd6k,part_378,2026-09-20 20:22:41,15749
H P C Spa and Beauty Salon,Spa,Spa,Spa,803121,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Ordnance Factory Rajgir SO,N/A,N/A,,,"P C Golambar, Bypass Crossing, near Hotel Patliputra Continental, Ali Nagar Colony, Anisabad, Patna, Bihar 800002","Ali Nagar Colony, Anisabad",25.585366699999998,85.09609999999999,ChIJU3xatfxX7TkRJcuXCe6lT5g,https://www.google.com/maps/place/?q=place_id:ChIJU3xatfxX7TkRJcuXCe6lT5g,part_378,2026-09-20 20:22:41,15750
Star Spa & Salon,Spa,Massage spa,"Massage spa, Massage therapist, Spa, Thai massage therapist",803201,Bihar Circle,Patna HQ Region,Patna Division,"FATWA S.O, BMACHHERIAMA BO, BARUNA BO",+91 120 524 4758,https://www.starspaandsalon.in/,4.4,,"1st Floor, Band Box Loundry, Shiv Shakti Bawan, Rajendra Path, Kadamkuan, Patna, Bihar 800003",Kadamkuan,25.609486699999998,85.14846399999999,ChIJ-9W10KYLB2IR_2liMgE22rg,https://www.google.com/maps/place/?q=place_id:ChIJ-9W10KYLB2IR_2liMgE22rg,part_378,2026-09-20 20:23:20,20278
The Golden Oak Spa & Salon,Spa,Massage spa,Massage spa,803201,Bihar Circle,Patna HQ Region,Patna Division,"FATWA S.O, BMACHHERIAMA BO, BARUNA BO",+91 95763 33516,https://thegoldenoakspa.com/,4.0,,"2nd Floor, Hira Panna Arcade, near P&M Mall, Patliputra Colony, Patna, Bihar 800013",Patliputra Colony,25.6315949,85.1053304,ChIJXTFiJt5X7TkRDmvgEUfa_lA,https://www.google.com/maps/place/?q=place_id:ChIJXTFiJt5X7TkRDmvgEUfa_lA,part_378,2026-09-20 20:23:20,20279
