business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
INTERNATIONAL BUDDHIST TRAVEL MART,Tradeshows,Exhibition and trade center,Exhibition and trade center,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,4.5,4.0,"Hans Plaza, Block Rd, Hans Tola, Dhoni Tola, Rajgir, Bihar 803116","Hans Tola, Dhoni Tola",25.030991999999998,85.42318759999999,ChIJ3zf16zDv8jkRvX-xy6kBGfA,https://www.google.com/maps/place/?q=place_id:ChIJ3zf16zDv8jkRvX-xy6kBGfA,part_378,2026-09-20 20:19:42,4776
Rajgir Events Show (Bihar India),Tradeshows,Event management company,Event management company,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,https://youtube.com/@rajgirbhangrabandeventsnalanda,4.5,,"Bangali Para, Rajgir, Bihar 803116",Bangali Para,25.0183496,85.4205678,ChIJp5FR_JXl8jkR97aH7MeaGJg,https://www.google.com/maps/place/?q=place_id:ChIJp5FR_JXl8jkR97aH7MeaGJg,part_378,2026-09-20 20:19:43,4777
Decorative facility management events,Tradeshows,Event management company,Event management company,803116,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rajgir SO, Barnausha BO, Goror BO",N/A,N/A,,,"international stadium 🏟️ & ptc, Thera, mod, near the, Rajgir, Bihar 803116",803116,25.017257299999997,85.4161642,ChIJK_LmPsXl8jkRC8RxgMN1GSo,https://www.google.com/maps/place/?q=place_id:ChIJK_LmPsXl8jkRC8RxgMN1GSo,part_378,2026-09-20 20:19:43,4778
Helipad Exhibition Centre,Tradeshows,Exhibition and trade center,Exhibition and trade center,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,4.6,285.0,"1, Exhibition Centre Rd, Old M.L.A.Quarters, Sector 17, Gandhinagar, Gujarat 382010","Old M.L.A.Quarters, Sector 17",23.223945999999998,72.652089,ChIJC_j6cgArXDkR8cn1LpehRZc,https://www.google.com/maps/place/?q=place_id:ChIJC_j6cgArXDkR8cn1LpehRZc,part_378,2026-09-20 20:20:22,7223
Pune International Exhibition and Convention Center,Tradeshows,Exhibition and trade center,Exhibition and trade center,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,4.4,1542.0,"MR6R+PQM, Sector No. 5, Moshi, Pimpri-Chinchwad, Maharashtra 411070","Sector No. 5, Moshi",18.6618405,73.8419179,ChIJi0TB0A25wjsRqAItCOpiZME,https://www.google.com/maps/place/?q=place_id:ChIJi0TB0A25wjsRqAItCOpiZME,part_378,2026-09-20 20:20:22,7224
Dream entertainment,Tradeshows,Event management company,Event management company,803118,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Sohsarai SO, Barara BO, Bhagan Bigha BO",+91 62063 61336,https://www.instagram.com/dreamentertainment22?igsh=MWtyZHo3bXJlN3VrNA==,5.0,,"post office, Sohsarai, Bihar Sharif, Bihar 803118",Sohsarai,25.2232608,85.51575729999999,ChIJp2phCcWN8jkRfV5HfP4nLE8,https://www.google.com/maps/place/?q=place_id:ChIJp2phCcWN8jkRfV5HfP4nLE8,part_378,2026-09-20 20:21:02,9142
Pyramidfabcon Eventmanager Pvt. Ltd.,Tradeshows,Event management company,Event management company,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 96652 96841,http://pfem.in/,4.5,8.0,"405/406, 4th, New Dak Bunglow Rd, Bander Bagicha, Fraser Road Area, Patna, Bihar 800001","Bander Bagicha, Fraser Road Area",25.6098581,85.13563409999999,ChIJR9YVQbNZ7TkRR49loQOU7CE,https://www.google.com/maps/place/?q=place_id:ChIJR9YVQbNZ7TkRR49loQOU7CE,part_378,2026-09-20 20:22:19,11961
AUTOCLUSTER EXHIBITION CENTER,Tradeshows,Exhibition and trade center,"Exhibition and trade center, Event venue, Exhibit",803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 20 6633 3700,http://www.autoclusterpune.org/,4.2,4895.0,"Auto cluster Exhibition Centre, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","MIDC, Chinchwad",18.6388394,73.8016208,ChIJvUvQkkm4wjsRYaQ7hftEHJ8,https://www.google.com/maps/place/?q=place_id:ChIJvUvQkkm4wjsRYaQ7hftEHJ8,part_378,2026-09-20 20:22:19,11962
Chennai Trade Centre - Nandambakkam,Tradeshows,Exhibition and trade center,Exhibition and trade center,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 44 2231 6033,http://www.chennaitradecentre.org/,4.5,5502.0,"600089, 600089, Nandambakkam, Tamil Nadu 600089",Ramapuram,13.0147579,80.1909526,ChIJW32wXDRnUjoR31spLSFZZH0,https://www.google.com/maps/place/?q=place_id:ChIJW32wXDRnUjoR31spLSFZZH0,part_378,2026-09-20 20:22:19,11963
India Global Grand Trade Fair,Tradeshows,Exhibition planner,Exhibition planner,803120,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Asta SO, Ajaypur BO, Choti Chariari BO",+91 87778 11672,https://grandtradefair.co.in/,4.2,31.0,"474, SPA Block, Chittaranjan Colony, Jadavpur, near EKTA HEIGHTS, Baghajatin Colony, Kolkata, West Bengal 700092","S.P.A Block, NO 2 Chittaranjan Colony, Chittaranjan Colony 2, Baghajatin Colony",22.486391299999998,88.37404529999999,ChIJ89Iv6XNxAjoR1xdw15YvcOo,https://www.google.com/maps/place/?q=place_id:ChIJ89Iv6XNxAjoR1xdw15YvcOo,part_378,2026-09-20 20:22:19,11964
