business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Samrat Nalin Maurya auto parts,Auto Spare Parts Shop,Auto repair shop,Auto repair shop,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,,,"4FF6+RFH, Nalanda, Bihar 803111",803117,25.1245187,85.461235,ChIJibm5OgDz8jkR3pMcKh-YNVs,https://www.google.com/maps/place/?q=place_id:ChIJibm5OgDz8jkR3pMcKh-YNVs,part_378,2026-09-20 20:19:59
Monu auto spare parts,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,4.6,,"Sohan kua, Sherpur, Bihar Sharif, Bihar 803216",Sherpur,25.191918899999997,85.51331929999999,ChIJIapvkSjz8jkRdlZlqrKyg7s,https://www.google.com/maps/place/?q=place_id:ChIJIapvkSjz8jkRdlZlqrKyg7s,part_378,2026-09-20 20:19:59
ANAND MOTORS,Auto Spare Parts Shop,Auto parts store,Auto parts store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 97080 75952,N/A,5.0,,"Tower Road Back of Petrol pump, Kisanbag, Rana Bigha, Bihar Sharif, Bihar 803216",Kisanbag,25.1753699,85.50921699999999,ChIJAfHjQADz8jkRNA9mK2Ib4Q4,https://www.google.com/maps/place/?q=place_id:ChIJAfHjQADz8jkRNA9mK2Ib4Q4,part_378,2026-09-20 20:19:59
Anup motor parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,5.0,,"5GQ4+PR5 DTO office, Devisarai, Bihar Sharif, Bihar 803216",Devisarai,25.187559999999998,85.50741,ChIJ2f05aQDz8jkRR9H6Hy_nk0E,https://www.google.com/maps/place/?q=place_id:ChIJ2f05aQDz8jkRR9H6Hy_nk0E,part_378,2026-09-20 20:19:59
New Deepak Automobile,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto body parts supplier, Car stereo store",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 93044 52914,https://www.newdeepakautomobile.co.in/,4.6,,"Palika Bazar, Patel Nagar, Bhaisasur, Bihar Sharif, Bihar 803101",Patel Nagar,25.2011127,85.51706279999999,ChIJ42M8B1nz8jkRXx8tlCixfMM,https://www.google.com/maps/place/?q=place_id:ChIJ42M8B1nz8jkRXx8tlCixfMM,part_378,2026-09-20 20:19:59
Prasad automobiles(Mahindra and Tata genuine parts),Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto air conditioning service, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto market, Auto Accessories Store",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 79911 49214,N/A,5.0,,"Parmeshwar market, Ramchandrapur, Bihar Sharif, Bihar 803101",Ramchandrapur,25.194696699999998,85.5109514,ChIJ6VWCwDLz8jkRVEFuj79QTAQ,https://www.google.com/maps/place/?q=place_id:ChIJ6VWCwDLz8jkRVEFuj79QTAQ,part_378,2026-09-20 20:19:59
New Life Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 93343 67116,N/A,4.0,,"Devi Asthan, Ranchi Rd, near Utkash Small Finance Bank, Bhaisasur, Bihar Sharif, Bihar 803101",Bhaisasur,25.2024133,85.5178054,ChIJgWtFSVjz8jkRW8EXx65bfwc,https://www.google.com/maps/place/?q=place_id:ChIJgWtFSVjz8jkRW8EXx65bfwc,part_378,2026-09-20 20:19:59
Balaji spares parts,Auto Spare Parts Shop,Auto repair shop,Auto repair shop,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,5.0,,"5GP7+GX3, Soghra College-Badi Dargah More Rd, Madhepura, Sherpur, Bihar Sharif, Bihar 803101","Madhepura, Sherpur",25.186256699999998,85.5149107,ChIJLQRLAQDz8jkRcvfZ6aXrPO4,https://www.google.com/maps/place/?q=place_id:ChIJLQRLAQDz8jkRcvfZ6aXrPO4,part_378,2026-09-20 20:19:59
Castrol Bike Point - K K Auto Parts,Auto Spare Parts Shop,Motorcycle parts store,"Motorcycle parts store, Bike wash, Car repair and maintenance service, Oil change service, Repair service",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 93048 54107,https://www.castrol.com/en_in/india/home/services/bike-point.html/?utm_source=locator&utm_medium=brand_website,4.5,,"Ranchi Rd, near PWD Office, Bhainsa Singh, D. M. Colony, Bihar Sharif, Bihar 803101","Bhainsa Singh, D. M. Colony",25.2044085,85.51683469999999,ChIJaRdHKRbz8jkRfA5TRG4V1TQ,https://www.google.com/maps/place/?q=place_id:ChIJaRdHKRbz8jkRfA5TRG4V1TQ,part_378,2026-09-20 20:20:00
Kainat Auto Shine,Auto Spare Parts Shop,Auto Accessories Store,"Auto Accessories Store, Motorcycle parts store",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 62010 46509,N/A,3.7,,"6G29+44C, Ranchi Rd, Near Government Bus Stand, Qamruddin Ganj, Bihar Sharif, Bihar 803101",Qamruddin Ganj,25.2003167,85.5177702,ChIJJaeA41jz8jkRfQ5ZXzsPXj8,https://www.google.com/maps/place/?q=place_id:ChIJJaeA41jz8jkRfQ5ZXzsPXj8,part_378,2026-09-20 20:20:00
Darshan Auto Parts,Auto Spare Parts Shop,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Auto parts store",803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 72506 98758,N/A,5.0,,"6G88+8JQ, Moghul Kaun Road, Habibpura, Bihar Sharif, Bihar 803118",Habibpura,25.215836499999998,85.5165967,ChIJxbr3zFTz8jkRYCu_uc9mEig,https://www.google.com/maps/place/?q=place_id:ChIJxbr3zFTz8jkRYCu_uc9mEig,part_378,2026-09-20 20:20:00
Aarna car club ! Best car accessories in biharsharif!,Auto Spare Parts Shop,Auto Accessories Store,Auto Accessories Store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 93349 14102,N/A,5.0,,"opposite to kiran automobile, Bihar Sharif, Baibani, Bihar 803118",803117,25.213159899999997,85.5004804,ChIJGRiG-ADz8jkRZjw012zyhmw,https://www.google.com/maps/place/?q=place_id:ChIJGRiG-ADz8jkRZjw012zyhmw,part_378,2026-09-20 20:20:00
Verma Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 94316 87991,N/A,2.9,,"Ranchi Road , Near Bhaisasur Devi asthan, Bihar Sharif, Bihar 803101",Patel Nagar,25.2019636,85.5175727,ChIJ98aEUljz8jkRvkuzmR2ZUQQ,https://www.google.com/maps/place/?q=place_id:ChIJ98aEUljz8jkRvkuzmR2ZUQQ,part_378,2026-09-20 20:20:00
Maruti Suzuki genuine parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",N/A,N/A,5.0,,"Palika Market, Ranchi Rd, near manokamna mandir, behind shrileather, Patel Nagar, Bihar Sharif, Bihar 803101",Patel Nagar,25.2013318,85.5160271,ChIJKc-IUwDz8jkRg31TnoR5oqE,https://www.google.com/maps/place/?q=place_id:ChIJKc-IUwDz8jkRg31TnoR5oqE,part_378,2026-09-20 20:20:01
Radhika Automobile,Auto Spare Parts Shop,Auto body parts supplier,Auto body parts supplier,803117,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Silao SO, Banarsibigha BO, Bara BO",+91 72740 38366,N/A,4.0,,"6G28+FWM, Palika Sabji Market, Patel Nagar Road & Ranchi Road, Nalanda, Bihar Sharif, Bihar 803101",Patel Nagar,25.2012131,85.51728969999999,ChIJqYV9AFnz8jkR_QF52QlEU5Y,https://www.google.com/maps/place/?q=place_id:ChIJqYV9AFnz8jkR_QF52QlEU5Y,part_378,2026-09-20 20:20:01
