business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"RS Primary Health Centre, Wena, Nalanda",Wellness Center,Health consultant,Health consultant,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",+91 91990 19431,N/A,5.0,2.0,"NH 31, Wena, Bihar 803119",803119,25.324377199999997,85.5240912,ChIJRUTjOwCJ8jkRXRqJz7puV2o,https://www.google.com/maps/place/?q=place_id:ChIJRUTjOwCJ8jkRXRqJz7puV2o,part_378,2026-09-20 20:21:26
Health and wellness centre,Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,,,"7J57+GJ9, Hussainpur, Kaiampur Makhdumpur, Bihar 803107",803119,25.258784499999997,85.6141181,ChIJ37-weQBh8jkR07n4YzF0-XI,https://www.google.com/maps/place/?q=place_id:ChIJ37-weQBh8jkR07n4YzF0-XI,part_378,2026-09-20 20:21:26
Rahui fitness centre,Wellness Center,Department of motor vehicles,Department of motor vehicles,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,3.9,7.0,"7HG3+P5J, Amba, Bihar 803119",803119,25.276833099999998,85.5528844,ChIJ4WiBJQCL8jkRME6UrIlec8Y,https://www.google.com/maps/place/?q=place_id:ChIJ4WiBJQCL8jkRME6UrIlec8Y,part_378,2026-09-20 20:21:26
"Primary Health Centre,Amba",Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,4.3,3.0,"7G6P+9HR, Sikandarpur Digpura, Bihar 803119",803119,25.2609942,85.53638579999999,ChIJN9azzHWL8jkRyVcLrGgfIQo,https://www.google.com/maps/place/?q=place_id:ChIJN9azzHWL8jkRyVcLrGgfIQo,part_378,2026-09-20 20:21:26
"Primary Health Center, Rahui",Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,3.0,5.0,"7H83+7M4, Rahui, Mirzapur, Bihar 803119",803119,25.265627499999997,85.5542059,ChIJE158xqmL8jkR-pMTdFuj-Uk,https://www.google.com/maps/place/?q=place_id:ChIJE158xqmL8jkR-pMTdFuj-Uk,part_378,2026-09-20 20:21:26
Sky health center,Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,,,"7HF4+353, bajrangimor, Rahui, Bihar 803119",803119,25.272633199999998,85.55542009999999,ChIJRZdhke-L8jkRwsYOX4Io2rU,https://www.google.com/maps/place/?q=place_id:ChIJRZdhke-L8jkRwsYOX4Io2rU,part_378,2026-09-20 20:21:26
Vehicle fitness testing centre nalanda,Wellness Center,Government office,Government office,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,4.0,5.0,"7HC4+XR4, Rahui, Bihar 803119",803119,25.272382099999998,85.55706599999999,ChIJoyZbIwCL8jkRPTkqyjU12JA,https://www.google.com/maps/place/?q=place_id:ChIJoyZbIwCL8jkRPTkqyjU12JA,part_378,2026-09-20 20:21:26
"Sub Health Center, Mirzapur",Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,,,"7H53+P6J, Mirzapur, Rahui, Sherpur, Bihar 803119","Mirzapur, Rahui",25.2593487,85.5530239,ChIJZz5wWgCL8jkR1O1IfQ2d-ko,https://www.google.com/maps/place/?q=place_id:ChIJZz5wWgCL8jkR1O1IfQ2d-ko,part_378,2026-09-20 20:21:27
bhushan Madikal,Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,5.0,,"8J84+RQG, Nijay Main Rd, Bodhnagar, Abdulhai Chak, Bihar 803119",803119,25.317060899999998,85.6069681,ChIJaas6eVZj8jkRqQSaJhaQT9s,https://www.google.com/maps/place/?q=place_id:ChIJaas6eVZj8jkRqQSaJhaQT9s,part_378,2026-09-20 20:21:27
Rinku Medical Hall,Wellness Center,Medical Center,Medical Center,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,5.0,,"7JX4+Q4V, Sonsa, Bihar 803119",803119,25.299476499999997,85.6052919,ChIJtST3VgBh8jkRaVI3t2UDYDU,https://www.google.com/maps/place/?q=place_id:ChIJtST3VgBh8jkRaVI3t2UDYDU,part_378,2026-09-20 20:21:27
Ranjay Institute of Medical Science & pvt. Lmt..(RIMS),Wellness Center,Hospital,Hospital,803119,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Rahui SO, Amba BO, Barandi BO",N/A,N/A,4.0,,"6GR8+M6X, Lohri, Musepur Saifuddin, Bihar 803118",803119,25.241744,85.5156051,ChIJ9TV7OEiN8jkRfK_-WNaBj2c,https://www.google.com/maps/place/?q=place_id:ChIJ9TV7OEiN8jkRfK_-WNaBj2c,part_378,2026-09-20 20:21:27
