business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pragya Poly Clinic,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 70910 67666,N/A,5.0,,"H4HJ+GRV, Bhupatipur Link Rd, New Etwarpur, Sipara, Patna, Bihar 800020","New Etwarpur, Sipara",25.5788628,85.1320592,ChIJo_WjDwCn8jkRupmW4ip0lS4,https://www.google.com/maps/place/?q=place_id:ChIJo_WjDwCn8jkRupmW4ip0lS4,part_378,2026-09-20 20:24:29
Sita Poly Clinic,Polyclinic,Health consultant,Health consultant,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 62992 73594,N/A,5.0,,"Pani tanki, Bhogipur, Patna, Chakpul, Bihar 804453",Bhogipur,25.5601216,85.1436282,ChIJI3ab0Cen8jkRpnolZon5WDg,https://www.google.com/maps/place/?q=place_id:ChIJI3ab0Cen8jkRpnolZon5WDg,part_378,2026-09-20 20:24:29
MAA POLY CLINIC,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 70046 06054,N/A,4.9,,"MAA POLY CLINIC (JUST, POST OFFICE, opposite of New Jaganpura, nearby Patna Central School Road, New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800027","New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar",25.580153499999998,85.1558326,ChIJReoMO32n8jkRAAAAMESQYng,https://www.google.com/maps/place/?q=place_id:ChIJReoMO32n8jkRAAAAMESQYng,part_378,2026-09-20 20:24:29
Nirgo Poly Clinic,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 99317 27089,N/A,,,"Gaya Line Issarpur, New Etwarpur, Aitwarpur, Patna, Bihar 800030","New Etwarpur, Aitwarpur",25.574535299999997,85.1265763,ChIJU-36R_On8jkRn68EAv3KeQQ,https://www.google.com/maps/place/?q=place_id:ChIJU-36R_On8jkRn68EAv3KeQQ,part_378,2026-09-20 20:24:29
Pallavi poly clinic,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",N/A,N/A,,,"H48R+8R8, Patna, Bihar 800030",803203,25.5657167,85.1419171,ChIJfToKhjin8jkRP40YomjCxaA,https://www.google.com/maps/place/?q=place_id:ChIJfToKhjin8jkRP40YomjCxaA,part_378,2026-09-20 20:24:29
RAJ POLY CLINIC & MEDICAL HALL,Polyclinic,Hospital,Hospital,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 91355 76821,N/A,5.0,,"krishna Niketan, Bajrangi Chawk, Road, Jakariyapur, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800030","Jakariyapur, East Lakshmi Nagar, Ramkrishan Nagar",25.5807461,85.1798108,ChIJbRLiGPtZ7TkR22bpWgfzp6k,https://www.google.com/maps/place/?q=place_id:ChIJbRLiGPtZ7TkR22bpWgfzp6k,part_378,2026-09-20 20:24:29
Vrishti Poly Clinic,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",N/A,N/A,,,"G4R9+9H8, Repose Rd, Parsa Bazar, Punpun, Parsa, Bihar 804453","Parsa Bazar, Punpun",25.5404007,85.11832179999999,ChIJg3A8NACn8jkRskgTvdGqpnk,https://www.google.com/maps/place/?q=place_id:ChIJg3A8NACn8jkRskgTvdGqpnk,part_378,2026-09-20 20:24:29
KUSUM POLYCLINIC,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 82104 44426,N/A,5.0,,"Harishchandra Nagar, Sipara, Patna, Bihar 800030","Harishchandra Nagar, Sipara",25.5809799,85.1308904,ChIJVbJgmb2n8jkRy0LJ31HTLNo,https://www.google.com/maps/place/?q=place_id:ChIJVbJgmb2n8jkRy0LJ31HTLNo,part_378,2026-09-20 20:24:29
SITA POLY CLINIC,Polyclinic,Hospital department,Hospital department,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 62992 73594,N/A,,,"Ramkrishna nagar Ghana colony chaurah mod, se purv, Gali Number 5, near Your library, Patna, Bihar 800027","East Ram Krishna Nagar, Ramkrishan Nagar",25.580735999999998,85.1439054,ChIJVYEeLnin8jkRP8EMh3mljb8,https://www.google.com/maps/place/?q=place_id:ChIJVYEeLnin8jkRP8EMh3mljb8,part_378,2026-09-20 20:24:29
Shekhar Poly Clinic,Polyclinic,Medical clinic,Medical clinic,803203,Bihar circle,Patna HQ Region,Patna Division,"DGTOLA BO, NANDLALABAD BO, RUKUNPUR BO",+91 96086 04840,N/A,,,"H4HH+GWG, 35 Feet Rd, New Etwarpur, Sipara, Patna, Bihar 800030","New Etwarpur, Sipara",25.5788223,85.129829,ChIJy04Jqoun8jkRw2M6wHjV9KQ,https://www.google.com/maps/place/?q=place_id:ChIJy04Jqoun8jkRw2M6wHjV9KQ,part_378,2026-09-20 20:24:29
