business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chulha chowka,Bar and Pub,Family restaurant,Family restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 99992 24752,N/A,3.9,,"Jai Maa Kali complex, Station Rd, Station Bazar, Barh, Bihar 803213",Station Bazar,25.463753699999998,85.7063785,ChIJuXT27zF78jkROunKcR5rl38,https://www.google.com/maps/place/?q=place_id:ChIJuXT27zF78jkROunKcR5rl38,part_378,2026-09-20 20:25:02
Tuntun,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,,,"FJ63+PRF, NH 31, Athmal Gola, Satbhaiya Ram Nagar, Bihar 803211",803211,25.461968,85.604973,ChIJ_5WafwB98jkRAzAEglX3jTE,https://www.google.com/maps/place/?q=place_id:ChIJ_5WafwB98jkRAzAEglX3jTE,part_378,2026-09-20 20:25:02
Golu gop sarkar,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,3.0,,"CHCR+FV3, Jamalpur Barhia, Bihar 803211",803211,25.4211375,85.5921719,ChIJIyvciHCH8jkRib6Hcykm_CQ,https://www.google.com/maps/place/?q=place_id:ChIJIyvciHCH8jkRib6Hcykm_CQ,part_378,2026-09-20 20:25:02
NIRJ PANI PURI,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 99348 82231,N/A,4.0,,"FM5F W9F West Malahi, Diara Malahi, Bihar 803213",803211,25.4610915,85.6731848,ChIJ6YnWqG598jkRXpPA6269A2o,https://www.google.com/maps/place/?q=place_id:ChIJ6YnWqG598jkRXpPA6269A2o,part_378,2026-09-20 20:25:02
Vikash Kumar,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,5.0,,"CM46+JHW, Mankaura, Bihar 803213",803211,25.4066169,85.6614682,ChIJtTnUOQBj8jkR61WYAPkoofY,https://www.google.com/maps/place/?q=place_id:ChIJtTnUOQBj8jkR61WYAPkoofY,part_378,2026-09-20 20:25:02
Nitish Raj,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,,,"9MM5+MXJ, Murtajapur, Bisunpur Malchak, Bihar 803213",803211,25.3842054,85.65987969999999,ChIJfRTpWABj8jkR-ZV1HMbapqc,https://www.google.com/maps/place/?q=place_id:ChIJfRTpWABj8jkR-ZV1HMbapqc,part_378,2026-09-20 20:25:02
Gulshan Kumar,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,,,"CJH2+CXP, Jamalpur, Jamalpur Barhia, Bihar 803211",803211,25.4285851,85.60246,ChIJJWf5OAB98jkRQuDGOszCxz0,https://www.google.com/maps/place/?q=place_id:ChIJJWf5OAB98jkRQuDGOszCxz0,part_378,2026-09-20 20:25:02
Ankit Kumar Singh,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,5.0,,"GMX6+HW4, Bishanpur Ber, Bihar 848501",803211,25.5488875,85.6623281,ChIJXxNhFgB_8jkRZPi2k0pMEAE,https://www.google.com/maps/place/?q=place_id:ChIJXxNhFgB_8jkRZPi2k0pMEAE,part_378,2026-09-20 20:25:02
550D TMT BAR,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,,,"Satbhaiya Ram Nagar, Bihar 803212",803211,25.461796999999997,85.5690308,ChIJ84WTtAWH8jkRTmb-7ma9NFM,https://www.google.com/maps/place/?q=place_id:ChIJ84WTtAWH8jkRTmb-7ma9NFM,part_378,2026-09-20 20:25:02
गीता ट्रेडर्स,Bar and Pub,Bar,Bar,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,3.0,,"Satbhaiya Ram Nagar, Bihar 803211",803211,25.4591545,85.6112407,ChIJk9OZF4N98jkRsnGiTc4S9PE,https://www.google.com/maps/place/?q=place_id:ChIJk9OZF4N98jkRsnGiTc4S9PE,part_378,2026-09-20 20:25:02
