business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KULHAD PIZZA,Family Restaurant,Pizza restaurant,Pizza restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,4.6,,"FJ2C+R97, Athmal Gola, Ramnagar Korari Kochhar, Bihar 803211",803211,25.4520432,85.6209299,ChIJZc1zEwB98jkRy6w68zalpCA,https://www.google.com/maps/place/?q=place_id:ChIJZc1zEwB98jkRy6w68zalpCA,part_378,2026-09-20 20:25:02
Tasty sweets and food,Family Restaurant,Alsace restaurant,Alsace restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 70336 40493,N/A,4.0,,"chowk, near Jalgovind, Jalgobind, Barh, Bihar 803213",803211,25.4616738,85.6771345,ChIJbaT416998jkR3IXICF0LT1A,https://www.google.com/maps/place/?q=place_id:ChIJbaT416998jkR3IXICF0LT1A,part_378,2026-09-20 20:25:02
Safar cafe,Family Restaurant,Fast food restaurant,Fast food restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,4.8,,"9J72+2CF, Powari, Bihar 803110",803211,25.3625644,85.6010622,ChIJU5bQOACJ8jkRMKx9aSBa024,https://www.google.com/maps/place/?q=place_id:ChIJU5bQOACJ8jkRMKx9aSBa024,part_378,2026-09-20 20:25:02
ROADIES FOOD FACTORY family Restaurant,Family Restaurant,Restaurant,Restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,4.5,,"AMS park, Boring Rd, behind bhagwati complex, Sri Krishna Puri, Patna, Bihar 800013",Sri Krishna Puri,25.616379499999997,85.11377039999999,ChIJT0xKj3tZ7TkR__AvrrG17J8,https://www.google.com/maps/place/?q=place_id:ChIJT0xKj3tZ7TkR__AvrrG17J8,part_378,2026-09-20 20:25:02
Sagar Family Restaurant,Family Restaurant,Family restaurant,"Family restaurant, Biryani restaurant, Restaurant",803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 99052 24021,N/A,3.7,,"West Rajendra Nagar Overbridge, Main, Kankerbagh Colony Rd, Kankarbagh, Patna, Bihar 800020","Kankarbagh, Bankman Colony",25.602656,85.15703289999999,ChIJPdnIlY1Y7TkRv53iV2jM5AM,https://www.google.com/maps/place/?q=place_id:ChIJPdnIlY1Y7TkRv53iV2jM5AM,part_378,2026-09-20 20:25:02
Karan Fast food,Family Restaurant,Fast food restaurant,Fast food restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 75649 17861,N/A,5.0,,"2, Ganjpar, Road, Athmal Gola, Bakhtiarpur, Bihar 803211",803211,25.4612742,85.5917013,ChIJvbTGK5iH8jkRlORpsSgOVaw,https://www.google.com/maps/place/?q=place_id:ChIJvbTGK5iH8jkRlORpsSgOVaw,part_378,2026-09-20 20:25:02
Chatkara Family Resturant,Family Restaurant,Family restaurant,"Family restaurant, Fast food restaurant",803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 95042 15658,N/A,3.6,,"Masaurhi Complex, Sati Stan 1st Floor, Masaurhi Main Rd, Masaurhi, Bihar 804452",803211,25.3528435,85.03067,ChIJqTkvmIWx8jkRZ0BhTTtehUI,https://www.google.com/maps/place/?q=place_id:ChIJqTkvmIWx8jkRZ0BhTTtehUI,part_378,2026-09-20 20:25:02
Cafe 11 to 11,Family Restaurant,Chinese restaurant,"Chinese restaurant, Biryani restaurant, Continental restaurant, Family restaurant, Mughlai restaurant, Pizza restaurant",803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 80513 11211,N/A,4.3,255.0,"Millat Market, near Thana, Golamber, Phulwari Sharif, Patna, Bihar 801505","Golamber, Minhaj Nagar, Birla Colony, Phulwari Sharif",25.5770604,85.06823399999999,ChIJ0-WZRnap8jkRvI-b_rsM8js,https://www.google.com/maps/place/?q=place_id:ChIJ0-WZRnap8jkRvI-b_rsM8js,part_378,2026-09-20 20:25:03
Hotel Divyanshi & Family Restaurant,Family Restaurant,Asian restaurant,Asian restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",N/A,N/A,4.9,,"NH 31, Agwanpur, Bihar 803214",803211,25.440726599999998,85.7344186,ChIJaXUkGQB78jkR0bLr3lSkdYM,https://www.google.com/maps/place/?q=place_id:ChIJaXUkGQB78jkR0bLr3lSkdYM,part_378,2026-09-20 20:25:03
Namaste Barh Family restaurant.,Family Restaurant,Restaurant,Restaurant,803211,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Athmalgola SO, Bhuapur BO, Chaksawar BO",+91 79035 24342,N/A,4.7,,"FPC3+GQR, NH 31, Barh, Bihar 803213",803211,25.4713994,85.70433799999999,ChIJw0w3LgB78jkRfth7L8BU0_k,https://www.google.com/maps/place/?q=place_id:ChIJw0w3LgB78jkRfth7L8BU0_k,part_378,2026-09-20 20:25:03
