business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Krishna Traders,Building Material Supplier,Building materials supplier,Building materials supplier,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 98350 77134,N/A,4.5,,"CHAMPAPUR, Patna - Bakhtiyarpur Rd, near IDBI BANK Champapur, East North, Ghoswari, Bihar 803212",East North,25.4708406,85.5046921,ChIJuW30SfeF8jkR4jNMpRKP_BM,https://www.google.com/maps/place/?q=place_id:ChIJuW30SfeF8jkR4jNMpRKP_BM,part_378,2026-09-20 20:25:49
Sweta Enterprises,Building Material Supplier,Building materials store,Building materials store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",N/A,N/A,5.0,,"FG6H+R82, Patna - Bakhtiyarpur Rd, Rawaich, Bakhtiarpur, Satbhaiya Ram Nagar, Bihar 803212",Rawaich,25.4620163,85.52825759999999,ChIJPx42IeyH8jkRhwm2E2yK-5M,https://www.google.com/maps/place/?q=place_id:ChIJPx42IeyH8jkRhwm2E2yK-5M,part_378,2026-09-20 20:25:49
PIHU ENTERPRISES,Building Material Supplier,Building materials store,Building materials store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",N/A,N/A,4.5,,"FH64+66X, Satbhaiya Ram Nagar, Bihar 803212",803212,25.4606174,85.55559989999999,ChIJvzVsXwCH8jkRI6c3Hpr5Fxo,https://www.google.com/maps/place/?q=place_id:ChIJvzVsXwCH8jkRI6c3Hpr5Fxo,part_378,2026-09-20 20:25:49
Nath bhole nath traders,Building Material Supplier,Building materials supplier,"Building materials supplier, Home goods store",803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 99396 36373,N/A,4.3,,"Dedaur rajputana tola, Bakhtiarpur, Champapur, Bihar 803212",803212,25.4685977,85.51047249999999,ChIJU93osDeF8jkRDYWznXqxaiw,https://www.google.com/maps/place/?q=place_id:ChIJU93osDeF8jkRDYWznXqxaiw,part_378,2026-09-20 20:25:49
SUSHIL TRADERS & KUMARI ENTERPRISES,Building Material Supplier,Building materials store,Building materials store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",N/A,N/A,4.3,,"FH62+5H7, Satbhaiya Ram Nagar, Bihar 803212",803212,25.4604119,85.5514129,ChIJ2YoJwEWH8jkRMJbIWnNfBes,https://www.google.com/maps/place/?q=place_id:ChIJ2YoJwEWH8jkRMJbIWnNfBes,part_378,2026-09-20 20:25:49
Jai Mata di enterprises,Building Material Supplier,Tile store,Tile store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 79799 08113,N/A,4.6,,"Main road, Bakhtiarpur, Satbhaiya Ram Nagar, Bihar 803212",803212,25.4606566,85.5361487,ChIJA7Yw-ZaH8jkRN5kolkNn4sA,https://www.google.com/maps/place/?q=place_id:ChIJA7Yw-ZaH8jkRN5kolkNn4sA,part_378,2026-09-20 20:25:49
Sinha traders -nuvoco,Building Material Supplier,Building materials store,Building materials store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 92792 06846,N/A,5.0,,"9G5G+43Q, ROD, GONAWAN, Harnaut, Bihar 803110",GONAWAN,25.3666679,85.5293949,ChIJObr-DwCJ8jkRvGVcGF3yesg,https://www.google.com/maps/place/?q=place_id:ChIJObr-DwCJ8jkRvGVcGF3yesg,part_378,2026-09-20 20:25:49
Rudravir Industries,Building Material Supplier,Paving materials supplier,"Paving materials supplier, Concrete product supplier, Construction Material Wholesaler",803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 70044 50478,http://www.rudravirindustries.com/,5.0,,"G-01, grand younus Corporate building, SP Verma Rd, Old Jakkanpur, Lodipur, Patna, Bihar 800001","Old Jakkanpur, Lodipur",25.6104555,85.1393449,ChIJxTdRLo5Z7TkRR354mpHjX1s,https://www.google.com/maps/place/?q=place_id:ChIJxTdRLo5Z7TkRR354mpHjX1s,part_378,2026-09-20 20:25:50
Bajrang Iron and Steel store,Building Material Supplier,Iron & Steel Store,Iron & Steel Store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 94716 04121,N/A,,,"Ramesh chandra utsav hall, Near, Railway gumti, Bakhtiarpur, Bihar 803212",803212,25.455454099999997,85.53810469999999,ChIJET4pCdSH8jkR4qVyn46wYZc,https://www.google.com/maps/place/?q=place_id:ChIJET4pCdSH8jkR4qVyn46wYZc,part_378,2026-09-20 20:25:50
Shivay enterprises,Building Material Supplier,Hardware store,Hardware store,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",+91 70049 10354,N/A,4.8,,"bajar gogi, Sabanahua, Harnaut, Bihar 803110",803212,25.368267799999998,85.52850099999999,ChIJEb9bIPCJ8jkRyQbCUJ7xk8Y,https://www.google.com/maps/place/?q=place_id:ChIJEb9bIPCJ8jkRyQbCUJ7xk8Y,part_378,2026-09-20 20:25:50
Maa Vindyavashini Trading,Building Material Supplier,Cement Supplier,Cement Supplier,803212,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bakhtiyarpur SO, Burhara BO, Chanda BO",N/A,N/A,4.3,,"FG6H+R25, Patna - Bakhtiyarpur Rd, Rawaich, Satbhaiya Ram Nagar, Bakhtiarpur, Bihar 803212",Rawaich,25.4620096,85.5276207,ChIJ5zHghYOG8jkR8IxD-9ZkTj4,https://www.google.com/maps/place/?q=place_id:ChIJ5zHghYOG8jkR8IxD-9ZkTj4,part_378,2026-09-20 20:25:51
