business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hindustan Press,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Digital printing service, Print shop",803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 94723 20606,https://www.facebook.com/baraunihindustanpress/,5.0,,"Jiyalal St, Gandhi Bazar, Shokhara, Barauni, Bihar 851112","Gandhi Bazar, Shokhara",25.4651908,85.9849304,ChIJhVC7168N8jkRm6TpWj1DHKY,https://www.google.com/maps/place/?q=place_id:ChIJhVC7168N8jkRm6TpWj1DHKY,part_378,2026-09-20 20:30:16
Maa Laxmi Offset Printing Press,Printing Press and Offset Printer,Print shop,Print shop,803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 98350 64715,N/A,3.9,,"Abulas Ln, Langar Toli, Sabzibagh, Machhua Toli, Patna, Bihar 800004","Langar Toli, Sabzibagh, Machhua Toli",25.615330999999998,85.1598241,ChIJT7wrkfBY7TkR2_b7m-hbpuA,https://www.google.com/maps/place/?q=place_id:ChIJT7wrkfBY7TkR2_b7m-hbpuA,part_378,2026-09-20 20:30:16
Mokama ad. agency,Printing Press and Offset Printer,Offset Printer,Offset Printer,803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 76450 74547,N/A,5.0,,"ward number 2, Station Rd, Gurudev Tola, Mokama, Mokameh Khas, Bihar 803302","Gurudev Tola, Mokama",25.3963687,85.9156859,ChIJc67tB4xt8jkRwKBidt_cPjk,https://www.google.com/maps/place/?q=place_id:ChIJc67tB4xt8jkRwKBidt_cPjk,part_378,2026-09-20 20:30:16
JANTA PRESS & DIGITAL GRAPHICS,Printing Press and Offset Printer,Print shop,Print shop,803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 95252 05943,N/A,,,"Sindhiya Chowk, Barauni, Bihar 851112",Sindhiya Chowk,25.464612799999998,85.9858983,ChIJFWSSecgN8jkRWLs73HywzlM,https://www.google.com/maps/place/?q=place_id:ChIJFWSSecgN8jkRWLs73HywzlM,part_378,2026-09-20 20:30:16
Kishor Offset Printing Press,Printing Press and Offset Printer,Offset Printer,Offset Printer,803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 97098 86262,N/A,5.0,56.0,"Bahadurpur Bagicha, Bahadurpur, Patna, Bihar 800006","Bahadurpur Bagicha, Bahadurpur",25.6037797,85.1754435,ChIJawllJLlY7TkRMC175mPYnLU,https://www.google.com/maps/place/?q=place_id:ChIJawllJLlY7TkRMC175mPYnLU,part_378,2026-09-20 20:30:17
Trish Media,Printing Press and Offset Printer,Print shop,"Print shop, Advertising agency, Digital printing service, Offset Printer, Vinyl sign shop",803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 93864 54306,N/A,4.9,68.0,"Govind Market, opp. M.B.D Building, Naya Tola, Bhikhana Pahari, Patna, Bihar 800016","Naya Tola, Bhikhana Pahari",25.6157978,85.1634028,ChIJIzdOK-9Y7TkRdbqchrQQDUk,https://www.google.com/maps/place/?q=place_id:ChIJIzdOK-9Y7TkRdbqchrQQDUk,part_378,2026-09-20 20:30:17
Sandip Graphic Design and Printers,Printing Press and Offset Printer,Commercial printer,"Commercial printer, Advertising agency, Banner store, Design agency, Digital printer, Digital printing service, Offset Printer, Print shop, Screen printer, 3D printing service",803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 98355 43310,N/A,5.0,612.0,"Girls Hostel Building, Bari Path, opp. Gurudwara, near Sapna Apartment, Naya Tola, Lalbagh, Patna, Bihar 800004","Naya Tola, Lalbagh",25.615270199999998,85.1652836,ChIJRdMLZX5Z7TkR_ajin32drAM,https://www.google.com/maps/place/?q=place_id:ChIJRdMLZX5Z7TkR_ajin32drAM,part_378,2026-09-20 20:30:17
Roshan Printers,Printing Press and Offset Printer,Commercial printer,"Commercial printer, Betting agency, Book publisher, Bookbinder, Digital printer, Offset Printer, Print shop",803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 93047 51613,N/A,4.9,28.0,"Bari Path, Kazipur Gali, opposite Gopal market, Naya Tola, Patna, Bihar 800016","Naya Tola, Dujra Diara",25.615615599999998,85.1624956,ChIJgZOrJ-9Y7TkR7oCUSUs3vk4,https://www.google.com/maps/place/?q=place_id:ChIJgZOrJ-9Y7TkR7oCUSUs3vk4,part_378,2026-09-20 20:30:17
Super Offset Printers & Stationers,Printing Press and Offset Printer,Print shop,Print shop,803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 70701 30303,N/A,5.0,6.0,"Opp Old Gurudwara Naya Tola, Kazipur, Bhikhana Pahari, Patna, Bihar 800016","Kazipur, Bhikhana Pahari",25.6150657,85.1626768,ChIJtcxu69RZ7TkR9YuEmjmlEO8,https://www.google.com/maps/place/?q=place_id:ChIJtcxu69RZ7TkR9YuEmjmlEO8,part_378,2026-09-20 20:30:17
Kishore Printing Press,Printing Press and Offset Printer,Copy shop,"Copy shop, Bookbinder, Books Wholesaler, Dress store, Offset Printer, Screen printer, Stamp shop",803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 91994 22550,N/A,4.2,71.0,"Near Sai Mandir ,Machhil Gali, Bailey Rd, Raja Bazar, Patna, Bihar 800014","Samanpura, Raja Bazar, Indrapuri",25.605835199999998,85.08640609999999,ChIJHVcUaJVX7TkRJlkmWDYAU78,https://www.google.com/maps/place/?q=place_id:ChIJHVcUaJVX7TkRJlkmWDYAU78,part_378,2026-09-20 20:30:17
ARVIND PRINTING PRESS,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Dairy, Digital printing service, Screen printer",803302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Mokama SO, Chintamanchak BO, Dhanak Dove BO",+91 98350 46059,N/A,4.6,65.0,"NORTH TO PILLAR, 52, Bailey Rd, Shiv Colony, Raja Bazar, Indrapuri, Patna, Bihar 800014","Shiv Colony, Raja Bazar, Indrapuri",25.6069268,85.0854329,ChIJRxHOBqpX7TkRHP_fXY59bU8,https://www.google.com/maps/place/?q=place_id:ChIJRxHOBqpX7TkRHP_fXY59bU8,part_378,2026-09-20 20:30:17
