business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Leoncino Fitness,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 62068 19435,N/A,5.0,,"SH2, Paliganj, Dharhara, Bihar 801110",804401,25.336431899999997,84.8142525,ChIJV6NNkV9PjTkRBUHtoVov6d4,https://www.google.com/maps/place/?q=place_id:ChIJV6NNkV9PjTkRBUHtoVov6d4,part_378,2026-09-20 20:32:29
Rock Fitness Gym,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 99733 71529,N/A,3.3,,"Post Office Ke Bagal Me, Rock Fitness Gym Kinjar Nh 110, Bihar 804423",804401,25.217351299999997,84.8303806,ChIJsSjUkg1JjTkRQaqcfInI500,https://www.google.com/maps/place/?q=place_id:ChIJsSjUkg1JjTkRQaqcfInI500,part_378,2026-09-20 20:32:29
THE GREAT CHAMPION GYM,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 93041 97481,N/A,4.7,,"SINGH SAHEB MARKET, NEW, Bahiro, Arrah, Bihar 802312",Bahiro,25.546813399999998,84.6726071,ChIJ-6NZHaJfjTkRnZebJrEcyOQ,https://www.google.com/maps/place/?q=place_id:ChIJ-6NZHaJfjTkRnZebJrEcyOQ,part_378,2026-09-20 20:32:29
"The Champion Gym , Arrah",Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 91137 97725,N/A,4.7,,"pakari, Arrah, Bihar 802301",pakari,25.558921299999998,84.65761499999999,ChIJI0FCBF9fjTkRaipWOiw4VsU,https://www.google.com/maps/place/?q=place_id:ChIJI0FCBF9fjTkRaipWOiw4VsU,part_378,2026-09-20 20:32:29
Aryan Gym,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 79032 28518,N/A,4.5,,"Mahavir Tola, sahid bhawan, Dr. Vivekanand KE bagal me, Arrah, Bihar 802301","Mahavir Tola, Babu Bazar",25.5603677,84.66670769999999,ChIJBQAAtGBfjTkRnt59tgjWRzw,https://www.google.com/maps/place/?q=place_id:ChIJBQAAtGBfjTkRnt59tgjWRzw,part_378,2026-09-20 20:32:29
Hunter Fitness Gym,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 97096 74322,http://hunterfitnessgym.com/,5.0,,"3rd Floor, Jocky brand, Hunter fitness, Karman Tola, Rajendra Nagar, Nawada, Arrah, Bihar 802301","Rajendra Nagar, Nawada",25.556521699999998,84.66740229999999,ChIJDyjPawNfjTkRFiCnqbiU4V0,https://www.google.com/maps/place/?q=place_id:ChIJDyjPawNfjTkRFiCnqbiU4V0,part_378,2026-09-20 20:32:29
Muscleden The Gym,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 88008 87048,N/A,4.9,,"Muscleden The Gym, Maulabagh, Bihar 824143",Maulabagh,25.033857299999998,84.4113752,ChIJn0KcctoPjTkRevWcHkvNKsQ,https://www.google.com/maps/place/?q=place_id:ChIJn0KcctoPjTkRevWcHkvNKsQ,part_378,2026-09-20 20:32:29
Gym Town,Fitness Chains,Gym,"Gym, Fitness center",804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 62071 09596,https://gym-town.brila.ai/,4.2,,"HM24+R76, Chowk, pakari, Arrah, Bihar 802301",pakari,25.552044799999997,84.6556464,ChIJsRkLxvpfjTkRR8BPaTQvgZM,https://www.google.com/maps/place/?q=place_id:ChIJsRkLxvpfjTkRR8BPaTQvgZM,part_378,2026-09-20 20:32:29
FZ GYM,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 98114 64198,N/A,4.8,,"Kashi Bazar, Takkad morde, Chapra, Bihar 841301",Takkad morde,25.7863841,84.7178229,ChIJH6q0oPa7kjkRgHfkjZ-sjIM,https://www.google.com/maps/place/?q=place_id:ChIJH6q0oPa7kjkRgHfkjZ-sjIM,part_378,2026-09-20 20:32:29
Harsh Fitness club,Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 95080 42334,N/A,4.8,,"Harsh Fitness Club Paharpura Pool, Road, Haspura, Mahendia, Bihar 824120",804401,25.075294099999997,84.54923649999999,ChIJ5RougncXjTkRwMJgH432pZQ,https://www.google.com/maps/place/?q=place_id:ChIJ5RougncXjTkRwMJgH432pZQ,part_378,2026-09-20 20:32:29
Gurudev fitness (second branch),Fitness Chains,Gym,Gym,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 84095 10808,N/A,5.0,,"Manorma complex, Main Road, chawal bazar, Daudnagar, Bihar 824143",chawal bazar,25.034461399999998,84.40522659999999,ChIJYc4RXnUPjTkRECO0F66HUDg,https://www.google.com/maps/place/?q=place_id:ChIJYc4RXnUPjTkRECO0F66HUDg,part_378,2026-09-20 20:32:30
