business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhoomi Enterprises,Real Estate Agents,Real estate agent,"Real estate agent, Real Estate Builders & Construction Company, Property management company",804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,https://bhoomienterpries.com/,5.0,82.0,"Purani police line infront of mahila thana, Santoshi Nagar, Old Police Line, Arrah, Bihar 802301","Santoshi Nagar, Old Police Line",25.565224,84.6618491,ChIJ-WXDF8hfjTkRCMoPcVks02c,https://www.google.com/maps/place/?q=place_id:ChIJ-WXDF8hfjTkRCMoPcVks02c,part_378,2026-09-20 20:32:47
Maa Aranya Property(माँ आरण्य प्रोपर्टी),Real Estate Agents,Real estate consultant,Real estate consultant,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",+91 99312 24259,https://nk-physics-academy-8gs6g91.public.builtwithrocket.new/,5.0,84.0,"Karman Tola, Nawada, Arrah, Bihar 802301",Nawada,25.556242299999997,84.6675546,ChIJ0ZWZPgBfjTkREwDftrnS5zA,https://www.google.com/maps/place/?q=place_id:ChIJ0ZWZPgBfjTkREwDftrnS5zA,part_378,2026-09-20 20:32:47
Manish house,Real Estate Agents,Real estate agency,Real estate agency,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,,,"6PPJ+PV9, Aiyara Panchayat, Bihar 804426",804401,25.2367758,84.7322193,ChIJO3otTABHjTkR4KbHnE8dTzs,https://www.google.com/maps/place/?q=place_id:ChIJO3otTABHjTkR4KbHnE8dTzs,part_378,2026-09-20 20:32:47
Aryan construction,Real Estate Agents,Home builder,Home builder,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,,,"6QG7+P56, Jhikatiya arwal bihar pin code, Bihar 804426",804401,25.226783299999997,84.76289129999999,ChIJ_w4IfgBHjTkR85Wrj0gNSnU,https://www.google.com/maps/place/?q=place_id:ChIJ_w4IfgBHjTkR85Wrj0gNSnU,part_378,2026-09-20 20:32:47
Samrat Ashok bhawan,Real Estate Agents,Office space rental agency,Office space rental agency,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,3.0,2.0,"6JGR+5X2, Baidrabad, Bihar 804402",804401,25.225389399999997,84.6423895,ChIJ5S4M6pNBjTkR8LmG7HwpT78,https://www.google.com/maps/place/?q=place_id:ChIJ5S4M6pNBjTkR8LmG7HwpT78,part_378,2026-09-20 20:32:47
Premshankar Lic Agent,Real Estate Agents,Housing complex,Housing complex,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,3.0,2.0,"state-Bihar, DIST, Bakhtari, Jalpura, Bihar 804426",804401,25.208743199999997,84.68158059999999,ChIJaf3eVwBBjTkR4UElSDCCIjw,https://www.google.com/maps/place/?q=place_id:ChIJaf3eVwBBjTkR4UElSDCCIjw,part_378,2026-09-20 20:32:47
Chilhauns,Real Estate Agents,Home builder,Home builder,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,5.0,2.0,"8PH5+8C, Chipura, Bihar 802164",804401,25.327835999999998,84.708407,ChIJrWxjfgBFjTkR7rlNzGPY_RQ,https://www.google.com/maps/place/?q=place_id:ChIJrWxjfgBFjTkR7rlNzGPY_RQ,part_378,2026-09-20 20:32:47
(B2K) HOME 🏡,Real Estate Agents,Home builder,Home builder,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,5.0,2.0,"6M5M+R4W, Bakhtari, Bihar 804426",804401,25.2097953,84.68380069999999,ChIJ4xLQdgBBjTkRLl2QKY4Hjsg,https://www.google.com/maps/place/?q=place_id:ChIJ4xLQdgBBjTkRLl2QKY4Hjsg,part_378,2026-09-20 20:32:47
Nirmal homes,Real Estate Agents,Housing society,Housing society,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,,,"5JWH+965, TajanBigha, Rajpur Bishunpur, Bihar 804402",804401,25.196518599999997,84.62836209999999,ChIJCTEvDwBBjTkRoKS7acEgx3E,https://www.google.com/maps/place/?q=place_id:ChIJCTEvDwBBjTkRoKS7acEgx3E,part_378,2026-09-20 20:32:47
SNZ HOMES,Real Estate Agents,Housing society,Housing society,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,,,"8PW6+53C, Baga, Bihar 802164",804401,25.3448881,84.71024039999999,ChIJ6Ws2UrtFjTkRu4gNuoO8aic,https://www.google.com/maps/place/?q=place_id:ChIJ6Ws2UrtFjTkRu4gNuoO8aic,part_378,2026-09-20 20:32:47
Chimney Tar,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,804401,Bihar Circle,Patna HQ Region,AurangabadBihar Division,"Arwal SO, Akbarpur BO, Bara Korium BO",N/A,N/A,,,"5JWW+PV6, Itawa, Bihar 804402",804401,25.1967861,84.6471373,ChIJnXjRDABBjTkRJLqiJfSFm-g,https://www.google.com/maps/place/?q=place_id:ChIJnXjRDABBjTkRJLqiJfSFm-g,part_378,2026-09-20 20:32:47
