business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The blue heaven resort,Resort,Resort hotel,"Resort hotel, Hotel",804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",+91 87009 61004,N/A,3.9,700.0,"Kaem Nagar, Arrah, Bihar 802314",Kaem Nagar,25.5813219,84.7119726,ChIJUbRpQEynkjkRDUc-HGUZn9I,https://www.google.com/maps/place/?q=place_id:ChIJUbRpQEynkjkRDUc-HGUZn9I,part_378,2026-09-20 20:33:14
The blessing resort,Resort,Resort hotel,Resort hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",N/A,N/A,4.6,18.0,"GMWF+R26, Krishna Vihar, Bahiro, Arrah, Bihar 802312","Krishna Vihar, Bahiro",25.5470756,84.6725172,ChIJXbdV7EVfjTkRb5iv0IGpc70,https://www.google.com/maps/place/?q=place_id:ChIJXbdV7EVfjTkRb5iv0IGpc70,part_378,2026-09-20 20:33:14
Green Heaven Resort,Resort,Resort hotel,Resort hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",+91 82925 83380,N/A,3.9,870.0,"HJ6P+CGM, Chandawa, Arrah, Bihar 802301",Chandawa,25.5610791,84.6363092,ChIJUaiy7IhfjTkRbVb2Fg9TZ68,https://www.google.com/maps/place/?q=place_id:ChIJUaiy7IhfjTkRbVb2Fg9TZ68,part_378,2026-09-20 20:33:14
R.S. Resort,Resort,Hotel,Hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",N/A,https://rsresort.in/,4.5,,"Laxmipur, Balmiki Nagar, Laxmipur Rampurwa, Bihar 845107",Laxmipur,27.3843593,83.909032,ChIJR2xXX-cVlDkR-BOf-iG6j_s,https://www.google.com/maps/place/?q=place_id:ChIJR2xXX-cVlDkR-BOf-iG6j_s,part_378,2026-09-20 20:33:15
Safari Lounge jungle resort,Resort,Resort hotel,Resort hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",+91 80847 35558,https://safariloungevtr.in/,4.9,,"Vill, Singahi, Bihar 845106",Vill,27.2566182,84.2733946,ChIJ48BIphuIlDkR6QhDg-6fI3c,https://www.google.com/maps/place/?q=place_id:ChIJ48BIphuIlDkR6QhDg-6fI3c,part_378,2026-09-20 20:33:15
Aradhana Resort,Resort,Resort hotel,Resort hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",+91 70446 93856,https://www.aradhanaresort.com/,4.5,,"Ashana Eidhga, Simultala, Simaltala, Bihar 811316",804402,24.7103091,86.54047609999999,ChIJ9ZcSggVz8TkRZGVOuQj2a5Q,https://www.google.com/maps/place/?q=place_id:ChIJ9ZcSggVz8TkRZGVOuQj2a5Q,part_378,2026-09-20 20:33:15
Shivangi Resort,Resort,Resort hotel,Resort hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",N/A,N/A,4.6,,"M56P+8GH, Garhpura - Bakhri Rd, Garhpura, Bihar 848204",804402,25.660819399999998,86.1863551,ChIJry6HWwD_7TkRPx0EbkL1mAE,https://www.google.com/maps/place/?q=place_id:ChIJry6HWwD_7TkRPx0EbkL1mAE,part_378,2026-09-20 20:33:16
Fusion Retreat Resort,Resort,Resort hotel,Resort hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",+91 82288 84939,https://fusionretreatresort.com/,4.3,,"NH-27, near Darbhanga Airport new terminal, Ranipur, Darbhanga, Bihar 846005","Aerodrome Darbhanga, Ranipur",26.184237099999997,85.9266531,ChIJw-ZidgC37TkRcNm6z1uA71Y,https://www.google.com/maps/place/?q=place_id:ChIJw-ZidgC37TkRcNm6z1uA71Y,part_378,2026-09-20 20:33:16
Mannat Resort,Resort,Event venue,Event venue,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",+91 98520 38176,N/A,4.0,,"Bazar Samiti, Hajipur - Jadhua Rd, Jadhua, Hajipur, Minapur, Bihar 844101",Jadhua,25.6776323,85.2232801,ChIJixw8ritf7TkRmj4UZVN5Bos,https://www.google.com/maps/place/?q=place_id:ChIJixw8ritf7TkRmj4UZVN5Bos,part_378,2026-09-20 20:33:16
Bihar tourism Resort,Resort,Hotel,Hotel,804402,Bihar Circle,Patna HQ Region,Gaya Division,"Baidrabad SO, Fatehpur Sanda BO, Hasanpur BO",N/A,N/A,4.4,,"8VP2+6PQ, Chakia Kesariya Sattarghat Rd, Tajpur Deur, Bihar 845424",804402,26.335586499999998,84.8518613,ChIJe2EPB2YpkzkRCoTMCpVtblc,https://www.google.com/maps/place/?q=place_id:ChIJe2EPB2YpkzkRCoTMCpVtblc,part_378,2026-09-20 20:33:16
