business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shagun Marriage Hall,Banquet Hall,Banquet hall,Banquet hall,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",+91 79907 73998,N/A,5.0,7.0,"Shiv-shakti market, 1, Bela - Tekari Rd, Belaganj, Bihar 804403",804403,24.9655134,84.9699576,ChIJe4hGSgDT8jkRa6GSOHtnsrM,https://www.google.com/maps/place/?q=place_id:ChIJe4hGSgDT8jkRa6GSOHtnsrM,part_378,2026-09-20 20:33:47
THE ROYAL GARDEN,Banquet Hall,Banquet hall,Banquet hall,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",N/A,N/A,4.2,24.0,"XXMM+R67, Kabirpur, Bihar 804403",804403,24.9835197,84.9841296,ChIJ_6RsGCzT8jkRoknIrLcqSu8,https://www.google.com/maps/place/?q=place_id:ChIJ_6RsGCzT8jkRoknIrLcqSu8,part_378,2026-09-20 20:33:47
GD Palace,Banquet Hall,Banquet hall,Banquet hall,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",N/A,N/A,4.3,3.0,"XX9F+F79, Belaganj, Bihar 804403",804403,24.9686065,84.9732051,ChIJl0fSFgDT8jkR7YdrT_I3EPA,https://www.google.com/maps/place/?q=place_id:ChIJl0fSFgDT8jkR7YdrT_I3EPA,part_378,2026-09-20 20:33:47
Jyoti utsav hall,Banquet Hall,Hotel,Hotel,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",+91 93868 70240,N/A,4.7,44.0,"XX4H+47, Silaunja, Bihar 804403",804403,24.955222,84.9782384,ChIJy5nOaADT8jkRcOdE1Gfriw0,https://www.google.com/maps/place/?q=place_id:ChIJy5nOaADT8jkRcOdE1Gfriw0,part_378,2026-09-20 20:33:47
Al-ameen Marriage Hall,Banquet Hall,Holiday apartment rental,Holiday apartment rental,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",N/A,N/A,4.0,1.0,"XXCC+Q6P, Belaganj, Bihar 804403",804403,24.972010599999997,84.9706066,ChIJG1KZeQDT8jkRCu7D0Wli2Hk,https://www.google.com/maps/place/?q=place_id:ChIJG1KZeQDT8jkRCu7D0Wli2Hk,part_378,2026-09-20 20:33:47
Vrindavan palace marriage hall,Banquet Hall,Hotel,Hotel,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",+91 77620 80881,N/A,4.2,6.0,"Vrindavan palace Marriage Hall, Alalpur, Kabirpur, Bihar 804403",804403,24.9836423,84.97987499999999,ChIJewogfQDT8jkR2nRirtLSvTQ,https://www.google.com/maps/place/?q=place_id:ChIJewogfQDT8jkR2nRirtLSvTQ,part_378,2026-09-20 20:33:47
Jay Mangaldeep Marriage Hall,Banquet Hall,Wedding venue,Wedding venue,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",+91 62065 40233,N/A,4.0,4.0,"XXHC+9PG, Padao par, near kali mandir, Belaganj, Jadopur, Bihar 804403",804403,24.9784375,84.9718125,ChIJo6SKFVTT8jkRYXCQPij6o98,https://www.google.com/maps/place/?q=place_id:ChIJo6SKFVTT8jkRYXCQPij6o98,part_378,2026-09-20 20:33:47
Rohit_creations,Banquet Hall,Banquet hall,Banquet hall,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",N/A,N/A,,,"Khaneta, Belaganj, Bihar 804403",804403,24.9918817,84.968426,ChIJU0EhuI3T8jkRcDt2aS_CyJs,https://www.google.com/maps/place/?q=place_id:ChIJU0EhuI3T8jkRcDt2aS_CyJs,part_378,2026-09-20 20:33:47
Ambience palace,Banquet Hall,Hotel,Hotel,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",+91 72960 88338,N/A,4.5,19.0,"Belaganj NH- 83, near Power Grid, Belaganj, Jadopur, Bihar 804403",804403,24.977673799999998,84.9708133,ChIJiW3ybwDT8jkRW3YOnoVh4Ns,https://www.google.com/maps/place/?q=place_id:ChIJiW3ybwDT8jkRW3YOnoVh4Ns,part_378,2026-09-20 20:33:47
Pooja Marriage Hall,Banquet Hall,Banquet hall,"Banquet hall, Marriage celebrant",804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",+91 82889 24928,N/A,4.2,11.0,"behind government hospital, Belaganj, Gaya, Bihar 804403",804403,24.9725273,84.9751891,ChIJI0f_VCzT8jkRea-BQkBkQ_k,https://www.google.com/maps/place/?q=place_id:ChIJI0f_VCzT8jkRea-BQkBkQ_k,part_378,2026-09-20 20:33:47
Maa kali marriage hall belaganj,Banquet Hall,Banquet hall,Banquet hall,804403,Bihar Circle,Patna HQ Region,Gaya Division,"Belaganj SO, Agni BO, Belhari BO",N/A,N/A,5.0,1.0,"Kali mandir, Station Rd, near paraoo, Belaganj, Jadopur, Bihar 804403",804403,24.9802999,84.97274449999999,ChIJM0sWk-3T8jkREyEq2Xc58sk,https://www.google.com/maps/place/?q=place_id:ChIJM0sWk-3T8jkREyEq2Xc58sk,part_378,2026-09-20 20:33:47
