business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Olympic Traders - Best Men's Wear Shop in Jehanabad,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 98019 48298,N/A,4.8,145.0,"D.K Complex, I Main Branch, Gaya - Patna Main Rd, near S.B, Jehanabad, Bihar 804408",804405,25.2071808,84.98479379999999,ChIJV5GVt4O18jkRxroyqG8ZZ-A,https://www.google.com/maps/place/?q=place_id:ChIJV5GVt4O18jkRxroyqG8ZZ-A,part_378,2026-09-20 20:34:42
Blackberrys,Mens Wear Showroom,Clothing store,"Clothing store, Formal Clothing Store, Tuxedo shop, Wedding store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 96191 88249,https://stores.blackberrys.com/blackberrys-jehanabad-clothing-stores-krishna-puri-colony-jehanabad-476216/Home?utm_source=locator&utm_medium=googleplaces,5.0,95.0,"Ground Floor, Krishnapuri Colony Rd, Jehanabad, Bihar 804408",804405,25.218514,84.988008,ChIJNaN3Vii18jkRFxKaShlfrRg,https://www.google.com/maps/place/?q=place_id:ChIJNaN3Vii18jkRFxKaShlfrRg,part_378,2026-09-20 20:34:42
Fashion Men's Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 91227 19965,N/A,4.3,11.0,"Sadar Hospital, Shivaji Path, Jehanabad, Bihar 804408",804405,25.2121019,84.9856501,ChIJr-GCv5y18jkRj2HKtXmT_Bw,https://www.google.com/maps/place/?q=place_id:ChIJr-GCv5y18jkRj2HKtXmT_Bw,part_378,2026-09-20 20:34:42
V2 Retail - Megharia,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Clothing store, Outlet mall, Tuxedo shop, Women's clothing store, Youth clothing store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 81309 07705,https://www.v2retail.com/,5.0,2.0,"Court Area, PG Rd, Horilganj, Jehanabad, Bihar 804408",Horilganj,25.2060493,84.984838,ChIJ8wuEtnO18jkR8cmQuzPkrdc,https://www.google.com/maps/place/?q=place_id:ChIJ8wuEtnO18jkR8cmQuzPkrdc,part_378,2026-09-20 20:34:42
Monte Carlo Exclusive Showroom,Mens Wear Showroom,Fashion designer,"Fashion designer, Clothing store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 79 4272 6852,https://stores.montecarlo.in/monte-carlo-exclusive-showroom-infinity-fashion-designer-patna-gaya-main-road-jehanabad-491892/Home?utm_source=locator&utm_medium=googleplaces,4.9,107.0,"Siya Sharan Baba Market, Gaya - Patna Main Rd, opposite Eidgah, Jehanabad, Bihar 804408",804405,25.2151759,84.98670729999999,ChIJM5FtxaK18jkRpdlXvwRPwTQ,https://www.google.com/maps/place/?q=place_id:ChIJM5FtxaK18jkRpdlXvwRPwTQ,part_378,2026-09-20 20:34:42
TARGET TRENDS,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 91421 03314,N/A,5.0,17.0,"6X9R+V2W, Vishal Market, Nichali Road, Near Jehanabad Unta, More, Jehanabad, Bihar 804408",804405,25.2197382,84.9900893,ChIJyZpt-GK18jkRbmu3aZ9BSWE,https://www.google.com/maps/place/?q=place_id:ChIJyZpt-GK18jkRbmu3aZ9BSWE,part_378,2026-09-20 20:34:42
The Raymond shop,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Designer Clothing Store, Dress store, Fabric store, Clothing Accessories Store, Formal Clothing Store, Clothing store, Tuxedo shop, Youth clothing store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 80 4493 8941,https://jehanabad.myraymond.com/,4.1,186.0,"Ground Floor, Station Road, near Punjab National Bank, Jehanabad, Bihar 804408",804405,25.2172788,84.98789529999999,ChIJJ6Jx_Zu18jkR0S5fEaJREmw,https://www.google.com/maps/place/?q=place_id:ChIJJ6Jx_Zu18jkR0S5fEaJREmw,part_378,2026-09-20 20:34:42
V-Mart - Jehanabad-Station Road,Mens Wear Showroom,Clothing store,"Clothing store, Convenience store, Department store, Variety store",804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 84485 28647,https://stores.vmartretail.com/clothing-mart-krishnapuri-colony-jehanabad-30900/home,4.8,5202.0,"6X9P+XJH, Krishnapuri Colony, Station Road, near Shiv Shankar Cinema Hall, Jehanabad, Bihar 804408",804405,25.2192963,84.98821199999999,ChIJ67HDBYW18jkRW3n1TdMY-rM,https://www.google.com/maps/place/?q=place_id:ChIJ67HDBYW18jkRW3n1TdMY-rM,part_378,2026-09-20 20:34:42
PROMISE TAILORS,Mens Wear Showroom,Men's clothing store,Men's clothing store,804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",N/A,N/A,,,"PROMISE TAILORS, Jehanabad, Shaho Bigha, Bihar 804408",804405,25.1151451,85.1060327,ChIJG9jZzzDJ8jkR1XXxL2r-bzk,https://www.google.com/maps/place/?q=place_id:ChIJG9jZzzDJ8jkR1XXxL2r-bzk,part_378,2026-09-20 20:34:42
KAKA SRI,Mens Wear Showroom,Sportswear store,Sportswear store,804405,Bihar Circle,Patna HQ Region,Gaya Division,"Dharaut SO, Allahganj BO, Banshi Bigha BO",+91 91356 79448,N/A,5.0,15.0,"Shop No.05, Shiv Naresh OUTLET, PG Rd, beside V2 MALL, HORILGANJ, Jehanabad, Bihar 804408",HORILGANJ,25.2062496,84.9847435,ChIJkfPjLzC18jkROoZMoSCvAEY,https://www.google.com/maps/place/?q=place_id:ChIJkfPjLzC18jkROoZMoSCvAEY,part_378,2026-09-20 20:34:42
