business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bharat Engineering Workshop,Steel Fabrication Workshop,Metal workshop,"Metal workshop, Aluminum frames supplier, Aluminum window, Iron & Steel Store, Iron works, Metal fabricator, Steel fabricator, Welder",804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",+91 83401 91239,N/A,4.6,14.0,"Neema Rd, Sherghati, Baida, Bihar 824211",804406,24.589720099999997,84.786352,ChIJSVbVztTPjDkRhQfZYgzYHHA,https://www.google.com/maps/place/?q=place_id:ChIJSVbVztTPjDkRhQfZYgzYHHA,part_378,2026-09-20 20:35:41
Raman Aluminium Workshop,Steel Fabrication Workshop,Hardware store,Hardware store,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",+91 82719 91038,N/A,5.0,7.0,"Gulaxni More, Jahanabad-Ghoshi Rd, opposite of Bharat Petroleum, Jehanabad, Bihar 804408",804406,25.204528999999997,84.99687759999999,ChIJr69h2UO18jkRQE4HD7v_3tQ,https://www.google.com/maps/place/?q=place_id:ChIJr69h2UO18jkRQE4HD7v_3tQ,part_378,2026-09-20 20:35:41
STEEL MAN,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",N/A,https://www.facebook.com/steelmanjehanabad,4.6,7.0,"6X7P+25M, PG Rd, opp. HDFC Bank, Jehanabad, Bihar 804408",804406,25.2125991,84.9854336,ChIJP3OBAiq18jkRKqAQddHhCzw,https://www.google.com/maps/place/?q=place_id:ChIJP3OBAiq18jkRKqAQddHhCzw,part_378,2026-09-20 20:35:41
Sujay welding work shop,Steel Fabrication Workshop,Welding supply store,Welding supply store,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",N/A,N/A,3.0,2.0,"5XXM+VPM, Jehanabad, Bihar 804408",804406,25.199722599999998,84.9842955,ChIJWYB4f6O18jkRISf7jR1dfgA,https://www.google.com/maps/place/?q=place_id:ChIJWYB4f6O18jkRISf7jR1dfgA,part_378,2026-09-20 20:35:41
Balajee engineering works,Steel Fabrication Workshop,Stainless steel plant,Stainless steel plant,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",N/A,N/A,4.9,,"GJ9Q+XRG, Tetaria, Bihar 802210",804406,25.5199473,84.6395915,ChIJMzAWDYBfjTkRU0KF9U2oVi4,https://www.google.com/maps/place/?q=place_id:ChIJMzAWDYBfjTkRU0KF9U2oVi4,part_378,2026-09-20 20:35:43
SAJAAN METALS,Steel Fabrication Workshop,Manufacturer,Manufacturer,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",+91 72099 21712,N/A,5.0,,"Shivganj Rd, Narkatiaganj, Bihar 845455",804406,27.108783799999998,84.46819099999999,ChIJp3l6IQCdlDkRmxjcJBLJioc,https://www.google.com/maps/place/?q=place_id:ChIJp3l6IQCdlDkRmxjcJBLJioc,part_378,2026-09-20 20:35:43
Aluminium and steel workshop,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",N/A,N/A,,,"Dangar Bhitthi, Bihar 847212",804406,26.291111299999997,86.0633058,ChIJeQFtbm7N7TkRchwUIAFyJEQ,https://www.google.com/maps/place/?q=place_id:ChIJeQFtbm7N7TkRchwUIAFyJEQ,part_378,2026-09-20 20:35:43
Shree steel fabrication,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",+91 83404 71158,N/A,5.0,,"Samastipur Road, musrigharari, Mushrigharari, Bhoraha, Bihar 848301",musrigharari,25.8988266,85.8091757,ChIJ-WDCol-X7TkRUMW5J_sPy-Y,https://www.google.com/maps/place/?q=place_id:ChIJ-WDCol-X7TkRUMW5J_sPy-Y,part_378,2026-09-20 20:35:43
Prasad Stainless Steel Centre,Steel Fabrication Workshop,Pipes Wholesaler,"Pipes Wholesaler, Stainless steel plant",804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",+91 99057 78908,N/A,5.0,,"05, Gopal Bhawan, Arwal Road, Rajabazar, Jehanabad, Bihar 804408",Rajabazar,25.2117219,84.9792063,ChIJqSUXK4K18jkRXnNJc2AK44U,https://www.google.com/maps/place/?q=place_id:ChIJqSUXK4K18jkRXnNJc2AK44U,part_378,2026-09-20 20:35:43
माँ सरस्वती एल्यूमिनियम स्टील वर्क शॉप,Steel Fabrication Workshop,Aluminum welder,Aluminum welder,804406,Bihar Circle,Patna HQ Region,Gaya Division,"Ghosi SO Jehanabad, Ginji BO, Korra BO",+91 92642 44191,N/A,4.9,,"Bangra, Dumarshan, Bihar 841410",804406,26.1692784,84.8096279,ChIJXQt9Z9TRkjkRGujlaxwv8Os,https://www.google.com/maps/place/?q=place_id:ChIJXQt9Z9TRkjkRGujlaxwv8Os,part_378,2026-09-20 20:35:43
