business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Lakshmi Hassan Iyengar Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 73488 88344,N/A,5.0,,"main Circle, Avani, Karnataka 563127",804435,13.1073234,78.3294276,ChIJmfgOE6SNrTsRxxnEp10N9L4,https://www.google.com/maps/place/?q=place_id:ChIJmfgOE6SNrTsRxxnEp10N9L4,part_378,2026-09-20 20:45:16
Bakersloaf Bakery and confectionery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 85303 31914,N/A,4.5,,"opposite Amit Jewellers, Ganesh Nagar, Kanhan, Maharashtra 441401",Ganesh Nagar,21.2290432,79.2369743,ChIJzRVovhTP1DsRd4yRf0k4dVE,https://www.google.com/maps/place/?q=place_id:ChIJzRVovhTP1DsRd4yRf0k4dVE,part_378,2026-09-20 20:45:16
Prince Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,4.0,,"4356+343, Khamla, Nagpur, Maharashtra 440025",Khamla,21.1076469,79.060287,ChIJ45UKypy_1DsRtwpULyJ-mIk,https://www.google.com/maps/place/?q=place_id:ChIJ45UKypy_1DsRtwpULyJ-mIk,part_378,2026-09-20 20:45:16
Ginni's Cake Studio,Bakery and Cake Shop,Cake shop,Cake shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,4.6,,"Mill Rd, Mohalla Paschimi Dixitana, Gola Gokaran Nath, Gola, Uttar Pradesh 262802",Mohalla Paschimi Dixitana,28.0798711,80.46280229999999,ChIJaX6szNxDnzkROCEWfyvbzv8,https://www.google.com/maps/place/?q=place_id:ChIJaX6szNxDnzkROCEWfyvbzv8,part_378,2026-09-20 20:45:16
OM cakes and Bakes,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,4.0,,"2J9C+GX3, Pakhanjore - Bande Rd, Pakhanjur, Chhattisgarh 494776",804435,20.0187551,80.6224203,ChIJWTOcfaXNLToRJ6AYk6umdI4,https://www.google.com/maps/place/?q=place_id:ChIJWTOcfaXNLToRJ6AYk6umdI4,part_378,2026-09-20 20:45:16
Kishore Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,3.8,,"5GX8+FXM, Mallekuppa road. Nangali.Mulbagal., Bangalore, Karnataka 563132",804435,13.1987042,78.517417,ChIJlfyvSXyGrTsRz9xx1Rbps60,https://www.google.com/maps/place/?q=place_id:ChIJlfyvSXyGrTsRz9xx1Rbps60,part_378,2026-09-20 20:45:16
Just Bake Kolar,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop, Sweet shop, Cupcake shop, Sweets and dessert buffet, Donut shop, Indian sweets shop, Pastry shop",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 63642 16666,https://www.justbake.in/kolar-store-justbake-53,3.7,,"kaaba complex, MB Rd, next to Pai mobiles, opp. to RK nursing home, Muneshwara Nagar, Kolar, Karnataka 563101",Muneshwara Nagar,13.139014699999999,78.1302749,ChIJ70DCc-3wrTsRYyWPRUSyN6g,https://www.google.com/maps/place/?q=place_id:ChIJ70DCc-3wrTsRYyWPRUSyN6g,part_378,2026-09-20 20:45:16
Mayura bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 99728 84811,N/A,4.1,,"Bengaluru - Tirupati Hwy, Mulbagal, Karnataka 563131",804435,13.164047199999999,78.39382959999999,ChIJlV54dDaPrTsRFEjnwTdYgdk,https://www.google.com/maps/place/?q=place_id:ChIJlV54dDaPrTsRFEjnwTdYgdk,part_378,2026-09-20 20:45:16
MS Bakers & Chocolatiers (Homemade Cakes),Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 88061 46582,N/A,5.0,101.0,"Sr.no 51 Plot No72, near aayyappa garden, bhairavnagar, Dhanori Rd, Pune, Maharashtra 411015","Bhairav Nagar, Dhanori",18.5851152,73.8877851,ChIJ-SpuJnzHwjsR1Mdyp1E6tUA,https://www.google.com/maps/place/?q=place_id:ChIJ-SpuJnzHwjsR1Mdyp1E6tUA,part_378,2026-09-20 20:45:16
New Howrah Bakery (Bapuji) Pvt. Ltd.,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98300 48985,http://www.bapujicake.com/,4.5,193.0,"Ramrajatala, Howrah, West Bengal 711112",Ramrajatala,22.592523,88.29529529999999,ChIJe6yzIVN2AjoRbTTB0vMB9s0,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRbTTB0vMB9s0,part_378,2026-09-20 20:45:16
Shree Kanhaiya Sweets & Snacks,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Sweet shop, Deli",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 99011 11198,N/A,3.9,550.0,"MG Rd, Near Lakshmi Temple, Shahu Nagar, Vijayapura, Karnataka 586101",Shahu Nagar,16.829326,75.71270899999999,ChIJeZtFYID_xjsRHCftFhYcDps,https://www.google.com/maps/place/?q=place_id:ChIJeZtFYID_xjsRHCftFhYcDps,part_378,2026-09-20 20:45:16
Sethi's The Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 88824 68831,N/A,4.2,544.0,"2648, Hudson Ln, Hudson Lane, GTB Nagar, Delhi, 110033","Hudson Lane, GTB Nagar",28.6929299,77.2056645,ChIJceb5d8T9DDkRQNZAMMjZzh0,https://www.google.com/maps/place/?q=place_id:ChIJceb5d8T9DDkRQNZAMMjZzh0,part_378,2026-09-20 20:45:16
Cakes & more,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 89629 32512,N/A,3.9,61.0,"55V2+XJC, near Roxy pull, in front of navdeep travels, Nimbalkar Ki Goth No.2, Lashkar, Gwalior, Madhya Pradesh 474001","Nimbalkar Ki Goth No.2, Lashkar",26.1949392,78.1515032,ChIJrbDSZpTFdjkRzubLLfcyJY4,https://www.google.com/maps/place/?q=place_id:ChIJrbDSZpTFdjkRzubLLfcyJY4,part_378,2026-09-20 20:45:16
Shree Kanhaiya Sweets,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Indian sweets shop",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 94481 10535,N/A,4.1,637.0,"Shri siddeshwara, temple Road, Vijayapura, Karnataka 586101",Gacchinakatti Colony,16.8323918,75.7155063,ChIJnS3zin9VxjsR91mH1kQfG7k,https://www.google.com/maps/place/?q=place_id:ChIJnS3zin9VxjsR91mH1kQfG7k,part_378,2026-09-20 20:45:16
Kwality Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 78609 99825,N/A,4.0,194.0,"Balaganj Chauraha, Karim Ganj, Lucknow, Uttar Pradesh 226003",Karim Ganj,26.8722304,80.88152,ChIJe5hkrB7-mzkR2Gkyn1upa3o,https://www.google.com/maps/place/?q=place_id:ChIJe5hkrB7-mzkR2Gkyn1upa3o,part_378,2026-09-20 20:45:16
Danish Cake Shop,Bakery and Cake Shop,Cake shop,"Cake shop, Bakery and Cake Shop",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,4.6,310.0,"Oppt axis Bank, Danish cake shop ,Shop No. 14, Hotagi Rd, Solapur, Maharashtra 413003",Sainath Nagar,17.6473437,75.91273869999999,ChIJ8dzwwRHaxTsRGDqSYQoirBw,https://www.google.com/maps/place/?q=place_id:ChIJ8dzwwRHaxTsRGDqSYQoirBw,part_378,2026-09-20 20:45:16
Vijay Bakers 1962,Bakery and Cake Shop,Cake shop,"Cake shop, Bakery and Cake Shop, Fast food restaurant",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98450 35313,N/A,4.2,378.0,"Shop No. 3/4/5, opposite Gomatesh School, Hindwadi, Belagavi, Karnataka 590006","Omkar Nagar, Hindwadi",15.8329588,74.5111391,ChIJw02az4RmvzsRF3twIFKaq0c,https://www.google.com/maps/place/?q=place_id:ChIJw02az4RmvzsRF3twIFKaq0c,part_378,2026-09-20 20:45:16
