business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Falcon Realty Team,Commercial Real Estate Brokerages,Real estate agency,"Real estate agency, Service establishment",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,5.0,1.0,"Falcon Realty Team, 804435, India",804435,35.7873826,-82.17457999999999,ChIJq6rWxzzzWYgRfhh5lcnR9x0,https://www.google.com/maps/place/?q=place_id:ChIJq6rWxzzzWYgRfhh5lcnR9x0,part_378,2026-09-20 20:45:43
The Cam Group RE,Commercial Real Estate Brokerages,Real estate agency,"Real estate agency, Service establishment, Real estate agent, Real estate consultant",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,5.0,5.0,"The Cam Group RE, 804435, India",804435,40.073132,-74.724323,ChIJZ9nwDTCrw4kRki8_ezU85wo,https://www.google.com/maps/place/?q=place_id:ChIJZ9nwDTCrw4kRki8_ezU85wo,part_378,2026-09-20 20:45:43
"Visan Realtors - Office, Warehouse, Land Experts",Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Business broker, Service establishment, Industrial real estate agency, Office space rental agency, Property investment company, Real estate agent, Real estate consultant, Real estate rental agency, Retail space rental agency, Warehouse",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 70340 04545,https://visanrealtor.in/,4.9,15.0,"Visan Realtors - Office, Warehouse, Land Experts, 804435, India",804435,9.878602899999999,76.3687578,ChIJEyGm388PCDsR-Jg0I7dcprg,https://www.google.com/maps/place/?q=place_id:ChIJEyGm388PCDsR-Jg0I7dcprg,part_378,2026-09-20 20:45:43
Fairdeal Realtors Pvt Ltd,Commercial Real Estate Brokerages,Commercial real estate agency,"Commercial real estate agency, Coworking space, Industrial real estate agency, Office space rental agency, Property investment company, Real estate consultant, Real estate rental agency, Retail space rental agency, Warehouse",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 80804 00500,https://frpl.in/,4.8,327.0,"Ground floor, Sahar Plaza Bonanza I, Metro station, 11-18, Andheri - Kurla Rd, next to JB Nagar, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400059","Bhim Nagar, Andheri East",19.1122428,72.86847709999999,ChIJ____DzTI5zsRDDgsnQ6rsfU,https://www.google.com/maps/place/?q=place_id:ChIJ____DzTI5zsRDDgsnQ6rsfU,part_378,2026-09-20 20:45:43
Square Feet Realtors,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Commercial real estate agency, Industrial real estate agency, Property management company, Real estate agent, Real estate rental agency",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98450 76840,https://www.squarefeetrealtors.in/,4.4,263.0,"Vasundhra Complex, 209, 7th Main Rd, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","HRBR Layout, Kalyan Nagar",13.017357899999999,77.6429357,ChIJCeID-uAVrjsRknzi2GfUI08,https://www.google.com/maps/place/?q=place_id:ChIJCeID-uAVrjsRknzi2GfUI08,part_378,2026-09-20 20:45:45
The Leasers,Commercial Real Estate Brokerages,Real estate agent,"Real estate agent, Commercial agent, Commercial real estate agency, Condominium rental agency, Industrial real estate agency, Office space rental agency, Property management company, Retail space rental agency, Warehouse",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 83870 43371,http://www.theleasers.co.in/,4.3,35.0,"D 375, Sarvanand Marg, D-Block, Malviya Nagar, Jaipur, Rajasthan 302018","D-Block, Malviya Nagar",26.852370699999998,75.80992669999999,ChIJAecb33S2bTkRy9MgSiXY3Rs,https://www.google.com/maps/place/?q=place_id:ChIJAecb33S2bTkRy9MgSiXY3Rs,part_378,2026-09-20 20:45:45
Balaji Enterprises,Commercial Real Estate Brokerages,Retail space rental agency,"Retail space rental agency, Real estate consultant",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98864 97301,N/A,4.1,69.0,"118, 18th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008","HAL 2nd Stage, Indiranagar",12.9626434,77.6425178,ChIJwUwwswQUrjsRYHj2rtHpEbM,https://www.google.com/maps/place/?q=place_id:ChIJwUwwswQUrjsRYHj2rtHpEbM,part_378,2026-09-20 20:45:45
Shri Sidhanath Constructions & Estate Consultant,Commercial Real Estate Brokerages,Real estate consultant,"Real estate consultant, Cabin rental agency, Condominium rental agency, Corporate office, Industrial real estate agency, Office space rental agency, Real estate agency, Real estate agent, Real estate school",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98207 59348,https://www.shrisidhanath.com/,4.8,147.0,"Shop No 1, Siddhivinayak Krupa Plot No 18, Sector 7 Khanda Colony, Greater Khanda, Panvel, Maharashtra 410206","Sector 7, Greater Khanda, Panvel",19.0099756,73.11209079999999,ChIJwSGLpwDp5zsRXeoJLGP43sI,https://www.google.com/maps/place/?q=place_id:ChIJwSGLpwDp5zsRXeoJLGP43sI,part_378,2026-09-20 20:45:45
Realestate Realtors,Commercial Real Estate Brokerages,Consultant,"Consultant, Industrial consultant, Industrial real estate agency, Leasing service, Office space rental agency, Real estate consultant, Warehouse",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98918 93052,http://www.realestaterealtors.in/,4.8,,"10th floor, Aggarwal Cyber Plaza 1, 1009, Netaji Subhash Place, Pitampura, New Delhi, Delhi 110034","Netaji Subhash Place, Pitampura",28.6924855,77.15058719999999,ChIJKa2ylzMCDTkRN_-wMKIqSy8,https://www.google.com/maps/place/?q=place_id:ChIJKa2ylzMCDTkRN_-wMKIqSy8,part_378,2026-09-20 20:45:45
Mak Realtors Pvt Ltd.,Commercial Real Estate Brokerages,Real estate agency,"Real estate agency, Real estate consultant",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98110 47035,http://www.makrealtors.com/,4.2,,"Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110080","Lajpat Nagar III, Lajpat Nagar",28.497128999999997,77.2508591,ChIJVVVVRU3iDDkRG-id3aJQuU0,https://www.google.com/maps/place/?q=place_id:ChIJVVVVRU3iDDkRG-id3aJQuU0,part_378,2026-09-20 20:45:45
