business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr.Roopesh Gowda + Dr.Sukruthi Raj- THE SKIN CLINIC,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Medical clinic, Medical spa",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 84310 11913,http://theskinclinichassan.com/,4.8,508,"1st Floor, SBG Theatre, Harshamahal Rd, near Meridian Hotel & Madhu Silks, opp. Ambedkar Bhavan, Rangoli Halla, Hassan, Karnataka 573201",Rangoli Halla,13.0084898,76.10132209999999,ChIJo9o8XLFJpTsRJL_M6bvfyIM,https://www.google.com/maps/place/?q=place_id:ChIJo9o8XLFJpTsRJL_M6bvfyIM,part_378,2026-09-20 20:45:24
Skin Care - Dr U Kumar,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 80043 22515,N/A,5.0,19,"Chena Park Rd, Becon Ganj, Mulganj, Kanpur, Uttar Pradesh 208001","Becon Ganj, Mulganj",26.466815699999998,80.3406292,ChIJQ1WFWE45nDkR9kOG7fHUxSM,https://www.google.com/maps/place/?q=place_id:ChIJQ1WFWE45nDkR9kOG7fHUxSM,part_378,2026-09-20 20:45:24
Dr Karthik Sunki,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair transplantation clinic, Pediatric dermatologist, Dermatologist, Venereologist",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 96666 27234,http://www.soumyaskinclinic.com/,5.0,24,"Sahara Rd, above Telangana co-operative bank, Mansoorabad, Anitha Nagar, Auto Nagar, Hyderabad, Telangana 500068","Mansoorabad, Anitha Nagar, Auto Nagar",17.3431551,78.5708485,ChIJPzJxvEmfyzsRfB79QMuG2tA,https://www.google.com/maps/place/?q=place_id:ChIJPzJxvEmfyzsRfB79QMuG2tA,part_378,2026-09-20 20:45:24
Dr. Vivek Kumar,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 522 245 5363,N/A,4.7,3559,"57c /2, Amrudhi Bagh, Singar Nagar, Alambagh, Lucknow, Uttar Pradesh 226005","Amrudhi Bagh, Singar Nagar, Alambagh",26.8072269,80.8973389,ChIJAxNQeqD-mzkRN3e_K9ErSr0,https://www.google.com/maps/place/?q=place_id:ChIJAxNQeqD-mzkRN3e_K9ErSr0,part_378,2026-09-20 20:45:24
"Dr Divya Skin, Cosmoderm and Laser Clinic(Skin Specialist, Cosmetologist, Hair Specialist)",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist, Hair transplantation clinic",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 98453 50510,N/A,4.7,285,"No.12, Ward no 20, Gopala Swamy Road TG Layout, Chaitanya College Road Water Booster Front Road, Gandhi Nagar, Ballari, Karnataka 583103","KHB Colony, KEB Quarters, Gandhi Nagar",15.158849199999999,76.9417488,ChIJqyNkoVkRtzsRcZ-3Z-xsR-Y,https://www.google.com/maps/place/?q=place_id:ChIJqyNkoVkRtzsRcZ-3Z-xsR-Y,part_378,2026-09-20 20:45:24
Sanjeevani Skin Clinic,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",N/A,N/A,5.0,1,"Suchitra, Vennala Gadda, Quthbullapur, Hyderabad, Telangana 500067","Suchitra, Vennala Gadda, Quthbullapur",17.5010273,78.4716028,ChIJ-cAEuguQyzsR06UsNbB6T-0,https://www.google.com/maps/place/?q=place_id:ChIJ-cAEuguQyzsR06UsNbB6T-0,part_378,2026-09-20 20:45:24
PRIME SKIN DOCTORS,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Dermatologist",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 88305 47411,http://primeskindoctors.com/,4.6,87,"BRT Bus stop, Pune - Alandi Rd, beside Cottonking Store, Chovisawadi, Charholi Budruk, Pimpri-Chinchwad, Maharashtra 412105","Chovisawadi, Charholi Budruk",18.6607309,73.8869039,ChIJqbs3ho_HwjsReQNf23A6mqw,https://www.google.com/maps/place/?q=place_id:ChIJqbs3ho_HwjsReQNf23A6mqw,part_378,2026-09-20 20:45:24
Rajajipuram Skin and Child Care Clinc,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Pediatrician",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 92365 49180,N/A,4.8,386,"C-1877/1, HIG, near Javed Habib, Block C, Rajajipuram, Lucknow, Uttar Pradesh 226017","Block C, Rajajipuram",26.839658,80.8870396,ChIJAakMyWT-mzkRFG24l5fbEA4,https://www.google.com/maps/place/?q=place_id:ChIJAakMyWT-mzkRFG24l5fbEA4,part_378,2026-09-20 20:45:24
"Dr Dani's Skin, Cosmetic And Laser Clinic",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist, Hospital",804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 82776 06300,https://www.healeron.in/listing/danis-skin-cosmetic-and-laser-clinic-ballari/,4.2,277,"Infantry Road, Sanjay Gandhi Nagar, Ballari, Karnataka 583104",Sanjay Gandhi Nagar,15.1539266,76.9111063,ChIJQUDQIdETtzsRU2LWPGzrKAU,https://www.google.com/maps/place/?q=place_id:ChIJQUDQIdETtzsRU2LWPGzrKAU,part_378,2026-09-20 20:45:24
"Dr.(Major) S. S. Sachan, MD Dermatology ( Skin & Hair Specialist )",Skin Clinic and Dermatologist,Medical clinic,Medical clinic,804435,Bihar circle,Patna HQ Region,Gaya Division,"Nimsar BO, PANDABIGHA, Sadopur BO",+91 91962 09640,N/A,4.9,145,"WRF2+RX3 Dr Sachan Skin & Hair clinic ITI Road, Patel Nagar Rd, Fatehpur, Uttar Pradesh 212601",Civil Lines,25.9245089,80.80243709999999,ChIJs98kMqKdnDkRNc54wra7gxI,https://www.google.com/maps/place/?q=place_id:ChIJs98kMqKdnDkRNc54wra7gxI,part_378,2026-09-20 20:45:24
