business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lado General Store & Stationary Corner,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",N/A,N/A,5.0,3.0,"C5G9+P79, Deokali, Bihar 804451",804451,25.427681099999997,85.1685255,ChIJYZDscACl8jkRoQp7-rv-8iY,https://www.google.com/maps/place/?q=place_id:ChIJYZDscACl8jkRoQp7-rv-8iY,part_378,2026-09-20 20:45:51
Surendra Kirana and General Stores,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",+91 74885 77014,N/A,1.5,2.0,"00, Dhanarua, Bihar 804451",804451,25.356385,85.128778,ChIJw4LeC4W78jkRZ_Xlu0lVLaU,https://www.google.com/maps/place/?q=place_id:ChIJw4LeC4W78jkRZ_Xlu0lVLaU,part_378,2026-09-20 20:45:51
Sunnu kirana general store,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",N/A,N/A,,,"C5WP+HHQ, Masaurhi, Kansari, Bihar 804451",Masaurhi,25.4467927,85.1868456,ChIJrUOxMwCl8jkRW7SAq_PIjIY,https://www.google.com/maps/place/?q=place_id:ChIJrUOxMwCl8jkRW7SAq_PIjIY,part_378,2026-09-20 20:45:51
Ayush Pan Palace,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",+91 72289 93859,N/A,3.5,2.0,"Shop No01, Beldari Chak, Bihar 804451",804451,25.445837599999997,85.1731973,ChIJiRHWykOl8jkRBbM61E9Vhdo,https://www.google.com/maps/place/?q=place_id:ChIJiRHWykOl8jkRBbM61E9Vhdo,part_378,2026-09-20 20:45:51
Bhim ji gift store,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",N/A,N/A,4.8,,"923J+3QQ, Masaurhi Main Rd, Rahmat Ganj, Masaurhi, Bihar 804452",Rahmat Ganj,25.352729,85.032028,ChIJhw5QAwCx8jkRd6hM0mn2nnQ,https://www.google.com/maps/place/?q=place_id:ChIJhw5QAwCx8jkRd6hM0mn2nnQ,part_378,2026-09-20 20:45:52
"Ranjan Kirana Store, rampur",General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",N/A,N/A,4.0,,"93CV+P9M, Satparsa, Bihar 804451",804451,25.3718392,85.0934367,ChIJTR2MshOw8jkR0Ss-Njq81vQ,https://www.google.com/maps/place/?q=place_id:ChIJTR2MshOw8jkR0Ss-Njq81vQ,part_378,2026-09-20 20:45:52
"Mayank Baranwal Dry Fruits, Disposable Party Items, Stationary & Bag Stores",General Store,Dry Fruit Store,"Dry Fruit Store, Bag shop, Disposable Items shop, Stationery store",804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",+91 93044 13932,N/A,4.6,,"Niket Anand Complex, Bailey Rd, Jagdeo Path, More, Khajpura, Patna, Bihar 800014","Jagdeo Path, More, Khajpura",25.6056577,85.07447499999999,ChIJsd3Zk7dX7TkRxhfWKJwX6uI,https://www.google.com/maps/place/?q=place_id:ChIJsd3Zk7dX7TkRxhfWKJwX6uI,part_378,2026-09-20 20:45:52
Mahesh Kirana & General Store,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",+91 88737 85921,N/A,4.6,,"J4C4+2WW, Pani Tanki More, Main Road, Mahesh Nagar, Patna, Bihar 800024","Mahesh Nagar, Keshri Nagar",25.6201239,85.10733909999999,ChIJTw0JRmN-DRQRYi7Rx7XouNU,https://www.google.com/maps/place/?q=place_id:ChIJTw0JRmN-DRQRYi7Rx7XouNU,part_378,2026-09-20 20:45:52
Tanya Enterprises,General Store,General store,General store,804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",+91 86518 67575,N/A,5.0,1.0,"Ajeet Kumar, Gali, Mushari, Pabhera, Bihar 804451",804451,25.366664099999998,85.1740803,ChIJW87D2Dm78jkRmWuc-AbrYBQ,https://www.google.com/maps/place/?q=place_id:ChIJW87D2Dm78jkRmWuc-AbrYBQ,part_378,2026-09-20 20:45:53
Birla Kirana,General Store,General store,"General store, Milk delivery service",804451,Bihar Circle,Patna HQ Region,Patna Division,"HAZRAT SAIN SO, BAHRAMPUR BO, BANSBIGHA BO",+91 93344 14151,N/A,4.1,31.0,"Near Durga Mandir, Birla Colony, Phulwari Sharif, Patna, Bihar 801505","Birla Colony, Phulwari Sharif",25.5834306,85.0704081,ChIJkV1fgdZX7TkRs0nIvijQBKY,https://www.google.com/maps/place/?q=place_id:ChIJkV1fgdZX7TkRs0nIvijQBKY,part_378,2026-09-20 20:45:53
