business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
New Auto Service,Car Repair Workshop and Garage,Garage,Garage,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 62039 11297,N/A,,,"Shop No 01, Road, Arha, Dhamaul, Bihar 805101",805101,24.9534868,85.8335118,ChIJG59D_JBP8jkRoHCOwbQbmQY,https://www.google.com/maps/place/?q=place_id:ChIJG59D_JBP8jkRoHCOwbQbmQY,part_379,2026-09-20 20:19:18,2318
Jay vishwakarma body garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 70041 45974,N/A,5.0,1.0,"Rajauli, Ghasiya Dih, Bihar 805125",805101,24.641880999999998,85.4876164,ChIJ1ZRaNxQF8zkRxgoctbV7EYA,https://www.google.com/maps/place/?q=place_id:ChIJ1ZRaNxQF8zkRxgoctbV7EYA,part_379,2026-09-20 20:19:18,2319
Muskan Auto Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,,,"Arha, Bihar 805101",805101,24.940859399999997,85.8283901,ChIJVexp_h9M8jkRKebFSUZbQ5s,https://www.google.com/maps/place/?q=place_id:ChIJVexp_h9M8jkRKebFSUZbQ5s,part_379,2026-09-20 20:19:18,2320
NAWADA AUTOMOBILES Pvt Ltd,Car Repair Workshop and Garage,Auto parts store,Auto parts store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99556 48373,https://cards.procontact.app/card/2828CARD/44954/9/view,4.4,66.0,"Jawahar Nagar, Nawada, Bihar 805110",Jawahar Nagar,24.8917224,85.5424544,ChIJ-c8NZPP-8jkRWpQBLbw-Luw,https://www.google.com/maps/place/?q=place_id:ChIJ-c8NZPP-8jkRWpQBLbw-Luw,part_379,2026-09-20 20:19:18,2321
Mehta Auto Chandan Kumar,Car Repair Workshop and Garage,Garage,Garage,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 86519 23011,N/A,,,"Shop No-01, Pakribarawan - Kawakol Rd, Gulni, Bihar 805124",805101,24.91765,85.800753,ChIJ22NTM29N8jkRYzBZtxf3SqI,https://www.google.com/maps/place/?q=place_id:ChIJ22NTM29N8jkRYzBZtxf3SqI,part_379,2026-09-20 20:19:18,2322
Sri Lakshmi car mechanic works,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 97052 68446,N/A,4.8,,"G6VH+32G, Muthangi, Hyderabad, Telangana 502300",Muthangi,17.5426911,78.2275818,ChIJJ334fIbzyzsRC6DUJtbjVZ4,https://www.google.com/maps/place/?q=place_id:ChIJJ334fIbzyzsRC6DUJtbjVZ4,part_379,2026-09-20 20:19:19,2323
Shree Baidyanath Automobiles - Multi Car Garage Works,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car wash",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 70045 15658,https://shreebaidyanathautomobiles.com/,4.8,,"Ambedkar Path, opp. Vidya Vihar High School, Jyotipuram Colony, Nanadanpuri Colony, Patna, Bihar 800014","Jyotipuram Colony, Nanadanpuri Colony",25.610661999999998,85.0742598,ChIJe0NB7wlX7TkRzhxoxrrKkWw,https://www.google.com/maps/place/?q=place_id:ChIJe0NB7wlX7TkRzhxoxrrKkWw,part_379,2026-09-20 20:19:19,2324
S.K CAR MECHANICS,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 82979 13458,N/A,5.0,,"HCJC+39Q, Gandi Maisamma, Hyderabad, Telangana 500043",Gandi Maisamma,17.5802125,78.4209844,ChIJq2OoSwCPyzsRJ_MyKH696OU,https://www.google.com/maps/place/?q=place_id:ChIJq2OoSwCPyzsRJ_MyKH696OU,part_379,2026-09-20 20:19:19,2325
Car workshop repair,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Service establishment",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 97116 90071,N/A,4.9,,"Car workshop repair, 805101, India",805101,27.1381928,80.8593042,ChIJp4iIpa7BDDkRQjHfjsIjCcY,https://www.google.com/maps/place/?q=place_id:ChIJp4iIpa7BDDkRQjHfjsIjCcY,part_379,2026-09-20 20:19:19,2326
Rajesh Auto Care,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 94314 32443,N/A,4.9,,"Brij Bihari Marg, near dwarika high school, Bans Ghat, Buddha Colony, Patna, Bihar 800001","Bans Ghat, Buddha Colony",25.6212622,85.13284209999999,ChIJReEXTGNZ7TkRirGOlVEe39w,https://www.google.com/maps/place/?q=place_id:ChIJReEXTGNZ7TkRirGOlVEe39w,part_379,2026-09-20 20:19:19,2327
