business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Lucknow Chaat Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99185 08281,N/A,4.3,14.0,"MDR 81E, Menhdawal, Uttar Pradesh 272271",805101,26.9712632,83.10506219999999,ChIJQ47l6O0ykTkRota8BZpVqY4,https://www.google.com/maps/place/?q=place_id:ChIJQ47l6O0ykTkRota8BZpVqY4,part_379,2026-09-20 20:19:10,713
Baba Chaat Bhandaar,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,12.0,"5VJC+2GV, Kashavgarh, Chakala Sitapur, Chitrakoot, Uttar Pradesh 210204",Kashavgarh,25.1800173,80.87038129999999,ChIJwVxN6hOnhDkR2rB1GfmzqXA,https://www.google.com/maps/place/?q=place_id:ChIJwVxN6hOnhDkR2rB1GfmzqXA,part_379,2026-09-20 20:19:10,714
Delhi Chaat and Paratha Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 93547 04361,N/A,4.9,49.0,"Era University, Post Office Rd, near Graphic, Subhash Nagar, Dehradun, Bharu Wala Grant, Uttarakhand 248002",Subhash Nagar,30.2724072,77.9944278,ChIJ2_eCs_4rCTkR_9niMA4wrzk,https://www.google.com/maps/place/?q=place_id:ChIJ2_eCs_4rCTkR_9niMA4wrzk,part_379,2026-09-20 20:19:10,715
Amit fast food chaat corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.6,8.0,"W7QH+GV, Sawaya Dhani, Uttar Pradesh 229404",805101,25.9387908,81.2796405,ChIJtU7eLbMRmzkRbu88IovkXWM,https://www.google.com/maps/place/?q=place_id:ChIJtU7eLbMRmzkRbu88IovkXWM,part_379,2026-09-20 20:19:10,716
BABA CHAT CORNER,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.0,56.0,"Lar, Uttar Pradesh 274502",805101,26.206179799999997,83.970664,ChIJ24QlQCxKkjkRGrH-PLAdNZk,https://www.google.com/maps/place/?q=place_id:ChIJ24QlQCxKkjkRGrH-PLAdNZk,part_379,2026-09-20 20:19:10,717
Baba Chat Corner,Fast Food and Chaat Corner,Breakfast restaurant,Breakfast restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.8,6.0,"WR76+GCQ, MDR 97E, Bangaon, Uttar Pradesh 223224",805101,25.9138298,82.81110389999999,ChIJoS0NvNNJkDkRDAeuJ7iN4_w,https://www.google.com/maps/place/?q=place_id:ChIJoS0NvNNJkDkRDAeuJ7iN4_w,part_379,2026-09-20 20:19:10,718
Keshri Chat,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 91995 54333,http://o2osell.com/shops/keshrichat,4.2,94.0,"downwards of raj gharana, near ghanta ghar, Eriquee Mohalla, Nehru Nagar, Pipra Khurd, Garhwa, Jharkhand 822114","Eriquee Mohalla, Nehru Nagar, Pipra Khurd",24.159699999999997,83.8084427,ChIJhSm1bP8OjDkRzwvOwI9m1V0,https://www.google.com/maps/place/?q=place_id:ChIJhSm1bP8OjDkRzwvOwI9m1V0,part_379,2026-09-20 20:19:10,719
Chaat N Fries,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Cafe, Restaurant, Tea store",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.8,44.0,"Purasaiwalkam, 54/147, Perambur Barracks Rd, Purasaiwakkam, Chennai, Tamil Nadu 600007","Perumalpet, Purasaiwakkam",13.0933652,80.25877299999999,ChIJo83o2GtlUjoRX0P2Ng4vwkA,https://www.google.com/maps/place/?q=place_id:ChIJo83o2GtlUjoRX0P2Ng4vwkA,part_379,2026-09-20 20:19:10,720
Chaat Baat,Fast Food and Chaat Corner,Pizza restaurant,Pizza restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 90214 71845,N/A,4.1,536.0,"Shop no-02 and 04, Lake view plaza, near Shahnaz lawn, beside Satyavishnu Hospital Road, Chatrapathi Nagar, N 12, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431001","Chatrapathi Nagar, N 12, Cidco",19.9021819,75.3442879,ChIJhQvDssaj2zsRRV-sz7S2_qg,https://www.google.com/maps/place/?q=place_id:ChIJhQvDssaj2zsRRV-sz7S2_qg,part_379,2026-09-20 20:19:10,721
Chotu chat Bhandar,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.0,5.0,"RJJ2+476, Akbalpur, Kersawa, Uttar Pradesh 222004",805101,25.830284499999998,82.6006444,ChIJmzeMwIo_kDkR_osgqui61LA,https://www.google.com/maps/place/?q=place_id:ChIJmzeMwIo_kDkR_osgqui61LA,part_379,2026-09-20 20:19:10,722
Om sai chat bhandar,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 96707 21563,N/A,5.0,4.0,"6XRR+QHX, Naipura Kalan, Tikari Gaon, Uttar Pradesh 221011",805101,25.2423705,82.9918153,ChIJT4w6l-ozjjkRfxTH_IDfBeE,https://www.google.com/maps/place/?q=place_id:ChIJT4w6l-ozjjkRfxTH_IDfBeE,part_379,2026-09-20 20:19:10,723
Vishal Chaat Corner,Fast Food and Chaat Corner,Restaurant,Restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,6.0,"J558+H7G, Saidpur Rd, Dujra, Rajendra Nagar, Patna, Bihar 800016","Dujra, Rajendra Nagar",25.608946699999997,85.1657094,ChIJHVZoG-tY7TkRbNOzXI9W-I0,https://www.google.com/maps/place/?q=place_id:ChIJHVZoG-tY7TkRbNOzXI9W-I0,part_379,2026-09-20 20:19:11,724
Lovely Bhelpuri Batatapuri and Chat,Fast Food and Chaat Corner,Hawker stall,Hawker stall,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.3,402.0,"J548+Q2Q, Rajendra Nagar, Patna, Bihar 800016",Rajendra Nagar,25.606951799999997,85.16512039999999,ChIJoUOnNOtY7TkRkTIG9Bo_0s8,https://www.google.com/maps/place/?q=place_id:ChIJoUOnNOtY7TkRkTIG9Bo_0s8,part_379,2026-09-20 20:19:11,725
Jaipuri Handi Chaat,Fast Food and Chaat Corner,Panipuri shop,Panipuri shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.8,10.0,"J572+VP2, Thakurbari Rd, Dariyapur Gola, Salimpur Ahra, Golambar, Patna, Bihar 800004","Dariyapur Gola, Salimpur Ahra, Golambar",25.6146541,85.1517626,ChIJQzNhzGlZ7TkRuBIQ4QC2VzI,https://www.google.com/maps/place/?q=place_id:ChIJQzNhzGlZ7TkRuBIQ4QC2VzI,part_379,2026-09-20 20:19:11,726
Sudam Gupchup Wala,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 88640 57017,N/A,5.0,1.0,"Sudam Gupchup Wala, Zero Mile Baliyari, Koshirukhi, Bihar 805107",805101,24.843971699999997,85.70917089999999,ChIJxYqvPpNT8jkRvLleuUkq6IE,https://www.google.com/maps/place/?q=place_id:ChIJxYqvPpNT8jkRvLleuUkq6IE,part_379,2026-09-20 20:19:11,727
Patna Fast Food,Fast Food and Chaat Corner,Restaurant,Restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 91557 01989,N/A,,,"JFWX HQ7, Rajauli, Bihar 805125",805101,24.6464717,85.49961449999999,ChIJ04GjnPUP8zkR6_cGhGYqRzo,https://www.google.com/maps/place/?q=place_id:ChIJ04GjnPUP8zkR6_cGhGYqRzo,part_379,2026-09-20 20:19:11,728
Raghav Sweets and Chaat,Fast Food and Chaat Corner,Restaurant,Restaurant,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 85305 84111,N/A,4.7,10.0,"Gokul Path, near BP Petrol Pump & SBI ATM Branch, North Patel Nagar, Patna, Bihar 801103","North Patel Nagar, East Patel Nagar, Adarsh Colony, North Shastri Nagar",25.617015,85.10148269999999,ChIJpciO2EJX7TkRv0tKHPUzV44,https://www.google.com/maps/place/?q=place_id:ChIJpciO2EJX7TkRv0tKHPUzV44,part_379,2026-09-20 20:19:11,729
