business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
The Juicy Life (Juice Center),Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 90325 64197,N/A,4.5,,"Sriram Nagar Rd, Kondapur, Sri Ram Nagar, Gachibowli, Hyderabad, Telangana 500084","Kondapur, Sri Ram Nagar, Gachibowli",17.461352299999998,78.3527843,ChIJORAoVgCTyzsRYCuzTPL-Cgo,https://www.google.com/maps/place/?q=place_id:ChIJORAoVgCTyzsRYCuzTPL-Cgo,part_379,2026-09-20 20:19:08,587
Milan Juice Center & Shawarma,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.2,,"Opp, Jamia Masjid Road, Mozampura, Bazar Ghat, New Mallepally, Hyderabad, Telangana 500001","Mozampura, Bazar Ghat, New Mallepally",17.3922888,78.45819879999999,ChIJz-sc4WKXyzsR2888gJ-tJzw,https://www.google.com/maps/place/?q=place_id:ChIJz-sc4WKXyzsR2888gJ-tJzw,part_379,2026-09-20 20:19:08,588
Milan Juice Center & Milan Café,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,https://www.instagram.com/milanjuicecenter_official?igsh=NHdyOXcwOGFjN3Jr,3.5,,"8FR8+MCR, Almas X Rd, Model Town Colony, Sardar Colony, Nawab Saheb Kunta, Hyderabad, Telangana 500053","Model Town Colony, Sardar Colony, Nawab Saheb Kunta",17.341717,78.4658729,ChIJlQXaQgCXyzsRMz3gVUlgxms,https://www.google.com/maps/place/?q=place_id:ChIJlQXaQgCXyzsRMz3gVUlgxms,part_379,2026-09-20 20:19:08,589
Milan Juice Center,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Ice cream shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 91608 32786,N/A,4.0,,"9F5F+QPQ, Shop.No.15, Quili Qutub Shah Complex,, 23-1-1119, Shalibanda Rd, Charminar, Moghalpura, Hyderabad, Telangana 500002","Charminar, Moghalpura",17.359472399999998,78.47441239999999,ChIJrebqh4qXyzsRtzUe_xcXMoE,https://www.google.com/maps/place/?q=place_id:ChIJrebqh4qXyzsRtzUe_xcXMoE,part_379,2026-09-20 20:19:08,590
Milan Juice Center and Shawarma,Juice Center and Milkshake Bar,Shawarma restaurant,"Shawarma restaurant, Juice shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 85000 00687,N/A,3.9,,"Survey No.64, 25 & 26, Plot No. 15, 24, Huda Techno Enclave Rd, opposite to GOWRA FOUNTAIN HEAD, HUDA Techno Enclave, Madhapur, Hyderabad, Telangana 500081","HUDA Techno Enclave, Madhapur",17.4439541,78.3836226,ChIJk5ENrbGTyzsR8bqU7KLOYGY,https://www.google.com/maps/place/?q=place_id:ChIJk5ENrbGTyzsR8bqU7KLOYGY,part_379,2026-09-20 20:19:08,591
Delhi Juice & Ice Cream Milk Shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 90731 31252,N/A,4.3,,"Gate no-5, Quest Mall, 72, Beck Bagan Row, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.5379027,88.3676203,ChIJUw7r1912AjoRpODjkMfEVQw,https://www.google.com/maps/place/?q=place_id:ChIJUw7r1912AjoRpODjkMfEVQw,part_379,2026-09-20 20:19:08,592
Nice Juice Centre,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Fast food restaurant",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 86392 71639,N/A,4.3,,"2-4-64, MG Road, Beside KFC Restaurant, Secunderabad, Telangana 500003","Nallagutta, Ramgopalpet",17.4357838,78.4883428,ChIJgxFIERuayzsRsyh1XRCYw_k,https://www.google.com/maps/place/?q=place_id:ChIJgxFIERuayzsRsyh1XRCYw_k,part_379,2026-09-20 20:19:08,593
JUICE AND SHAKE BAR,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 80909 00001,N/A,5.0,,"9, Water Works Rd, opp. ikon organic, Aishbagh, Lucknow, Uttar Pradesh 226004",Aishbagh,26.847484899999998,80.9083551,ChIJjWL7fp79mzkRjSUgV1mwh5Q,https://www.google.com/maps/place/?q=place_id:ChIJjWL7fp79mzkRjSUgV1mwh5Q,part_379,2026-09-20 20:19:08,594
International Fruit Juice Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 95500 58503,N/A,4.2,,"2H Complex, Owner Of Khaja Hussain, Gudimalkapur, Hyderabad, Telangana 500006","Vivekananda Colony, Santosh Nagar, Gudimalkapur",17.3942065,78.4410427,ChIJrVOhdxqXyzsRvVTP66vPYSQ,https://www.google.com/maps/place/?q=place_id:ChIJrVOhdxqXyzsRvVTP66vPYSQ,part_379,2026-09-20 20:19:08,595
Milan Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,https://www.milanjuicecenter.com/,3.2,,"500092, DLF Rd, APHB Colony, Jayabheri Enclave, Gachibowli, Hyderabad, Telangana 500032","APHB Colony, Jayabheri Enclave, Gachibowli",17.4488989,78.3556566,ChIJEbRbbTWTyzsRtkKBeCyQuO8,https://www.google.com/maps/place/?q=place_id:ChIJEbRbbTWTyzsRtkKBeCyQuO8,part_379,2026-09-20 20:19:08,596
Zaheer Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 63040 81601,N/A,4.1,,"Chanchalguda Fateh khan bazar Hyderabad Biside, MBT Office Rd, Hyderabad, Telangana 500024",Chanchalguda,17.3667968,78.4941592,ChIJ09yA59WZyzsRz1qfewpy3_8,https://www.google.com/maps/place/?q=place_id:ChIJ09yA59WZyzsRz1qfewpy3_8,part_379,2026-09-20 20:19:08,597
Milan Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 80998 15554,N/A,4.0,,"Mujadaddy estate, Royal Colony, Mehdipatnam, Hyderabad, Telangana 500006","Royal Colony, Mehdipatnam",17.3949419,78.4423197,ChIJJ04wCleXyzsRHmPgI1DXHck,https://www.google.com/maps/place/?q=place_id:ChIJJ04wCleXyzsRHmPgI1DXHck,part_379,2026-09-20 20:19:08,598
Juice joint,Juice Center and Milkshake Bar,Ice cream shop,Ice cream shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 88617 11156,N/A,4.1,,"1000, 9th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102","7th Sector, HSR Layout",12.9110164,77.6350245,ChIJaxzILI8VrjsRUragDwt2wWY,https://www.google.com/maps/place/?q=place_id:ChIJaxzILI8VrjsRUragDwt2wWY,part_379,2026-09-20 20:19:08,599
Delhi Ice Cream Shakes & Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.5,,"29, Topsia Rd, Seal Lane, Topsia, Kolkata, West Bengal 700046","Seal Lane, Topsia",22.541858299999998,88.3867884,ChIJwcQQo1d3AjoRBI6dINpK_Ug,https://www.google.com/maps/place/?q=place_id:ChIJwcQQo1d3AjoRBI6dINpK_Ug,part_379,2026-09-20 20:19:08,600
Juice n Shake's,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Cafe",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 90229 68413,N/A,4.5,,"Bhagtani House, Hospital, behind Gondia, Ashok Colony, Ganesh Nagar, Gondia, Maharashtra 441601","Ashok Colony, Ganesh Nagar",21.448865299999998,80.1992927,ChIJU28AjgWvKzoRBVM1ZQbQNeU,https://www.google.com/maps/place/?q=place_id:ChIJU28AjgWvKzoRBVM1ZQbQNeU,part_379,2026-09-20 20:19:08,601
R R JUICE & SHAKE,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,,"Pather ki masjid, 06, Tekari Rd, near shiv tea stall, Tripolia, Patna, Bihar 800006",Tripolia,25.617337499999998,85.18608669999999,ChIJg2ulTN1Z7TkR8jsaSpuCG6s,https://www.google.com/maps/place/?q=place_id:ChIJg2ulTN1Z7TkR8jsaSpuCG6s,part_379,2026-09-20 20:19:08,602
Karan juice corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 82197 41207,N/A,4.9,,"J487+V37, Boring Rd, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.617153,85.1126769,ChIJD6hNGABZ7TkRL-WFC0ebKpU,https://www.google.com/maps/place/?q=place_id:ChIJD6hNGABZ7TkRL-WFC0ebKpU,part_379,2026-09-20 20:19:08,603
Juice bar,Juice Center and Milkshake Bar,Ice cream shop,Ice cream shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,,"8G5F+WFM, Annapurna Colony, Balapur, Badangpet, Telangana 500112",Annapurna Colony,17.3098039,78.52375099999999,ChIJg2sGIgCjyzsRGBYKfmPrv2k,https://www.google.com/maps/place/?q=place_id:ChIJg2sGIgCjyzsRGBYKfmPrv2k,part_379,2026-09-20 20:19:08,604
The juce cafe,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 81423 21376,N/A,3.7,,"C9X4+G4M, APHB Colony, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032","APHB Colony, Indira Nagar, Gachibowli",17.4488299,78.3552918,ChIJz2wDg5qTyzsR4POawOefs2s,https://www.google.com/maps/place/?q=place_id:ChIJz2wDg5qTyzsR4POawOefs2s,part_379,2026-09-20 20:19:08,605
Sri Manikanta Juice ADDA,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 90594 19343,N/A,4.7,,"X Road, Saroornagar, Balaji Nagar, Saroor Nagar West, Saidabad, Champapet, Hyderabad, Telangana 500059","Saroornagar, Balaji Nagar, Saroor Nagar West, Saidabad",17.3486942,78.5152688,ChIJBabNUGOYyzsRJtO4I2KRDgg,https://www.google.com/maps/place/?q=place_id:ChIJBabNUGOYyzsRJtO4I2KRDgg,part_379,2026-09-20 20:19:08,606
Juice Junction,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 824 298 6666,N/A,4.2,,"Emjays complex, Balmatta Rd, Balmatta, Mangaluru, Karnataka 575001",Balmatta,12.8734395,74.8511228,ChIJ01uYm2JbozsRghOhBKfkqvA,https://www.google.com/maps/place/?q=place_id:ChIJ01uYm2JbozsRghOhBKfkqvA,part_379,2026-09-20 20:19:09,607
Jalsa Juice,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 98601 20070,http://www.jalsajuice.com/,4.5,,"Shop No. 7, Parshuram Apartments, College Rd, Patil Colony, Canada Corner, Nashik, Maharashtra 422005","Patil Colony, Canada Corner",20.0053077,73.7675048,ChIJ76s_MZnr3TsRu9LwZGY-7c0,https://www.google.com/maps/place/?q=place_id:ChIJ76s_MZnr3TsRu9LwZGY-7c0,part_379,2026-09-20 20:19:09,608
Natural Juice & Shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,,"Naini Bazar, Dandi, Prayagraj, Uttar Pradesh 211008","Naini Bazar, Dandi",25.3951188,81.86383839999999,ChIJRQ9qZH41hTkRm0A4P1n4gT8,https://www.google.com/maps/place/?q=place_id:ChIJRQ9qZH41hTkRm0A4P1n4gT8,part_379,2026-09-20 20:19:09,609
Samarth Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 96234 83688,N/A,4.3,,"9, College Rd, Patil Colony, Canada Corner, Nashik, Maharashtra 422005","Patil Colony, Canada Corner",20.0042237,73.7700128,ChIJ615MOLDr3TsRXMJkE7dz2u4,https://www.google.com/maps/place/?q=place_id:ChIJ615MOLDr3TsRXMJkE7dz2u4,part_379,2026-09-20 20:19:09,610
Juice World,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99169 61119,N/A,4.2,,"Kankanady Bypass Rd, Kankanady, Mangaluru, Karnataka 575002",Kankanady,12.868101699999999,74.8579773,ChIJ9Q1fbTNaozsRM-P3Bw2D25Y,https://www.google.com/maps/place/?q=place_id:ChIJ9Q1fbTNaozsRM-P3Bw2D25Y,part_379,2026-09-20 20:19:09,611
Shree Mewar Juice Corner & Fast Food,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Fast food restaurant",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 83055 05910,N/A,4.0,,"HIG-1/93, DD Nagar Rd Sector 1, DD Nagar Rd, Sector 1, DDU Nagar, Amanaka, Raipur, Chhattisgarh 492013","Sector 1, DDU Nagar, Amanaka",21.236736,81.6005595,ChIJhxqFLXTeKDoRu7j2-CSRqUw,https://www.google.com/maps/place/?q=place_id:ChIJhxqFLXTeKDoRu7j2-CSRqUw,part_379,2026-09-20 20:19:09,612
Bhola Sky Juice,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 80922 48433,N/A,5.0,,"Utkramit Middle School, Pesh, Pes, Nardiganj, Bihar 805109",Pesh,24.9377474,85.3842367,ChIJc9cyBgDl8jkRIpo1kB_6YTQ,https://www.google.com/maps/place/?q=place_id:ChIJc9cyBgDl8jkRIpo1kB_6YTQ,part_379,2026-09-20 20:19:09,613
The Vitamin Bar,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Beverage Store, Food court, Fruit parlor, Ice cream shop, Pasta shop, Sandwich shop, Snack bar, Soft drinks shop, Tiffin center",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 97772 00255,N/A,4.7,,"Infront of Budha Jayanti Park, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Niladri Vihar, Chandrasekharpur",20.3254101,85.80832559999999,ChIJZ9QLn_UJGToREhanPCbveSA,https://www.google.com/maps/place/?q=place_id:ChIJZ9QLn_UJGToREhanPCbveSA,part_379,2026-09-20 20:19:09,614
The Shakes & Juices,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 96696 60046,https://www.theshakesjuices.in/,4.9,,"PlOT NO.25, SY-180, SEETHA RAMASWAMY NILAYAM, 1ST HIGH TENSION LINE SAMATHA NAGAR BESIDE HDFC BANK, HP GAS OFFICE,OPP:JNTU, KUKATPALLY, MEDCHAL MALKAJGIRI, Circle No 24, Hyderabad, Telangana 500085","Addagutta, Samatha Nagar, Kukatpally",17.4994138,78.3922651,ChIJDwyBhfGRyzsRdrYv8eRPI28,https://www.google.com/maps/place/?q=place_id:ChIJDwyBhfGRyzsRdrYv8eRPI28,part_379,2026-09-20 20:19:09,615
Beyond Shakes,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Ice cream shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 96421 11300,N/A,4.7,,"2-6-12/6, near Aditya College, Madhav Nagar, Srinagar, Ramanayyapeta, Andhra Pradesh 533003","Madhav Nagar, Srinagar",16.9733484,82.24079309999999,ChIJl2_G0zgpODoRhIJm1oXt5yA,https://www.google.com/maps/place/?q=place_id:ChIJl2_G0zgpODoRhIJm1oXt5yA,part_379,2026-09-20 20:19:09,616
Chander Juice Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 81266 90060,N/A,4.1,,"Saroj cinema, Chhatrapati Shivaji Maharaj Marg, Budh Bazaar, Moradabad, Uttar Pradesh 244001",Budh Bazaar,28.8335796,78.7712201,ChIJUWlQN8D7CjkR34pxGreYsow,https://www.google.com/maps/place/?q=place_id:ChIJUWlQN8D7CjkR34pxGreYsow,part_379,2026-09-20 20:19:09,617
Juice Den,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 89683 05688,N/A,4.8,,"Scf 4, Vip Galleria Market, VIP Rd, Zirakpur, Punjab 140603",805101,30.636476899999998,76.8101121,ChIJ51ykIRfrDzkRwLIvqpnNKNA,https://www.google.com/maps/place/?q=place_id:ChIJ51ykIRfrDzkRwLIvqpnNKNA,part_379,2026-09-20 20:19:09,618
Om Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 98029 23852,N/A,4.4,,"605, Choudhary Wara, Kayasthwara Mohalla, Rewari, Kanmajra, Haryana 123401","Choudhary Wara, Kayasthwara Mohalla",28.197357,76.61805129999999,ChIJ0-R4U3VQDTkR5klIeXytxXQ,https://www.google.com/maps/place/?q=place_id:ChIJ0-R4U3VQDTkR5klIeXytxXQ,part_379,2026-09-20 20:19:09,619
Juice Junction,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Coffee shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 87620 48970,N/A,3.6,,"1507/1, KSR Road, Kodailbail, Mangaluru, Karnataka 575001",Kodailbail,12.8709872,74.8421591,ChIJ0RaxgE5aozsRDm4TUPqdS5E,https://www.google.com/maps/place/?q=place_id:ChIJ0RaxgE5aozsRDm4TUPqdS5E,part_379,2026-09-20 20:19:09,620
