business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sonalika - Shivam Tractors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 98358 99453,https://dealers.sonalika.com/sonalika-shivam-tractors-tractor-dealer-moti-bigha-nawada-186276/Home?utm_source=locator&utm_medium=googleplaces,4.8,85.0,"No 307, Moti Bigha, Nawada, Gonawa, Bihar 805111",805101,24.9045517,85.54042489999999,ChIJ04k6Uvb-8jkRfRF2gavF-RI,https://www.google.com/maps/place/?q=place_id:ChIJ04k6Uvb-8jkRfRF2gavF-RI,part_379,2026-09-20 20:19:19
Eicher Tractors Dealerships - Shree Ram Tractors & Automobiles,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Auto market, Tractor repair shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 79 4716 6451,https://dealers.eichertractors.in/eicher-tractors-shree-ram-tractors-automobiles-in-bihar-nawada-dist-nawada-64247/Home?utm_source=gmbeicher&utm_medium=googlewebsite,5.0,1.0,"Near, ITI NH-31, Nawada, Gonawa, Bihar 805111",805101,24.9040058,85.5407929,ChIJWXpw-yh78jkRO6v-I612Kis,https://www.google.com/maps/place/?q=place_id:ChIJWXpw-yh78jkRO6v-I612Kis,part_379,2026-09-20 20:19:19
Powertrac tractor (Suraj automobile),Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99319 19119,N/A,,,"bus stand, beside medistar hospital, Budhaul, Nawada, Bihar 805112",805101,24.892740699999997,85.5287979,ChIJvZPJH-T_8jkRSOKaywfdG7g,https://www.google.com/maps/place/?q=place_id:ChIJvZPJH-T_8jkRSOKaywfdG7g,part_379,2026-09-20 20:19:19
Tata Motors - Maa Mundeshwari Motors,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Truck parts supplier, Truck repair shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 74117 81399,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-maa-mundeshwari-motors-pvt-ltd-truck-dealers-sitarampur-more-nawada-313507/Home?utm_source=locator&utm_medium=googleplaces,5.0,16.0,"No 31, More, Ansar Nagar, Ambika Bigha, Sitarampur, Bihar 805112",Ansar Nagar,24.877091,85.537491,ChIJnX44ZQv_8jkRbBTZC4YpBzQ,https://www.google.com/maps/place/?q=place_id:ChIJnX44ZQv_8jkRbBTZC4YpBzQ,part_379,2026-09-20 20:19:19
Siddhartha Tractors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm Equipment Repair Shop, Garage, Trailer dealer, Trailer manufacturer, Trailer repair shop, Wholesaler",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 94312 23286,https://www.facebook.com/siddharthatractors/,3.7,24.0,"Opp. Nagmatiya Road, Swarajpuri Road, Gaya, Bihar 823001","Millat Colony, Enayat Colony",24.7948578,85.0007043,ChIJCVV5UEAq8zkRPv_R29upgq8,https://www.google.com/maps/place/?q=place_id:ChIJCVV5UEAq8zkRPv_R29upgq8,part_379,2026-09-20 20:19:19
Sonalika tractor showroom,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 98012 78104,https://www.sonalika.com/,4.0,33.0,"Sherpur, Bihar Sharif, Bihar 803216",Sherpur,25.1898017,85.5076373,ChIJVU3UOtDz8jkRi_i9HJUXJyE,https://www.google.com/maps/place/?q=place_id:ChIJVU3UOtDz8jkRi_i9HJUXJyE,part_379,2026-09-20 20:19:19
Kishan Tractor And Electrical,Commercial Vehicle and Tractor Dealer,Auto electrical service,"Auto electrical service, Tractor dealer",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 72502 60555,N/A,5.0,1.0,"Kowar - Koderma Rd, Khorimahua, Chadgar, Jharkhand 825412",805101,24.4555543,86.0055806,ChIJkWkiExrq8zkRVPaZeX5xGj0,https://www.google.com/maps/place/?q=place_id:ChIJkWkiExrq8zkRVPaZeX5xGj0,part_379,2026-09-20 20:19:19
Sonalika Tractor Show Room,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,3.8,28.0,"9G7H+36R, Harnaut Rd, Harnaut, Bihar 803110",805101,25.362747799999998,85.5280284,ChIJEVHhIdeI8jkRdPNBZdfVAME,https://www.google.com/maps/place/?q=place_id:ChIJEVHhIdeI8jkRdPNBZdfVAME,part_379,2026-09-20 20:19:19
Sonalika - Shreya Automobiles,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 96312 65159,https://dealers.sonalika.com/sonalika-shreya-automobiles-tractor-dealer-rajauli-nawada-186247/Home?utm_source=locator&utm_medium=googleplaces,,,"Block Road, opposite Van Vibhag, Purani Rajauli, Rajauli, Bihar 805125",Purani Rajauli,24.6532356,85.50457109999999,ChIJC51hp6EF8zkRrJ2n1h5SIbU,https://www.google.com/maps/place/?q=place_id:ChIJC51hp6EF8zkRrJ2n1h5SIbU,part_379,2026-09-20 20:19:19
Imperial Agro Pvt. Ltd.- Ashok Leyland Dealer,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Auto parts store",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 1800 266 3340,N/A,4.1,158.0,"Neta Chowk, NH 28, near Kanti, Power House, Bishunpur Sumer, Muzaffarpur, Bihar 843109",Bishunpur Sumer,26.1997875,85.3095215,ChIJ6alHxu0Y7TkR7omdZXQPp_8,https://www.google.com/maps/place/?q=place_id:ChIJ6alHxu0Y7TkR7omdZXQPp_8,part_379,2026-09-20 20:19:19
