business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sudha Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,,"Nawada Jail, Police line, Nawada, Bihar 805111",Police line,24.868273799999997,85.5196947,ChIJLzjCZeL98jkRUInKQZzq8SY,https://www.google.com/maps/place/?q=place_id:ChIJLzjCZeL98jkRUInKQZzq8SY,part_379,2026-09-20 20:19:06
Sudha Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,,,"Block Office, Near, Pakribarawan Main Rd, Pakribarawan, Bihar 805124",805101,24.953218099999997,85.73120639999999,ChIJwdGldABR8jkRHmXjax-OduA,https://www.google.com/maps/place/?q=place_id:ChIJwdGldABR8jkRHmXjax-OduA,part_379,2026-09-20 20:19:06
Sudha Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.0,,"Maharaja Hata, Nawada, Arrah, Bihar 802301","Maharaja Hata, Nawada",25.5504186,84.6633674,ChIJu8dAUQBfjTkRzrytXKaAvqk,https://www.google.com/maps/place/?q=place_id:ChIJu8dAUQBfjTkRzrytXKaAvqk,part_379,2026-09-20 20:19:06
A-One Milk & Ice-Cream Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 70101 64236,N/A,1.0,,"Shanti Nagar, Pakribarawan, Bihar 805124",Shanti Nagar,24.953686299999998,85.73683319999999,ChIJ48t0o2RR8jkRyzUTz88RINs,https://www.google.com/maps/place/?q=place_id:ChIJ48t0o2RR8jkRyzUTz88RINs,part_379,2026-09-20 20:19:06
Sudha Dairy Shop,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 93348 10439,N/A,4.2,30.0,"Barao par, Ranchi Rd, Bihar Sharif, Bihar 803101",Professor Colony,25.196711099999998,85.5173925,ChIJOWBW4l7z8jkRPm_WJXqNYfM,https://www.google.com/maps/place/?q=place_id:ChIJOWBW4l7z8jkRPm_WJXqNYfM,part_379,2026-09-20 20:19:07
Sudha Dairy Factory,Dairy and Milk Parlour,Dairy farm,Dairy farm,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,4.2,301.0,"V5PC+329, Dehri, Bihar 821307",805101,24.8851679,84.170096,ChIJBQEo_B2sjTkRRD6ICq5OQuE,https://www.google.com/maps/place/?q=place_id:ChIJBQEo_B2sjTkRRD6ICq5OQuE,part_379,2026-09-20 20:19:07
Pista (Amul Showroom),Dairy and Milk Parlour,Dairy store,"Dairy store, Ice cream shop",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 94312 72178,http://www.amul.com/,3.7,86.0,"Shaheed Road, Near prem talkies, Dulhingunj, Gaya, Bihar 823001",Dulhingunj,24.796709999999997,85.009914,ChIJZUMdmz0q8zkRwwxGmEP2no8,https://www.google.com/maps/place/?q=place_id:ChIJZUMdmz0q8zkRwwxGmEP2no8,part_379,2026-09-20 20:19:07
Bhagalpur Dairy,Dairy and Milk Parlour,Dairy Products Supplier,"Dairy Products Supplier, Dairy",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 84070 05001,N/A,4.1,208.0,"Mayaganj, Bhagalpur, Bihar 812001",Mayaganj,25.2598408,87.0055783,ChIJzVMA2iM28DkR7_XWm5r6cKE,https://www.google.com/maps/place/?q=place_id:ChIJzVMA2iM28DkR7_XWm5r6cKE,part_379,2026-09-20 20:19:07
Patna Dairy Project,Dairy and Milk Parlour,Milk delivery service,"Milk delivery service, Dairy store",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,http://www.sudha.coop/,4.1,15.0,"H3MV+H86, Khagaul Rd, Anisabad, Patna, Bihar 800002",Anisabad,25.5839185,85.09325179999999,ChIJCTZjq-NX7TkRUDYzPoOTmoE,https://www.google.com/maps/place/?q=place_id:ChIJCTZjq-NX7TkRUDYzPoOTmoE,part_379,2026-09-20 20:19:07
Sudha Dairy Jharkhand,Dairy and Milk Parlour,Dairy store,Dairy store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,3.9,332.0,"FMRP+RG3, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.4920175,86.68628389999999,ChIJz6YyMyEW8TkR0dYPGC6xW6I,https://www.google.com/maps/place/?q=place_id:ChIJz6YyMyEW8TkR0dYPGC6xW6I,part_379,2026-09-20 20:19:07
ZIGZIG DAIRY,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 79922 75876,N/A,5.0,82.0,"JULI WASHING POWDER, FIELD, Mathurapur, Khagaria, Bihar 851204",FIELD,25.5131648,86.4485376,ChIJWwvqT-fl8TkRXbaznI7ogJU,https://www.google.com/maps/place/?q=place_id:ChIJWwvqT-fl8TkRXbaznI7ogJU,part_379,2026-09-20 20:19:07
