business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Naaz Traders,Industrial Equipment Suppliers,Weighing Scale Supplier,Weighing Scale Supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 84099 22441,N/A,4.5,,"XP3M+9GF, hospital road, Pakribarawan, Bihar 805124",805101,24.953440999999998,85.7338429,ChIJzSWMuyVR8jkRSuU2tHFf_ys,https://www.google.com/maps/place/?q=place_id:ChIJzSWMuyVR8jkRSuU2tHFf_ys,part_379,2026-09-20 20:19:41
RK GUPTA TRADERS,Industrial Equipment Suppliers,Weighing Scale Supplier,Weighing Scale Supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 79090 27442,N/A,5.0,,"Shagun palace, Pakribarawan - Warisaliganj Rd, Pakribarawan, Bihar 805124",805101,24.9540105,85.73661179999999,ChIJU9Nb_F5R8jkR_C3M1z6yESQ,https://www.google.com/maps/place/?q=place_id:ChIJU9Nb_F5R8jkR_C3M1z6yESQ,part_379,2026-09-20 20:19:41
"Shiv Das, Oil Mill",Industrial Equipment Suppliers,Oil field equipment supplier,"Oil field equipment supplier, Mill",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99340 88842,N/A,3.8,,"Koyari Tola, Pakribarawan, Bihar 805124",Koyari Tola,24.9536296,85.7391573,ChIJ_WyzCJFR8jkRbK0WNRdFIbc,https://www.google.com/maps/place/?q=place_id:ChIJ_WyzCJFR8jkRbK0WNRdFIbc,part_379,2026-09-20 20:19:41
BABA DARWAZA,Industrial Equipment Suppliers,Aluminium Supplier,Aluminium Supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99346 72112,N/A,,,"Hospital road, Pakribarawan, Bihar 805124",805101,24.9533445,85.7338407,ChIJfUZwk3VR8jkRQRzC023O5hU,https://www.google.com/maps/place/?q=place_id:ChIJfUZwk3VR8jkRQRzC023O5hU,part_379,2026-09-20 20:19:41
RANI ELECTRONIC,Industrial Equipment Suppliers,Electronic parts supplier,Electronic parts supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,,,"XP3P+G9X, Main Road, near ajad chouk, Warisaliganj, Pakribarawan, Bihar 805124",805101,24.9538624,85.73599279999999,ChIJKY2tGNFR8jkRavW08gixad8,https://www.google.com/maps/place/?q=place_id:ChIJKY2tGNFR8jkRavW08gixad8,part_379,2026-09-20 20:19:41
Sk Kamran,Industrial Equipment Suppliers,Plastic bag supplier,Plastic bag supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,,,"WVVF+QWC, Abgilla Chaurasa, Bihar 811301",805101,24.944428799999997,85.8747585,ChIJC431fQBJ8jkRoyGvtKcrHVU,https://www.google.com/maps/place/?q=place_id:ChIJC431fQBJ8jkRoyGvtKcrHVU,part_379,2026-09-20 20:19:41
Patliputra Equipments Pvt. Ltd.,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 77638 17632,http://jcbpatliputra.in/,4.2,250.0,"Shimali,Old didarganj check post, NH-30, PO.Chock, Patna City, Deedarganj, Patna, Bihar 800008","Patna City, Narayan Nagar, Deedarganj",25.570418,85.2467808,ChIJ3XOE74RW7TkR_zTAP-tx55Y,https://www.google.com/maps/place/?q=place_id:ChIJ3XOE74RW7TkR_zTAP-tx55Y,part_379,2026-09-20 20:19:42
S B Enterprises -|Industrial Supplier | PUNE MH |,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Equipment Exporter, Measuring instruments supplier",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 95035 08453,http://www.bulkmromarket.com/,4.6,21.0,"Shop No 1, Shree Chambers, 416 Near Gurudwara, Ganesh Peth, Pune, Maharashtra 411002","Kapad Ganj, Ganesh Peth",18.516873399999998,73.8618716,ChIJsfCN8WjAwjsRx3ZZf8mFeBU,https://www.google.com/maps/place/?q=place_id:ChIJsfCN8WjAwjsRx3ZZf8mFeBU,part_379,2026-09-20 20:19:42
ARMind Industries,Industrial Equipment Suppliers,Machining manufacturer,Machining manufacturer,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 94318 15446,https://www.armindindustries.com/,4.6,143.0,"H5M6+RJP, Bhagalpur - Patna Rd, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800026","East Lakshmi Nagar, Ramkrishan Nagar",25.5850767,85.162509,ChIJy8tPfxRZ7TkRIAVzHc96O2Q,https://www.google.com/maps/place/?q=place_id:ChIJy8tPfxRZ7TkRIAVzHc96O2Q,part_379,2026-09-20 20:19:42
West India Equipments Pvt. Ltd.,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,https://westindiaequip.com/,4.6,52.0,"Sarkhej - Gandhinagar Highway, opposite Gokuldham, Ularia, Sanand, Gujarat 382210",805101,22.9882323,72.4583525,ChIJmxKE-5OaXjkR9pWMuAVTfao,https://www.google.com/maps/place/?q=place_id:ChIJmxKE-5OaXjkR9pWMuAVTfao,part_379,2026-09-20 20:19:42
