business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Muthoot FinCorp Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Money transfer service",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 80 4595 3716,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-station-road-loan-agency-nawada-nawada-12488400/Home,5.0,84.0,"Upper Ground Floor, Shree Krishna Complex, Station Rd, near Hotel Siddharth, Nawada, Bihar 805110",805101,24.8850859,85.5461531,ChIJyxgdv_P_8jkR7jQFrE1EUB4,https://www.google.com/maps/place/?q=place_id:ChIJyxgdv_P_8jkR7jQFrE1EUB4,part_379,2026-09-20 20:19:36
IIFL Gold Loan,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Financial institution",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 22 6591 7705,https://locate-us.iifl.com/apply-for-gold-loan/iifl-gold-loan-nawada-gl-loan-agency-nawada-main-road-nawada-427237/Home?utm_source=locator&utm_medium=googleplaces,5.0,61.0,"1st Floor, Prasad Bigha, H No 132/1, Nawada Rd, near Durga Mandap, Nawada, Bihar 805110",805101,24.888871599999998,85.5432551,ChIJiQyFTI3_8jkRMIZo76EeH3g,https://www.google.com/maps/place/?q=place_id:ChIJiQyFTI3_8jkRMIZo76EeH3g,part_379,2026-09-20 20:19:36
Primax Cash for Gold – Nawada,Pawn Broker and Gold Loan,Gold dealer,"Gold dealer, Jeweler, Jewelry appraiser, Jewelry buyer",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 92209 03008,https://primaxsonadopaiselo.com/nawada,5.0,140.0,"B-8, Shop No. 2, Gulab Bagh Piller No. 723, Nawada, Uttam Nagar, Delhi, 110059","Block G, Block C, Kiran Garden, Uttam Nagar",28.6203476,77.0468375,ChIJHUYOfuAFDTkREqVpZvuIFAE,https://www.google.com/maps/place/?q=place_id:ChIJHUYOfuAFDTkREqVpZvuIFAE,part_379,2026-09-20 20:19:36
Diamond Bankers Money Lenders & Pawn Brokers,Pawn Broker and Gold Loan,Jewelry store,Jewelry store,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,1.0,"42/C, Mothi Nagar, Vengal Rao Nagar, Madhura Nagar, Hyderabad, Telangana 500038","Mothi Nagar, Vengal Rao Nagar, Madhura Nagar",17.4412479,78.4389765,ChIJZ5VpC9uQyzsR0wkLd2yhk4o,https://www.google.com/maps/place/?q=place_id:ChIJZ5VpC9uQyzsR0wkLd2yhk4o,part_379,2026-09-20 20:19:36
Primax Sona Do Paise Lo,Pawn Broker and Gold Loan,Gold dealer,"Gold dealer, Jeweler, Jewelry appraiser, Jewelry buyer",805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 92209 03008,https://primaxsonadopaiselo.com/,4.9,236.0,"F22-102, Dr NS Hardikar Rd, opposite New Bal Bharati Public School, Pocket 21, Sector 3, Rohini, Delhi, 110085","Pocket 21, Sector 3, Rohini",28.7011222,77.1013199,ChIJeeQCrH8FDTkRy1gdRvKBooA,https://www.google.com/maps/place/?q=place_id:ChIJeeQCrH8FDTkRy1gdRvKBooA,part_379,2026-09-20 20:19:36
G.Dilipkumar Pawn Broker,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,2.0,"Amudham Colony, T. Nagar, Chennai, Tamil Nadu 600017","Amudham Colony, T. Nagar",13.033133699999999,80.24065089999999,ChIJY1D_Aq1nUjoRUnUoLcFT4vU,https://www.google.com/maps/place/?q=place_id:ChIJY1D_Aq1nUjoRUnUoLcFT4vU,part_379,2026-09-20 20:19:36
Dhanalakshmi Pawn Broker,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,3.0,"Shop No, 6/2, Padavattamman Kovil Street, Satyavathi Nagar, Sakthi Nagar, Padi, Chennai, Tamil Nadu 600050","Satyavathi Nagar, Sakthi Nagar, Padi",13.0935559,80.18557299999999,ChIJbcl8TvZjUjoRGdhmmtXFj0E,https://www.google.com/maps/place/?q=place_id:ChIJbcl8TvZjUjoRGdhmmtXFj0E,part_379,2026-09-20 20:19:36
Hari Om Pawn Broker,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,,,"Malleshpalya, Kaggadasapura, Bengaluru, Karnataka 560075","Malleshpalya, Kaggadasapura",12.9756571,77.6704601,ChIJTc7bTVkRrjsRNDoyCPm16F4,https://www.google.com/maps/place/?q=place_id:ChIJTc7bTVkRrjsRNDoyCPm16F4,part_379,2026-09-20 20:19:36
S.Gevarchand Pawn Broker,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",+91 99401 56196,N/A,5.0,1.0,"Saidapet, Chennai, Tamil Nadu 600015",Saidapet,13.0229739,80.22639439999999,ChIJkXrEsghnUjoR5YuoHmzZ040,https://www.google.com/maps/place/?q=place_id:ChIJkXrEsghnUjoR5YuoHmzZ040,part_379,2026-09-20 20:19:36
Rishab Pawn Brokers,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,805101,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Barasolapur BO, Dhanar BO, Dharhara BO",N/A,N/A,5.0,1.0,"42-844, Main Road, Rao Nagar Colony, Moula Ali Hill, Moula-Ali, Hyd, Secunderabad, Telangana 500040","Rao Nagar Colony, Moula Ali Hill, Moula-Ali",17.4617584,78.55884139999999,ChIJXXnamI6byzsReSg9LJotMsI,https://www.google.com/maps/place/?q=place_id:ChIJXXnamI6byzsReSg9LJotMsI,part_379,2026-09-20 20:19:36
