business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bima Sangam,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 85440 77055,http://www.bimasangam.com/,5.0,2,"Block road, Dist, opposite Krishi bhavan, Gobindpur, Nawada, Bihar 805102",805102,24.7809647,85.6886026,ChIJa0ecEOmt8zkRwttS1O5ZkRM,https://www.google.com/maps/place/?q=place_id:ChIJa0ecEOmt8zkRwttS1O5ZkRM,part_379,2026-09-20 20:20:14
Mr. AJAY CHOUDHARY (INSURANCE ADVISOR LIC),Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 99344 17097,N/A,5.0,31,"Sardarganj, Dalsingh Sarai - Vidyapati Rd, near NH-28, Dalsinghsarai, Nawada, Bihar 848114",805102,25.6605407,85.8340145,ChIJ3VU8CgCJ7TkRGmEo1-DocQA,https://www.google.com/maps/place/?q=place_id:ChIJ3VU8CgCJ7TkRGmEo1-DocQA,part_379,2026-09-20 20:20:14
Niranjan jha LIC,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,5.0,5,"VGQM+W8H, Gyatri Nagar, Budhaul, Nawada, Bihar 805110",Gyatri Nagar,24.889813699999998,85.53336999999999,ChIJEaD1dh__8jkRl7l5urCcyX0,https://www.google.com/maps/place/?q=place_id:ChIJEaD1dh__8jkRl7l5urCcyX0,part_379,2026-09-20 20:20:14
Bajaj Life Insurance,Insurance Agent,Life insurance agency,"Life insurance agency, Insurance agency",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 20 6712 1212,https://branch.bajajlifeinsurance.com/bajaj-life-insurance-thana-road-life-insurance-rajendra-nagar-nawada-163040/Home?utm_source=locator&utm_medium=googleplaces,4.4,87,"1st Floor, SJ Complex, Thana Road, Rajendra Nagar, New Area, Nawada, Bihar 805110","Rajendra Nagar, New Area",24.8919756,85.54114589999999,ChIJz4ybi4v-8jkRNdLrmZ3nSs0,https://www.google.com/maps/place/?q=place_id:ChIJz4ybi4v-8jkRNdLrmZ3nSs0,part_379,2026-09-20 20:20:14
ICICI Prudential Life Insurance Company Limited,Insurance Agent,Insurance company,"Insurance company, Life insurance agency",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 1800 2660,http://www.iciciprulife.com/,4.0,4,"Ward No :6, 1st Floor, Plot No. 11, above Reliance Smart, Mohalla - Ramnagar, Nawada, Bihar 805110",Mohalla - Ramnagar,24.9004448,85.5415852,ChIJr_F6AIn_8jkR_ilb46C5fPs,https://www.google.com/maps/place/?q=place_id:ChIJr_F6AIn_8jkR_ilb46C5fPs,part_379,2026-09-20 20:20:14
INSURANCE IN 5 MINUTES,Insurance Agent,Insurance broker,Insurance broker,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 70048 80648,N/A,5.0,19,"SARIKA COMPLEX, opposite BIJLI OFFICE, Bihar Sharif, Bihar 803101",Kaghzi Mohalla,25.2059632,85.5170152,ChIJ-VQy1nD18jkRaVMrhyCwdic,https://www.google.com/maps/place/?q=place_id:ChIJ-VQy1nD18jkRaVMrhyCwdic,part_379,2026-09-20 20:20:15
Rakesh kumar Giri Lic Insurance consultant,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 72799 15490,N/A,5.0,72,"Village -Pathraura , po-Doiya ,Ps -Noorsarai ,Dist-Nalanda, near KST college, Bihar Sharif, Bihar 803113",805102,25.2748186,85.4568968,ChIJXz8ihEuN8jkRdKYNfgkF7K0,https://www.google.com/maps/place/?q=place_id:ChIJXz8ihEuN8jkRdKYNfgkF7K0,part_379,2026-09-20 20:20:15
Chandan Insurance Point,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 95707 81885,N/A,5.0,1,"5472, 2MJ, Lehara, Bihar 847233",805102,26.162574799999998,86.10167849999999,ChIJXVz2lxDb7TkRsEaVx5P0oO8,https://www.google.com/maps/place/?q=place_id:ChIJXVz2lxDb7TkRsEaVx5P0oO8,part_379,2026-09-20 20:20:15
Manoj Kumar Tiwary-Insurance Advisor,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 86513 03230,N/A,4.4,11,"Jai Hind Colony, Nala Rd, Mod, Nawada, Arrah, Bihar 802301","Mod, Nawada",25.5540628,84.6664648,ChIJx3j923tfjTkRae0DKuM9HTs,https://www.google.com/maps/place/?q=place_id:ChIJx3j923tfjTkRae0DKuM9HTs,part_379,2026-09-20 20:20:15
MANDEEP INSURANCE SERVICES,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,4.5,2,"HOSTEL, Pahetia Rd, near PAHETIA, Pahetiya, Salempur Kishundas, Bihar 844117",805102,25.769504899999998,85.2380155,ChIJvWP8QVxd7TkR7WrHtiZWOkk,https://www.google.com/maps/place/?q=place_id:ChIJvWP8QVxd7TkR7WrHtiZWOkk,part_379,2026-09-20 20:20:15
SRI SAI GENERAL INSURANCE CONSULTANCY,Insurance Agent,Insurance agency,"Insurance agency, Driver's license office",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 73248 48748,http://www.policyssgic.com/,4.1,14,"NandRaj Market, Hajipur - Lalganj Rd, Tinpulwa Chowk, Lalganj, Salahpur, Bihar 844121",Tinpulwa Chowk,25.8623695,85.1803475,ChIJuwyvXRRc7TkRlEvk_h2yEUE,https://www.google.com/maps/place/?q=place_id:ChIJuwyvXRRc7TkRlEvk_h2yEUE,part_379,2026-09-20 20:20:15
HDFC ERGO General Insurance,Insurance Agent,Insurance broker,"Insurance broker, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 22 6234 6234,http://www.hdfcergo.com/,5.0,1,"Ward No 7, Near Bidipur Market, Kakrahta, Sitalpur, Bihar 844502",Kakrahta,25.666883199999997,85.3330053,ChIJvendX5hh7TkRKNoIlN6MjoA,https://www.google.com/maps/place/?q=place_id:ChIJvendX5hh7TkRKNoIlN6MjoA,part_379,2026-09-20 20:20:15
Life insurence corporation Nawada,Insurance Agent,Insurance agency,Insurance agency,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,4.0,1,"R.J.Singh Rest House, Lic Rd, Nawada, Bihar 805110",805102,24.8924344,85.54094959999999,ChIJv3KvY-n_8jkRCMmFlD-3vwU,https://www.google.com/maps/place/?q=place_id:ChIJv3KvY-n_8jkRCMmFlD-3vwU,part_379,2026-09-20 20:20:15
