business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manoj Tea Stall,Tea Stall / Chai Cafe,Cafe,Cafe,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 77648 02122,N/A,4.0,,"VGVR+6GR, Old Kachahari Rd, Nawada, Bihar 805110",805102,24.8931132,85.5412644,ChIJr5cFOvP-8jkR77d4lFtt43k,https://www.google.com/maps/place/?q=place_id:ChIJr5cFOvP-8jkR77d4lFtt43k,part_379,2026-09-20 20:19:48
Qasim Tea Stall,Tea Stall / Chai Cafe,Cafe,Cafe,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 91995 07622,N/A,3.9,,"VGJM+JWX, Islam Nagar, Nawada, Bihar 805112",Islam Nagar,24.881604199999998,85.5348569,ChIJCTcs0GP-8jkRWBfz99k2laQ,https://www.google.com/maps/place/?q=place_id:ChIJCTcs0GP-8jkRWBfz99k2laQ,part_379,2026-09-20 20:19:48
Chai lover's,Tea Stall / Chai Cafe,Food court,Food court,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,5.0,,"bijli office, Sadbhaavna chwok, Ranchi - Patna Rd, Nawada, Bihar 805112",Ansar Nagar,24.877134299999998,85.53841,ChIJ54R2wLz_8jkRl72uSJcF8-8,https://www.google.com/maps/place/?q=place_id:ChIJ54R2wLz_8jkRl72uSJcF8-8,part_379,2026-09-20 20:19:48
Shankar Tea Shop,Tea Stall / Chai Cafe,Restaurant,"Restaurant, Tea store",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 95465 49583,N/A,4.0,,"Pashupalan, Hospital Rd, Shiv Nagar, Nawada, Bihar 805110",Shiv Nagar,24.894986,85.54803129999999,ChIJzWztIQz_8jkRqSD7RblOpr4,https://www.google.com/maps/place/?q=place_id:ChIJzWztIQz_8jkRqSD7RblOpr4,part_379,2026-09-20 20:19:48
Bodhi Chai Kulhad Special,Tea Stall / Chai Cafe,Restaurant,Restaurant,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 93046 35578,N/A,4.9,,"Japanese Temple Road, near Indian Bank, Mastipur, Bodh Gaya, Bihar 824231",Mastipur,24.693673999999998,84.9854812,ChIJLb1UgBot8zkR3KQgHfwUVtI,https://www.google.com/maps/place/?q=place_id:ChIJLb1UgBot8zkR3KQgHfwUVtI,part_379,2026-09-20 20:19:48
Tea Point,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee shop",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,3.8,,"MR7J+3MR, Dalsinghsarai, Nawada, Bihar 848114",805102,25.6627427,85.83165439999999,ChIJB_QSdnKJ7TkRLuUJWulpLRg,https://www.google.com/maps/place/?q=place_id:ChIJB_QSdnKJ7TkRLuUJWulpLRg,part_379,2026-09-20 20:19:48
Raju Tea Shop,Tea Stall / Chai Cafe,Tea store,Tea store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 62075 17201,N/A,,,"05 Govindpur Nawada Bihar Main Road Nawada Near Police Station 05 Govindpur, Main Road, near Police Station, Nawada, Bihar 805102",805102,24.7819225,85.6894567,ChIJdaZUn6qt8zkRm1VAnBYNaDg,https://www.google.com/maps/place/?q=place_id:ChIJdaZUn6qt8zkRm1VAnBYNaDg,part_379,2026-09-20 20:19:48
CHANDNI TEA STALL,Tea Stall / Chai Cafe,Tea store,Tea store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 97087 13726,N/A,,,"Bazar, 18, Near, Machhalhatta Main Road, Nardiganj, Nawada, Bihar 805104",805102,24.9177426,85.59425069999999,ChIJe7x3J___8jkRtRc1-ZQH0BI,https://www.google.com/maps/place/?q=place_id:ChIJe7x3J___8jkRtRc1-ZQH0BI,part_379,2026-09-20 20:19:48
Krishna Tea Shop,Tea Stall / Chai Cafe,Tea store,Tea store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 86030 69884,N/A,,,"121 Nawada Roh Bajar Near Laxmi Mandir Nawada Bihar Nawada Roj, Bajar, near Laxmi Mandir, Nawada, Bihar 805141",805102,24.8889712,85.67126189999999,ChIJU709Xl5V8jkRF6bw8_3lYYc,https://www.google.com/maps/place/?q=place_id:ChIJU709Xl5V8jkRF6bw8_3lYYc,part_379,2026-09-20 20:19:48
Jamshed Tea Stol,Tea Stall / Chai Cafe,Tea store,Tea store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 82270 84009,N/A,,,"78, Nawada, Bihar 805112",Nawada,24.8735958,85.5457205,ChIJGe3lw3v_8jkRPMaa_eNXWU8,https://www.google.com/maps/place/?q=place_id:ChIJGe3lw3v_8jkRPMaa_eNXWU8,part_379,2026-09-20 20:19:48
