business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shri Shadi Card And Printing Press,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Digital printer, Print shop",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 93344 76831,N/A,4.8,4.0,"Naubatpur, Nizampur, Bihar 801109",805102,25.499391,84.962147,ChIJD1zh9Gmr8jkRrCh0zQfiKyg,https://www.google.com/maps/place/?q=place_id:ChIJD1zh9Gmr8jkRrCh0zQfiKyg,part_379,2026-09-20 20:20:12
Om Wedding Card | शादी कार्ड प्रिंटिंग - Best Wedding Card Shop in Mashrakh,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Wedding service, Wedding store",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 91620 49760,https://omprinter.netlify.app/,5.0,8.0,"Left side of Central Bank, beside Station Road, Masrakh, Bihar 841417",805102,26.1007096,84.806094,ChIJYf_2xgDPkjkRoGuWXk8kPzo,https://www.google.com/maps/place/?q=place_id:ChIJYf_2xgDPkjkRoGuWXk8kPzo,part_379,2026-09-20 20:20:12
Sonam Shadi Card Nawada Chandi,Wedding Invitation Card Printer,Electronics store,Electronics store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,5.0,2.0,"89H9+FGP, नवादा, ठाकुर टोला, Rukhai, Bihar 803108","नवादा, ठाकुर टोला",25.328701199999998,85.3688135,ChIJ48Gf9TiR8jkRJHwqCpdE-Gg,https://www.google.com/maps/place/?q=place_id:ChIJ48Gf9TiR8jkRJHwqCpdE-Gg,part_379,2026-09-20 20:20:12
Shubh Prints by Bhushan Shadi Card & Printing Press,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Auto insurance agency, Digital printer, Digital printing service, Health insurance agency, Insurance agency, Print shop, Life insurance agency, Offset Printer",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 97081 37644,https://shubhprints.in/,4.5,60.0,"Bara Bazar, Madhubani, Bihar 847213",Bara Bazar,26.3570234,86.0697996,ChIJ4Toz4jbN7TkRMKIqCLiTyyg,https://www.google.com/maps/place/?q=place_id:ChIJ4Toz4jbN7TkRMKIqCLiTyyg,part_379,2026-09-20 20:20:12
Dinesh Art Shadi Card,Wedding Invitation Card Printer,Print shop,Print shop,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 93343 78445,N/A,,,"329 Nawada Warisaliganj Bajar Near Mafi Gali Nawada Nawada Warisaliganj Bajar Near, Madi Gali, Nawada, Bihar 805130",Uttar Bazar,25.016921,85.6397424,ChIJA8-nxlFX8jkRWF6xalRzt5Q,https://www.google.com/maps/place/?q=place_id:ChIJA8-nxlFX8jkRWF6xalRzt5Q,part_379,2026-09-20 20:20:12
Shiv Art Flex Printing (Nawada),Wedding Invitation Card Printer,Print shop,Print shop,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 94312 68948,N/A,3.2,12.0,"Prasad Bigha, opposite to Durga Mandir, Navi Nagar, Nawada, Bihar 805110",Navi Nagar,24.8885485,85.542855,ChIJ5YthDnf_8jkRKnZ0MMhCkIk,https://www.google.com/maps/place/?q=place_id:ChIJ5YthDnf_8jkRKnZ0MMhCkIk,part_379,2026-09-20 20:20:12
Diwan Royal Wedding Card,Wedding Invitation Card Printer,Screen printing supply store,Screen printing supply store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 82107 55318,N/A,5.0,2.0,"mahadev mandir, SH 78, Chandi, Bihar 803108",805102,25.3255004,85.405919,ChIJOd-NEZqR8jkRhlMQvt7Kn8w,https://www.google.com/maps/place/?q=place_id:ChIJOd-NEZqR8jkRhlMQvt7Kn8w,part_379,2026-09-20 20:20:12
Arbind Press,Wedding Invitation Card Printer,Commercial printer,Commercial printer,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,3.4,12.0,"561, Nawada Rd, near Chok, Nawada, Bihar 805110",805102,24.889363499999998,85.5469554,ChIJ8z7Tkvb-8jkRXPBqxqRGdpM,https://www.google.com/maps/place/?q=place_id:ChIJ8z7Tkvb-8jkRXPBqxqRGdpM,part_379,2026-09-20 20:20:12
PRINCE SHADI CARD,Wedding Invitation Card Printer,Wedding store,Wedding store,805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",N/A,N/A,,,"VGPV+R95, G.B. COMPLEX, NEAR :- PRAJATANTRA CHOWK, Main Rd, Nawada, Bihar 805110",805102,24.886979699999998,85.5435236,ChIJU2QVqsH_8jkRj0nL6KmZkPk,https://www.google.com/maps/place/?q=place_id:ChIJU2QVqsH_8jkRj0nL6KmZkPk,part_379,2026-09-20 20:20:12
JANTA OFFSET PRESS AND STATIONERY (Vivah Card Ghar),Wedding Invitation Card Printer,Offset Printer,"Offset Printer, Paper distributor, Wedding service",805102,Bihar circle,"East Region, Bhagalpur",Nawadha Division,"Bisunpur BO, Sarkanda BO, Tetariya BO",+91 93048 17291,N/A,4.6,,"Gufapr Dhaneswarghat Rd, near kumar cinema, Durgasthan, Bihar Sharif, Bihar 803101",Durgasthan,25.197988,85.52394799999999,ChIJz3bGSaH08jkRc4bGHTqt6g0,https://www.google.com/maps/place/?q=place_id:ChIJz3bGSaH08jkRc4bGHTqt6g0,part_379,2026-09-20 20:20:13
