business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indian shoes and footwear,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",+91 72502 87080,N/A,4.7,,"Noorsari andar bazar, Nur Sarai, Bihar 803113",805105,25.275005,85.4562729,ChIJ20OcAc6N8jkRIMzsUaWsUP4,https://www.google.com/maps/place/?q=place_id:ChIJ20OcAc6N8jkRIMzsUaWsUP4,part_379,2026-09-20 20:21:49
MAA Shoe Store,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",N/A,N/A,4.8,,"Andhna, Bihar 803113",805105,25.263029099999997,85.4581003,ChIJWUFzrJmN8jkRBhNS7axVGQ4,https://www.google.com/maps/place/?q=place_id:ChIJWUFzrJmN8jkRBhNS7axVGQ4,part_379,2026-09-20 20:21:49
Prince shoes and general store,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",N/A,N/A,5.0,,"3HQ7+39V Chok bazaarRoad, Durgapur, Bihar 803115",805105,25.0877362,85.5634204,ChIJkTkMelL38jkRzkPgUpIwRtY,https://www.google.com/maps/place/?q=place_id:ChIJkTkMelL38jkRzkPgUpIwRtY,part_379,2026-09-20 20:21:49
New Maa Footwear,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",N/A,N/A,3.7,,"5GW5+9Q4, Nalanda Colony, Ramchandrapur, Bihar Sharif, Bihar 803216","Nalanda Colony, Ramchandrapur",25.1958767,85.5094398,ChIJLx5xFgDz8jkRlfUF8_RoS7g,https://www.google.com/maps/place/?q=place_id:ChIJLx5xFgDz8jkRlfUF8_RoS7g,part_379,2026-09-20 20:21:49
Campus Exclusive Store,Footwear and Shoe Store,Shoe store,"Shoe store, Sportswear store, Store",805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",+91 8071 178 332,https://stores.campusshoes.com/bihar/nalanda/campus-exclusive-store-biharsharif,4.1,,"Near Naaz Cinema, MG Road, Bihar Sharif, Bihar 803101",Durgasthan,25.1958627,85.51965829999999,ChIJZ6DwbaH08jkRxGHHnfgCVNU,https://www.google.com/maps/place/?q=place_id:ChIJZ6DwbaH08jkRxGHHnfgCVNU,part_379,2026-09-20 20:21:49
Khalil Footwear,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",+91 70041 80243,N/A,5.0,,"87, Bihar Sharif, Bihar 803101",Nai Sarai,25.2058324,85.5290016,ChIJd2YBUmP18jkRnCSSQJVryvI,https://www.google.com/maps/place/?q=place_id:ChIJd2YBUmP18jkRnCSSQJVryvI,part_379,2026-09-20 20:21:49
NALANDA SHOE FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",+91 82351 34513,N/A,,,"Bihar Sharif, Bihar 803101",805105,25.199221599999998,85.531731,ChIJyXgQZ7v08jkRIDcVPFtjUZM,https://www.google.com/maps/place/?q=place_id:ChIJyXgQZ7v08jkRIDcVPFtjUZM,part_379,2026-09-20 20:21:49
Shivam Shoe Centre,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",+91 78704 45068,N/A,5.0,,"13, near Nalanda Khandar Road, Bargaon, Patna, Bihar 803111",805105,25.1430866,85.443337,ChIJk3kMUnPy8jkRqa0BTe0AUTU,https://www.google.com/maps/place/?q=place_id:ChIJk3kMUnPy8jkRqa0BTe0AUTU,part_379,2026-09-20 20:21:49
P Leathers Footwear,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",N/A,N/A,3.7,,"near Khandak More Road, Doctors Colony, Khandak Par, Bihar Sharif, Bihar 803101","Doctors Colony, Khandak Par",25.1991279,85.5302233,ChIJWyIBOnn18jkRvOZwOzNpWmw,https://www.google.com/maps/place/?q=place_id:ChIJWyIBOnn18jkRvOZwOzNpWmw,part_379,2026-09-20 20:21:49
Deepak footwear,Footwear and Shoe Store,Shoe store,Shoe store,805105,Bihar Circle,"East Region, Bhagalpur",Nawadha Division,"Katrisarai SO, Badi BO, Bahadurganj BO",+91 88731 18116,N/A,5.0,,"6783+XWV, road, Ekangardih, Bihar 801301",805105,25.2174794,85.25479709999999,ChIJqcwfRDi_8jkRbgDzSiwoalg,https://www.google.com/maps/place/?q=place_id:ChIJqcwfRDi_8jkRbgDzSiwoalg,part_379,2026-09-20 20:21:49
